,Length of Pipe in Arm (m),Number of such pipes needed,Number of turbines in each pipe,Site,Pipe start point,Pipe end point,Total number of turbines
0,3570,20,4,MN_Grid,Turbine,Pipe,80
1,6090.460447,4,20,MN_Grid,Pipe,Central,80
2,4165,2,4,MN_Grid,Turbine,Central,8
3,5950,36,6,MN,Turbine,Pipe,216
4,10361.45707,4,54,MN,Pipe,Central,216
6,3570,20,4,IN_Grid,Turbine,Pipe,80
7,6090.460447,4,20,IN_Grid,Pipe,Central,80
8,4165,2,4,IN_Grid,Turbine,Central,8
9,5950,36,6,IN,Turbine,Pipe,216
10,10361.45707,4,54,IN,Pipe,Central,216
12,3570,20,4,TX_Grid,Turbine,Pipe,80
13,6090.460447,4,20,TX_Grid,Pipe,Central,80
14,4165,2,4,TX_Grid,Turbine,Central,8
15,4760,32,5,TX,Turbine,Central,160
16,8995.230223,4,41.25,TX,Pipe,Central,165
17,9590.230223,2,8,TX,Turbine,Central,16
19,4116,20,4,MS_Grid,Turbine,Pipe,80
20,7021.942633,4,20,MS_Grid,Pipe,Central,80
21,4802,2,4,MS_Grid,Turbine,Central,8
22,8232,36,7,MS,Turbine,Pipe,252
23,12916.30101,4,63,MS,Pipe,Central,252
24,9604,2,7,MS,Turbine,Central,14
25,12348,2,9,MS,Turbine,Central,18
26,2744,16,3,IA_Grid,Turbine,Pipe,48
27,6056.301008,4,12,IA_Grid,Pipe,Central,48
28,4116,2,3,IA_Grid,Turbine,Central,6
29,5488,2,4,IA_Grid,Turbine,Central,8
30,5488,32,5,IA,Turbine,Pipe,160
31,10574.1505,4,40,IA,Pipe,Central,160
