,0
Useful Life,30.0
Wind Cost ($/kW),1686.9600000000003
Solar Cost ($/kW),9999.0
Electrolyzer Installed Cost ($/kW),2161.6710981912834
Wind capacity (MW),1149.8423770507545
Solar capacity (MW),0.0
Battery storage capacity (MW),0.0
Battery storage duration (hr),0.0
Electrolyzer capacity (MW),1040.0
Total Electricity Production (kWh),4211715492.3093777
Debt Equity,60.0
ATB Year,2020.0
Grid Total Emission Intensity (kg-CO2/kg-H2),0.0
Off-grid Total Emission Intensity (kg-CO2/kg-H2),0.0
H2 PTC ($/kg),0.0
Ren PTC ($/kg),0.0
Wind PTC,0.0
Discount Rate,0.07
NPV Wind Expenses,-2869002069.4877687
NPV Solar Expenses,0.0
NPV HVDC Expenses,0.0
LCOE ($/MWh),49.68097360639905
Electricity CF (-),0.4408541342050966
LCOH ($/kg),8.589465101586804
Electrolyzer CF (-),0.460903197920319
Fraction of electricity from renewables (-),1.0
Average stack life (hrs),24885.0
Number of stack clusters (-),1.0
Hydrogen storage duration (hr),216.88621871130593
Hydrogen storage capacity (kg),5047969.635424931
Hydrogen storage CAPEX ($/kg),42.72948101475709
Hydrogen annual production (kg),76891350.6240813
Hydrogen production total CAPEX ($),4502600704.92103
Hydrogen transmission total CAPEX ($),61458966.432019696
Steel Plant Total CAPEX ($),545209215.1819539
Ammonia Plant Total CAPEX ($),69329152.27623674
LCOH: Compression & storage ($/kg),0.1945172623987378
LCOH: Electrolyzer CAPEX ($/kg),5.290136186278597
LCOH: Desalination CAPEX ($/kg),0.00129578188748898
LCOH: Electrolyzer FOM ($/kg),0.17313072353780692
LCOH:Desalination FOM ($/kg),0.003267374621295451
LCOH: Electrolyzer VOM ($/kg),0.06870314808866837
LCOH: Wind Plant CAPEX ($/kg),1.5154834854637624
LCOH: Wind Plant FOM ($/kg),0.6944825798282417
LCOH: Solar Plant CAPEX ($/kg),0.0
LCOH: Solar Plant FOM ($/kg),0.0
LCOH: Battery Storage CAPEX ($/kg),0.0
LCOH: Battery Storage FOM ($/kg),0.0
LCOH: Taxes and Finances ($/kg),0.5120361157208739
LCOH: Water consumption ($/kg),0.01672823218997362
LCOH: Grid electricity ($/kg),0.0
LCOH: Bulk H2 Transmission ($/kg),0.14844019036350972
Steel annual production (tonne/year),999999.9999999999
Steel annual capacity margin (%),16.572696519225758
Ammonia annual production (kg/year),334339658.8730839
Ammonia annual capacity margin (%),16.572696519225726
Steel Price with Integration ($/tonne),1193.9861532219707
Steel price: EAF and Casting CAPEX ($/tonne),7.352712809137524
Steel price: Shaft Furnace CAPEX ($/tonne),4.147456600030857
Steel price: Oxygen Supply CAPEX ($/tonne),0.5024690500428983
Steel price: H2 Pre-heating CAPEX ($/tonne),0.2858154172179284
Steel price: Cooling Tower CAPEX ($/tonne),0.618708489847107
Steel price: Piping CAPEX ($/tonne),1.826797708972273
Steel price: Electrical & Instrumentation ($/tonne),1.217865140345564
"Steel price: Buildings, Storage, Water Service CAPEX ($/tonne)",2.753847764430413
Steel price: Miscellaneous CAPEX ($/tonne),1.2178656258124945
Steel price: Annual Operating Labor Cost ($/tonne),75.19990472290294
Steel price: Maintenance Labor Cost ($/tonne),5.158204145051215
Steel price: Administrative & Support Labor Cost ($/tonne),20.08952721698854
Steel price: Installation Cost ($/tonne),7.390502144361593
Steel price: Maintenance Materials ($/tonne),7.720000000000001
Steel price: Raw Water Withdrawal ($/tonne),0.47648790630000004
Steel price: Lime ($/tonne),2.089314915012542
Steel price: Carbon ($/tonne),12.38624918579932
Steel price: Iron Ore ($/tonne),360.92245014899083
Steel price: Hydrogen ($/tonne),566.5611181006656
Steel price: Natural gas ($/tonne),2.716709262358007
Steel price: Electricity ($/tonne),35.502960156929994
Steel price: Slag Disposal ($/tonne),6.5600379
Steel price: Taxes ($/tonne),14.921736451661033
Steel price: Equipment Financing ($/tonne),57.506156580089346
Steel price: Remaining Financial ($/tonne),11.954123163502235
Steel price: Oxygen sales ($/tonne),0.0
Steel price: Total ($/tonne),1207.0790206064503
(-) Steel price: BOS savings ($/tonne),6.026858165096562
Ammonia price: Air Separation by Cryogenic ($/kg),0.0019678455863622363
Ammonia price: Haber Bosch ($/kg),0.0016300537053258407
Ammonia price: Boiler and Steam Turbine ($/kg),0.0006180945270194874
Ammonia price: Cooling Tower ($/kg),0.0004196233260347037
Ammonia price: Depreciable Nonequipment ($/kg),0.0022764307718301274
Ammonia price: Labor Cost ($/kg),0.016786890891857285
Ammonia price: Maintenance Cost ($/kg),0.0006098158976460083
Ammonia price: Administrative Expense ($/kg),0.0033573781783714568
Ammonia price: Hydrogen ($/kg),1.6945674946558866
Ammonia price: Electricity ($/kg),0.03424114307468819
Ammonia price: Cooling water ($/kg),5.580990977316858e-06
Ammonia price: Iron based catalyst ($/kg),0.0021180315277480326
Ammonia price: Oxygen byproduct ($/kg),-0.008386648300601963
Ammonia price: Taxes ($/kg),0.005958358534276583
Ammonia price: Equipment Financing ($/kg),0.022714140798321857
Ammonia price: Remaining Financial ($/kg),0.004147228749943434
Ammonia price: Total ($/kg),1.8008533935548359
