,Energy to electrolyzer (kWh),Energy from grid (kWh),Energy from renewables (kWh),Total energy (kWh),Hydrogen Hourly production (kg)
0,544556.6935452165,0.0,544556.6935452165,544556.6935452165,10675.495805645627
1,564670.4815678004,0.0,564670.4815678004,564670.4815678004,11038.857127716088
2,634620.716095583,0.0,634620.716095583,634620.716095583,12291.547997200843
3,622167.2968456778,0.0,622167.2968456778,622167.2968456778,12069.72550215124
4,636267.250828691,0.0,636267.250828691,636267.250828691,12320.793757057389
5,606873.9057836615,0.0,606873.9057836615,606873.9057836615,11796.588966042598
6,589408.6524204061,0.0,589408.6524204061,589408.6524204061,11483.714191872781
7,630007.5444739856,0.0,630007.5444739856,630007.5444739856,12209.343127472614
8,916359.6069478375,0.0,916359.6069478375,916359.6069478375,17181.934227185135
9,929489.9432957689,0.0,929489.9432957689,929489.9432957689,17404.36942132778
10,681853.8430362996,0.0,681853.8430362996,681853.8430362996,13127.988170524712
11,459777.76763121533,0.0,459777.76763121533,459777.76763121533,9127.132644686466
12,539413.871266241,0.0,539413.871266241,539413.871266241,10582.133949917981
13,577884.1399189604,0.0,577884.1399189604,577884.1399189604,11276.563448941053
14,510152.5558480959,0.0,510152.5558480959,510152.5558480959,10050.278166077662
15,334148.37275823904,0.0,334148.37275823904,334148.37275823904,6778.625144209169
16,80820.66368778893,0.0,80820.66368778893,80820.66368778893,1734.908882847446
17,103584.71847563874,0.0,103584.71847563874,103584.71847563874,2147.160537710164
18,128394.52242058513,0.0,128394.52242058513,128394.52242058513,2682.1631945866184
19,161384.88073382305,0.0,161384.88073382305,161384.88073382305,3413.4331144764487
20,190740.04919485893,0.0,190740.04919485893,190740.04919485893,3999.406718397501
21,211482.53333897304,0.0,211482.53333897304,211482.53333897304,4409.351880526048
22,186308.63527703154,0.0,186308.63527703154,186308.63527703154,3911.390254131644
23,161762.4487727755,0.0,161762.4487727755,161762.4487727755,3420.9941400216944
24,190231.81741985952,0.0,190231.81741985952,190231.81741985952,3989.2947602995355
25,150594.1301511586,0.0,150594.1301511586,150594.1301511586,3196.078163713804
26,98158.23933467951,0.0,98158.23933467951,98158.23933467951,2105.958072253451
27,89915.14005640299,0.0,89915.14005640299,89915.14005640299,1929.1705999698477
28,67228.57700101372,0.0,67228.57700101372,67228.57700101372,1440.740524046212
29,60509.58318435716,0.0,60509.58318435716,60509.58318435716,1298.9736046861947
30,78650.96855998537,0.0,78650.96855998537,78650.96855998537,1627.3888208468347
31,94913.01941084937,0.0,94913.01941084937,94913.01941084937,1976.5054951959348
