,Energy to electrolyzer (kWh),Energy from grid (kWh),Energy from renewables (kWh),Total energy (kWh),Hydrogen Hourly production (kg)
0,301155.1260566107,0.0,301155.1260566107,301155.1260566107,6107.431248455177
1,175199.88824763556,0.0,175199.88824763556,175199.88824763556,3668.5344217761767
2,240128.47464759278,0.0,240128.47464759278,240128.47464759278,4938.89541989121
3,199086.11884106294,0.0,199086.11884106294,199086.11884106294,4139.464224017544
4,296549.93397165666,0.0,296549.93397165666,296549.93397165666,6020.003644764232
5,237323.28061487898,0.0,237323.28061487898,237323.28061487898,4884.597376566791
6,267568.9959535601,0.0,267568.9959535601,267568.9959535601,5467.073579459939
7,346891.9838009811,0.0,346891.9838009811,346891.9838009811,6969.618568953494
8,446813.4110367238,0.0,446813.4110367238,446813.4110367238,8817.985160682294
9,697763.4048277251,0.0,697763.4048277251,697763.4048277251,13281.432499429298
10,494300.47964702884,0.0,494300.47964702884,494300.47964702884,9680.88265434553
11,431830.66879434953,0.0,431830.66879434953,431830.66879434953,8543.708707687847
12,322862.840990116,0.0,322862.840990116,322862.840990116,6518.002549312394
13,323557.03276796883,0.0,323557.03276796883,323557.03276796883,6531.091089336271
14,602909.8298611937,0.0,602909.8298611937,602909.8298611937,11621.198226849552
15,490470.2450136676,0.0,490470.2450136676,490470.2450136676,9611.549945386576
16,350086.9506372892,0.0,350086.9506372892,350086.9506372892,7029.447089064476
17,573154.5323711495,0.0,573154.5323711495,573154.5323711495,11093.926816266405
18,682888.9719754938,0.0,682888.9719754938,682888.9719754938,13022.917837698687
19,669375.6473240108,0.0,669375.6473240108,669375.6473240108,12787.56992970234
20,768496.0608109891,0.0,768496.0608109891,768496.0608109891,14500.035108189815
21,821695.2107417913,0.0,821695.2107417913,821695.2107417913,15406.5894067512
22,894483.2619360061,0.0,894483.2619360061,894483.2619360061,16633.59665132259
23,876494.8966486391,0.0,876494.8966486391,876494.8966486391,16331.729562091297
24,742548.2575180692,0.0,742548.2575180692,742548.2575180692,14054.654586602166
25,785814.853300085,0.0,785814.853300085,785814.853300085,14795.986223765422
26,673744.6033896111,0.0,673744.6033896111,673744.6033896111,12863.579584848825
27,576486.7175221344,0.0,576486.7175221344,576486.7175221344,11152.951977661554
28,521535.400259378,0.0,521535.400259378,521535.400259378,10171.383328348664
29,475047.602008045,0.0,475047.602008045,475047.602008045,9331.866631201137
30,316835.1059483023,0.0,316835.1059483023,316835.1059483023,6404.226154233875
31,282940.41465025366,0.0,282940.41465025366,282940.41465025366,5760.851345657
32,317146.02646660665,0.0,317146.02646660665,317146.02646660665,6410.078719960743
33,324826.8041760864,0.0,324826.8041760864,324826.8041760864,6554.976790147599
34,159662.80864763388,0.0,159662.80864763388,159662.80864763388,3359.509458720668
35,82205.6212229246,0.0,82205.6212229246,82205.6212229246,1763.4446334922256
36,182180.43105272122,0.0,182180.43105272122,182180.43105272122,3659.9501545611497
37,79057.3615423286,0.0,79057.3615423286,79057.3615423286,1695.032464247981
38,144338.96925329536,0.0,144338.96925329536,144338.96925329536,2915.7074734902726
39,65994.04742024906,0.0,65994.04742024906,65994.04742024906,1415.4722846147586
40,25775.598159908848,0.0,25775.598159908848,25775.598159908848,551.868480635573
41,25327.200273308423,0.0,25327.200273308423,25327.200273308423,542.6941983893172
42,78580.4750803096,0.0,78580.4750803096,78580.4750803096,1493.0198514975887
43,40270.607637050845,0.0,40270.607637050845,40270.607637050845,864.6074294748258
44,30173.94243675247,0.0,30173.94243675247,30173.94243675247,645.928863253932
45,110309.75591326816,0.0,110309.75591326816,110309.75591326816,2075.0125780912686
46,287093.1688248674,0.0,287093.1688248674,287093.1688248674,5839.164388368219
47,653050.188740124,0.0,653050.188740124,653050.188740124,12500.526427805115
48,816813.6745392024,0.0,816813.6745392024,816813.6745392024,15321.477183744835
49,920363.8756339196,0.0,920363.8756339196,920363.8756339196,17063.806482750857
50,887354.732171945,0.0,887354.732171945,887354.732171945,16511.640583808807
51,929206.4916759024,0.0,929206.4916759024,929206.4916759024,17211.157416993585
52,929206.4916759024,0.0,929206.4916759024,929206.4916759024,17211.13148559745
53,929206.4916759024,0.0,929206.4916759024,929206.4916759024,17211.10555419491
54,929206.4916759024,0.0,929206.4916759024,929206.4916759024,17211.07962278595
55,741406.348180472,0.0,741406.348180472,741406.348180472,14032.810590703984
56,800805.7377425715,0.0,800805.7377425715,800805.7377425715,15049.18938062463
57,823266.6247299213,0.0,823266.6247299213,823266.6247299213,15430.739565890155
58,632614.2611436115,0.0,632614.2611436115,632614.2611436115,12142.19714079529
59,486874.8242801887,0.0,486874.8242801887,486874.8242801887,9544.71054874588
60,414681.90001749614,0.0,414681.90001749614,414681.90001749614,8227.005092628146
61,502753.3013467818,0.0,502753.3013467818,502753.3013467818,9831.595677344609
62,722182.8050199314,0.0,722182.8050199314,722182.8050199314,13701.393875816486
63,820523.7083423027,0.0,820523.7083423027,820523.7083423027,15384.085738732072
64,868831.6758299074,0.0,868831.6758299074,868831.6758299074,16200.14356214392
65,929206.4916759024,0.0,929206.4916759024,929206.4916759024,17210.80216469326
66,929206.4916759024,0.0,929206.4916759024,929206.4916759024,17210.776233209323
67,929206.4916759024,0.0,929206.4916759024,929206.4916759024,17210.750301718985
68,929206.4916759024,0.0,929206.4916759024,929206.4916759024,17210.724370222237
69,929206.4916759024,0.0,929206.4916759024,929206.4916759024,17210.698438719075
