,Energy to electrolyzer (kWh),Energy from grid (kWh),Energy from renewables (kWh),Total energy (kWh),Hydrogen Hourly production (kg)
0,849883.9862889352,0.0,849883.9862889352,849883.9862889352,15759.058264759424
1,849883.9862889352,0.0,849883.9862889352,849883.9862889352,15759.058264759424
2,849883.9862889352,0.0,849883.9862889352,849883.9862889352,15759.058264759424
3,742405.1032864099,0.0,742405.1032864099,742405.1032864099,13948.608161826418
4,544285.2924548463,0.0,544285.2924548463,544285.2924548463,10510.774236930834
5,676034.4953257308,0.0,676034.4953257308,676034.4953257308,12812.127069942017
6,849883.9862889352,0.0,849883.9862889352,849883.9862889352,15759.058264759424
7,849883.9862889352,0.0,849883.9862889352,849883.9862889352,15759.058264759424
8,879720.0466356156,0.0,879720.0466356156,879720.0466356156,16090.339823855722
9,960000.0,0.0,960000.0,960000.0,17578.704973533062
10,960000.0,0.0,960000.0,960000.0,15802.169587790144
11,960000.0,0.0,960000.0,960000.0,16024.731533685797
12,858757.7050505304,0.0,858757.7050505304,858757.7050505304,13557.88512240459
13,670824.6666703426,0.0,670824.6666703426,670824.6666703426,10581.213703681615
14,917217.1099530922,0.0,917217.1099530922,917217.1099530922,15119.009767256552
15,772267.0147835978,0.0,772267.0147835978,772267.0147835978,13170.859583687083
16,486226.79021345224,0.0,486226.79021345224,486226.79021345224,8428.410778157438
17,351377.9769363464,0.0,351377.9769363464,351377.9769363464,6823.322740556695
18,329367.11311981786,0.0,329367.11311981786,329367.11311981786,6604.85452458218
19,391856.50888015726,0.0,391856.50888015726,391856.50888015726,7762.395331784285
20,366199.0016106068,0.0,366199.0016106068,366199.0016106068,7289.515116614814
21,538541.574469691,0.0,538541.574469691,538541.574469691,10408.696454310091
22,617280.4668415183,0.0,617280.4668415183,617280.4668415183,11793.291377412826
23,652794.3993563389,0.0,652794.3993563389,652794.3993563389,12410.352336145083
24,655441.2331302534,0.0,655441.2331302534,655441.2331302534,12456.146175188684
25,628163.2899139246,0.0,628163.2899139246,628163.2899139246,11982.808978301371
26,602086.7507096136,0.0,602086.7507096136,602086.7507096136,11527.839306746237
27,518330.8524409056,0.0,518330.8524409056,518330.8524409056,10049.36008927664
28,470358.61221229855,0.0,470358.61221229855,470358.61221229855,9190.009583572835
29,432526.13235694316,0.0,432526.13235694316,432526.13235694316,8505.398742809339
30,358285.8760444354,0.0,358285.8760444354,358285.8760444354,7142.904387954381
31,237892.12932549237,0.0,237892.12932549237,237892.12932549237,4871.798056834769
32,184949.2064478069,0.0,184949.2064478069,184949.2064478069,3377.6674424089156
33,202160.00191841414,0.0,202160.00191841414,202160.00191841414,3325.864839064071
34,257163.16931183077,0.0,257163.16931183077,257163.16931183077,3916.468824986944
35,302625.3322658188,0.0,302625.3322658188,302625.3322658188,4421.169109414634
36,282833.3999306009,0.0,282833.3999306009,282833.3999306009,3914.606744104843
37,338126.7816756382,0.0,338126.7816756382,338126.7816756382,4631.38873062807
38,339071.7522271707,0.0,339071.7522271707,339071.7522271707,4643.552654529899
39,208081.86341046568,0.0,208081.86341046568,208081.86341046568,2927.9835075537953
40,225893.0833626879,0.0,225893.0833626879,225893.0833626879,3165.1118446726864
41,96000.0,0.0,96000.0,96000.0,2061.687286517154
42,118679.52319288724,0.0,118679.52319288724,118679.52319288724,2524.382676255783
43,422541.5172162066,0.0,422541.5172162066,422541.5172162066,8323.49163371544
44,625161.8330586603,0.0,625161.8330586603,625161.8330586603,11930.24319396327
45,554670.989017144,0.0,554670.989017144,554670.989017144,10693.864364741434
46,324069.66067179973,0.0,324069.66067179973,324069.66067179973,6505.597313808479
47,229189.67187355555,0.0,229189.67187355555,229189.67187355555,4704.103580820914
48,311614.55583928694,0.0,311614.55583928694,311614.55583928694,6272.103764597668
49,358958.49517900933,0.0,358958.49517900933,358958.49517900933,7155.162669994893
50,436600.8435903156,0.0,436600.8435903156,436600.8435903156,8579.167216003205
51,415705.8173812223,0.0,415705.8173812223,415705.8173812223,8198.71033087478
52,495664.70206977596,0.0,495664.70206977596,495664.70206977596,9644.165900631802
53,678663.0421414353,0.0,678663.0421414353,678663.0421414353,12856.51009693203
54,798974.4137220329,0.0,798974.4137220329,798974.4137220329,14904.920574512771
55,706648.5789716424,0.0,706648.5789716424,706648.5789716424,13337.159013459786
56,648457.5665022376,0.0,648457.5665022376,648457.5665022376,12191.440106416809
57,218119.0576084399,0.0,218119.0576084399,218119.0576084399,4479.276812189184
58,134959.21333106016,0.0,134959.21333106016,134959.21333106016,2697.4915323355895
59,531419.3996552291,0.0,531419.3996552291,531419.3996552291,9753.845251015044
60,338086.85990681435,0.0,338086.85990681435,338086.85990681435,6383.065017061734
61,388850.0995951599,0.0,388850.0995951599,388850.0995951599,6791.47929408219
62,457029.7869301006,0.0,457029.7869301006,457029.7869301006,8520.831699265656
63,778670.0935083758,0.0,778670.0935083758,778670.0935083758,12114.072880248148
64,622364.3391113959,0.0,622364.3391113959,622364.3391113959,9726.115605558532
