,0
ATB Year,2025.0
LCOE First Year ($/MWh),0.08675938078
LCOH ($/kg),3.114052449442428
Hydrogen storage duration (hr),4.0
Hydrogen annual production (kg),65959843.5
Hydrogen production total CAPEX ($),648179372.0327449
Hydrogen transmission total CAPEX ($),0.0
Steel Plant Total CAPEX ($),372424316.09681773
Ammonia Plant Total CAPEX ($),96338579.30899039
LCOH: Hydrogen Storage ($/kg),0.0035544641053801215
LCOH: Compression ($/kg),0.030503893413329056
LCOH: ATR plant CAPEX ($/kg),0.9967794359535188
LCOH: CO2 transportation and storage ($/kg),0.3664486922938611
LCOH: ATR plant FOM ($/kg),0.3040705114100225
LCOH: ATR plant VOM ($/kg),0.2786590405904059
LCOH: Natural gas charges ($/kg),0.6810472312666667
LCOH: Electricity charges ($/kg),0.33703730192285997
LCOH: Taxes ($/kg),0.09044317069302588
LCOH: Water charges ($/kg),0.025508707793357926
LCOH: Financial ($/kg),8.673617379884035e-19
Steel annual production (tonne steel/year),899997.8646149181
Ammonia annual production (kgNH3/year),300904979.04185563
Steel price: EAF and Casting CAPEX ($/tonne),5.695687665291704
Steel price: Shaft Furnace CAPEX ($/tonne),3.070009570469014
Steel price: Oxygen Supply CAPEX ($/tonne),0.3815273334269256
Steel price: H2 Pre-heating CAPEX ($/tonne),0.21205069179072003
Steel price: Cooling Tower CAPEX ($/tonne),0.47040717823460315
Steel price: Piping CAPEX ($/tonne),1.393822827447565
Steel price: Electrical & Instrumentation ($/tonne),0.9292152190847991
"Steel price: Buildings, Storage, Water Service CAPEX ($/tonne)",2.0572996862080872
Steel price: Miscellaneous CAPEX ($/tonne),0.9292155894897359
Steel price: Annual Operating Labor Cost ($/tonne),87.97980425784283
Steel price: Maintenance Labor Cost ($/tonne),4.23340125527393
Steel price: Administrative & Support Labor Cost ($/tonne),24.89926683919674
Steel price: Installation Cost ($/tonne),6.815196676989703
Steel price: Maintenance Materials ($/tonne),8.338169741697413
Steel price: Raw Water Withdrawal ($/tonne),0.5146421039631364
Steel price: Lime ($/tonne),2.096121599999999
Steel price: Carbon ($/tonne),11.228597999999998
Steel price: Iron Ore ($/tonne),366.16213979999986
Steel price: Hydrogen ($/tonne),205.40289956522253
Steel price: Natural gas ($/tonne),2.9491347099746275
Steel price: Electricity ($/tonne),53.35229066275755
Steel price: Slag Disposal ($/tonne),7.085325067638374
Steel price: Taxes ($/tonne),29.434565265982894
Steel price: Equipment Financing ($/tonne),92.06700989866249
Steel price: Remaining Financial ($/tonne),9.083541456865893
Steel price: Oxygen sales ($/tonne),0.0
Steel price: Total ($/tonne),926.7813426635112
(-) Steel price: BOS savings ($/tonne),7.469780051759022
Ammonia price: Air Separation by Cryogenic ($/kg),0.0030919022023188562
Ammonia price: Haber Bosch ($/kg),0.0025611596134998945
Ammonia price: Boiler and Steam Turbine ($/kg),0.0009711574132529504
Ammonia price: Cooling Tower ($/kg),0.0006593171206636713
Ammonia price: Depreciable Nonequipment ($/kg),0.0033885568379272307
Ammonia price: Labor Cost ($/kg),0.019621969214428995
Ammonia price: Maintenance Cost ($/kg),0.0008994527646492345
Ammonia price: Administrative Expense ($/kg),0.003924393842885799
Ammonia price: Hydrogen ($/kg),0.6143539783989371
Ammonia price: Electricity ($/kg),0.011639600097879598
Ammonia price: Cooling water ($/kg),7.347798200102639e-06
Ammonia price: Iron based catalyst ($/kg),0.0027886190660786365
Ammonia price: Oxygen byproduct ($/kg),-0.0
Ammonia price: Taxes ($/kg),0.009610612137825082
Ammonia price: Equipment Financing ($/kg),0.03419093473962101
Ammonia price: Remaining Financial ($/kg),0.0064032559125975635
Ammonia price: Total ($/kg),0.7153685592069509
