,Type,Name,NPV
0,Operating Expenses,Total annual maintenance,0.0
1,Operating Expenses,Licensing and Permitting,0.0
2,Operating Expenses,Rent of land,0.0
3,Operating Expenses,Administrative expenses,0.0
4,Operating Expenses,Labor,0.0
5,Operating Expenses,Installation cost,0.0
6,Operating Expenses,Sales tax,0.0
7,Operating Expenses,Credit card fees,0.0
8,Financing cash outflow,Capital gains taxes payable,0.0
9,Operating Expenses,Property insurance,0.0
10,Operating Expenses,Road tax,0.0
11,Operating Expenses,Non-depreciable assets,2.9676446268971443e-06
12,Financing cash outflow,Hydrogen Storage,0.001129478932482358
13,Operating Expenses,Cash on hand reserve,0.005192212593535894
14,Financing cash outflow,Compression,0.009693023743549103
15,Operating Expenses,Water Charges,0.025508707793357926
16,Financing cash outflow,Repayment of debt,0.12596046227487348
17,Financing cash outflow,Income taxes payable,0.18206246623639
18,Financing cash outflow,Interest expense,0.20803844082103967
19,Operating Expenses,atr Electricity Cost,0.21216738855951
20,Operating Expenses,atr VOM Cost,0.2786590405904059
21,Operating Expenses,atr FOM Cost,0.3040705114100225
22,Financing cash outflow,atr Plant Cost,0.3167401160521067
23,Operating Expenses,atr NG Cost,0.5207557994
24,Financing cash outflow,Dividends paid,0.7872730450877297
25,Operating Revenue,Take or pay revenue,0.0
26,Operating Revenue,Incidental revenue,0.0
27,Financing cash inflow,One time capital incentive,0.0
28,Financing cash inflow,Annual operating incentives,0.0
29,Operating Revenue,Sale of non-depreciable assets,2.9676446268971443e-06
30,Operating Revenue,Cash on hand recovery,0.005192212593535894
31,Financing cash inflow,Monetized tax losses,0.01790502968861152
32,Financing cash inflow,Inflow of debt,0.12596046227487348
33,Financing cash inflow,Inflow of equity,0.31367820289511
34,Operating Revenue,Hydrogen sales,2.5145147860428723
