,0
ATB Year,2030.0
LCOE First Year ($/MWh),0.14228375570000001
LCOH ($/kg),3.9661322533936794
Hydrogen storage duration (hr),4.0
Hydrogen annual production (kg),65959843.5
Hydrogen production total CAPEX ($),823501462.6224719
Hydrogen transmission total CAPEX ($),0.0
Steel Plant Total CAPEX ($),372424316.09681773
Ammonia Plant Total CAPEX ($),96338579.30899039
LCOH: Hydrogen Storage ($/kg),0.00197526417995735
LCOH: Compression ($/kg),0.032507496882709874
LCOH: SMR plant CAPEX ($/kg),1.3612033496603457
LCOH: CO2 transportation and storage ($/kg),0.2898733107011069
LCOH: SMR plant FOM ($/kg),0.48705723860543826
LCOH: SMR plant VOM ($/kg),0.044823062730627306
LCOH: Natural gas charges ($/kg),1.1805402984
LCOH: Electricity charges ($/kg),0.2716416104851
LCOH: Taxes ($/kg),0.247907300715183
LCOH: Water charges ($/kg),0.04860332103321033
LCOH: Financial ($/kg),6.071532165918825e-17
Steel annual production (tonne steel/year),899997.8646149181
Ammonia annual production (kgNH3/year),300904979.04185563
Steel price: EAF and Casting CAPEX ($/tonne),5.695687665291704
Steel price: Shaft Furnace CAPEX ($/tonne),3.070009570469014
Steel price: Oxygen Supply CAPEX ($/tonne),0.3815273334269256
Steel price: H2 Pre-heating CAPEX ($/tonne),0.21205069179072003
Steel price: Cooling Tower CAPEX ($/tonne),0.47040717823460315
Steel price: Piping CAPEX ($/tonne),1.393822827447565
Steel price: Electrical & Instrumentation ($/tonne),0.9292152190847991
"Steel price: Buildings, Storage, Water Service CAPEX ($/tonne)",2.0572996862080872
Steel price: Miscellaneous CAPEX ($/tonne),0.9292155894897359
Steel price: Annual Operating Labor Cost ($/tonne),87.97980425784283
Steel price: Maintenance Labor Cost ($/tonne),4.23340125527393
Steel price: Administrative & Support Labor Cost ($/tonne),24.89926683919674
Steel price: Installation Cost ($/tonne),6.7833941310491745
Steel price: Maintenance Materials ($/tonne),8.338169741697413
Steel price: Raw Water Withdrawal ($/tonne),0.5146421039631364
Steel price: Lime ($/tonne),2.0892359999999996
Steel price: Carbon ($/tonne),11.722481999999994
Steel price: Iron Ore ($/tonne),360.91589039999997
Steel price: Hydrogen ($/tonne),261.60608343384706
Steel price: Natural gas ($/tonne),4.782439768878733
Steel price: Electricity ($/tonne),73.93943726366021
Steel price: Slag Disposal ($/tonne),7.085325067638374
Steel price: Taxes ($/tonne),29.713733280627732
Steel price: Equipment Financing ($/tonne),92.88401530528
Steel price: Remaining Financial ($/tonne),9.083541456865893
Steel price: Oxygen sales ($/tonne),0.0
Steel price: Total ($/tonne),1001.7100980672643
(-) Steel price: BOS savings ($/tonne),7.469780051759022
Ammonia price: Air Separation by Cryogenic ($/kg),0.0030919022023188562
Ammonia price: Haber Bosch ($/kg),0.0025611596134998945
Ammonia price: Boiler and Steam Turbine ($/kg),0.0009711574132529504
Ammonia price: Cooling Tower ($/kg),0.0006593171206636713
Ammonia price: Depreciable Nonequipment ($/kg),0.0033885568379272307
Ammonia price: Labor Cost ($/kg),0.019621969214428995
Ammonia price: Maintenance Cost ($/kg),0.0008994527646492345
Ammonia price: Administrative Expense ($/kg),0.003924393842885799
Ammonia price: Hydrogen ($/kg),0.7824560338298165
Ammonia price: Electricity ($/kg),0.01631201113709033
Ammonia price: Cooling water ($/kg),6.803051972079998e-06
Ammonia price: Iron based catalyst ($/kg),0.002581878260701437
Ammonia price: Oxygen byproduct ($/kg),-0.0
Ammonia price: Taxes ($/kg),0.010188235238167873
Ammonia price: Equipment Financing ($/kg),0.03585737962817795
Ammonia price: Remaining Financial ($/kg),0.006403255912597563
Ammonia price: Total ($/kg),0.8901798081143356
