,0
ATB Year,2035.0
LCOE First Year ($/MWh),0.08897709937
LCOH ($/kg),1.5155683801543587
Hydrogen storage duration (hr),4.0
Hydrogen annual production (kg),65959843.5
Hydrogen production total CAPEX ($),306720532.57144076
Hydrogen transmission total CAPEX ($),0.0
Steel Plant Total CAPEX ($),372424316.09681773
Ammonia Plant Total CAPEX ($),96338579.30899039
LCOH: Hydrogen Storage ($/kg),0.00019178568388921398
LCOH: Compression ($/kg),0.032959969342919254
LCOH: SMR plant CAPEX ($/kg),0.49391970534043683
LCOH: CO2 transportation and storage ($/kg),0.0
LCOH: SMR plant FOM ($/kg),0.1743050928765554
LCOH: SMR plant VOM ($/kg),0.044823062730627306
LCOH: Natural gas charges ($/kg),0.5811290159333333
LCOH: Electricity charges ($/kg),0.04922142094293334
LCOH: Taxes ($/kg),0.09484330885347945
LCOH: Water charges ($/kg),0.044175018450184504
LCOH: Financial ($/kg),-3.0357660829594124e-17
Steel annual production (tonne steel/year),899997.8646149181
Ammonia annual production (kgNH3/year),300904979.04185563
Steel price: EAF and Casting CAPEX ($/tonne),5.695687665291704
Steel price: Shaft Furnace CAPEX ($/tonne),3.070009570469014
Steel price: Oxygen Supply CAPEX ($/tonne),0.3815273334269256
Steel price: H2 Pre-heating CAPEX ($/tonne),0.21205069179072003
Steel price: Cooling Tower CAPEX ($/tonne),0.47040717823460315
Steel price: Piping CAPEX ($/tonne),1.393822827447565
Steel price: Electrical & Instrumentation ($/tonne),0.9292152190847991
"Steel price: Buildings, Storage, Water Service CAPEX ($/tonne)",2.0572996862080872
Steel price: Miscellaneous CAPEX ($/tonne),0.9292155894897359
Steel price: Annual Operating Labor Cost ($/tonne),87.97980425784283
Steel price: Maintenance Labor Cost ($/tonne),4.23340125527393
Steel price: Administrative & Support Labor Cost ($/tonne),24.89926683919674
Steel price: Installation Cost ($/tonne),7.2499815984731635
Steel price: Maintenance Materials ($/tonne),8.338169741697413
Steel price: Raw Water Withdrawal ($/tonne),0.5146421039631364
Steel price: Lime ($/tonne),2.2519535999999993
Steel price: Carbon ($/tonne),11.211919999999996
Steel price: Iron Ore ($/tonne),431.08854929999995
Steel price: Hydrogen ($/tonne),99.96689035498146
Steel price: Natural gas ($/tonne),2.483996801882218
Steel price: Electricity ($/tonne),41.9503672962756
Steel price: Slag Disposal ($/tonne),7.085325067638374
Steel price: Taxes ($/tonne),29.740654605590777
Steel price: Equipment Financing ($/tonne),92.79142785472179
Steel price: Remaining Financial ($/tonne),9.083541456865895
Steel price: Oxygen sales ($/tonne),0.0
Steel price: Total ($/tonne),876.0091278958464
(-) Steel price: BOS savings ($/tonne),7.469780051759022
Ammonia price: Air Separation by Cryogenic ($/kg),0.0030919022023188562
Ammonia price: Haber Bosch ($/kg),0.0025611596134998945
Ammonia price: Boiler and Steam Turbine ($/kg),0.0009711574132529504
Ammonia price: Cooling Tower ($/kg),0.0006593171206636713
Ammonia price: Depreciable Nonequipment ($/kg),0.0033885568379272307
Ammonia price: Labor Cost ($/kg),0.019621969214428995
Ammonia price: Maintenance Cost ($/kg),0.0008994527646492345
Ammonia price: Administrative Expense ($/kg),0.003924393842885799
Ammonia price: Hydrogen ($/kg),0.2989980030844296
Ammonia price: Electricity ($/kg),0.009282852355956333
Ammonia price: Cooling water ($/kg),6.803051972079998e-06
Ammonia price: Iron based catalyst ($/kg),0.002581878260701437
Ammonia price: Oxygen byproduct ($/kg),-0.0
Ammonia price: Taxes ($/kg),0.008761408432153743
Ammonia price: Equipment Financing ($/kg),0.03174097874959951
Ammonia price: Remaining Financial ($/kg),0.0064032559125975635
Ammonia price: Total ($/kg),0.39414939090322204
