,Type,Name,NPV
0,Operating Expenses,Total annual maintenance,0.0
1,Operating Expenses,Licensing and Permitting,0.0
2,Operating Expenses,Rent of land,0.0
3,Operating Expenses,Administrative expenses,0.0
4,Operating Expenses,Labor,0.0
5,Operating Expenses,Installation cost,0.0
6,Operating Expenses,Sales tax,0.0
7,Operating Expenses,Credit card fees,0.0
8,Financing cash outflow,Capital gains taxes payable,0.0
9,Operating Expenses,Property insurance,0.0
10,Operating Expenses,Road tax,0.0
11,Operating Expenses,Non-depreciable assets,2.9676446268971443e-06
12,Financing cash outflow,Hydrogen Storage,5.6401241404986825e-05
13,Operating Expenses,Cash on hand reserve,0.004515105468715263
14,Financing cash outflow,Compression,0.009693023743549103
15,Operating Expenses,Water Charges,0.03143014760147601
16,Operating Expenses,SMR VOM Cost,0.044823062730627306
17,Financing cash outflow,Repayment of debt,0.05960549100952353
18,Operating Expenses,SMR Electricity Cost,0.062073775306666676
19,Financing cash outflow,Interest expense,0.09844544224467623
20,Financing cash outflow,Income taxes payable,0.10510473374276466
21,Financing cash outflow,SMR Plant Cost,0.14525424406379614
22,Operating Expenses,SMR FOM Cost,0.1743050928765554
23,Financing cash outflow,Dividends paid,0.4104698202660366
24,Operating Expenses,SMR NG Cost,1.0786989082999998
25,Operating Revenue,Take or pay revenue,0.0
26,Operating Revenue,Incidental revenue,0.0
27,Financing cash inflow,One time capital incentive,0.0
28,Financing cash inflow,Annual operating incentives,0.0
29,Operating Revenue,Sale of non-depreciable assets,2.967644626927266e-06
30,Operating Revenue,Cash on hand recovery,0.004515105468715263
31,Financing cash inflow,Monetized tax losses,0.012946973783075426
32,Financing cash inflow,Inflow of debt,0.05960549100952353
33,Financing cash inflow,Inflow of equity,0.14459432474907777
34,Operating Revenue,Hydrogen sales,2.0028133535854
