,Type,Name,NPV
0,Operating Expenses,Sales tax,0.0
1,Operating Expenses,Licensing and Permitting,0.0
2,Operating Expenses,Rent of land,0.0
3,Operating Expenses,Administrative expenses,0.0
4,Operating Expenses,Labor,0.0
5,Operating Expenses,Total annual maintenance,0.0
6,Operating Expenses,Credit card fees,0.0
7,Operating Expenses,Road tax,0.0
8,Operating Expenses,Property insurance,0.0
9,Financing cash outflow,Capital gains taxes payable,0.0
10,Operating Expenses,Cooling water,6.803051972079998e-06
11,Operating Expenses,Non-depreciable assets,0.0002279996550330838
12,Financing cash outflow,Cooling Tower,0.0004817216511515697
13,Operating Expenses,Maintenance Cost,0.000657173698877296
14,Financing cash outflow,Boiler and Steam Turbine,0.0007095637864968247
15,Operating Expenses,Installation cost,0.0011343189126373611
16,Financing cash outflow,Haber Bosch,0.0018712786293733294
17,Operating Expenses,Cash on hand reserve,0.0019451344806831732
18,Financing cash outflow,Air Separation by Cryogenic,0.002259058937527576
19,Financing cash outflow,Depreciable Nonequipment,0.002564553232949081
20,Operating Expenses,Iron based catalyst,0.002581878260701437
21,Financing cash outflow,Repayment of debt,0.0035563707833463935
22,Operating Expenses,Administrative Expense,0.0036334497144586662
23,Operating Expenses,Property tax and insurance,0.0047317057424990285
24,Financing cash outflow,Interest expense,0.005873762444078221
25,Financing cash outflow,Income taxes payable,0.008389085439305536
26,Operating Expenses,Electricity,0.01501843802056384
27,Operating Expenses,Labor Cost,0.01816724857229333
28,Financing cash outflow,Dividends paid,0.028799365899539603
29,Operating Expenses,Hydrogen,0.6394939884124249
30,Operating Revenue,Take or pay revenue,0.0
31,Operating Revenue,Incidental revenue,0.0
32,Operating Revenue,Oxygen byproduct,0.0
33,Financing cash inflow,One time capital incentive,0.0
34,Financing cash inflow,Annual operating incentives,0.0
35,Operating Revenue,Sale of non-depreciable assets,0.0002279996550330838
36,Financing cash inflow,Monetized tax losses,0.0004274948717340601
37,Operating Revenue,Cash on hand recovery,0.0019451344806831734
38,Financing cash inflow,Inflow of debt,0.0035563707833463935
39,Financing cash inflow,Inflow of equity,0.006964465093922972
40,Operating Revenue,Ammonia sales,0.7289814344411926
