,0
Useful Life,30
Wind Cost ($/kW),1148.4
Solar Cost ($/kW),620.5970149253732
Electrolyzer Installed Cost ($/kW),458.51232000000016
Wind capacity (MW),522
Solar capacity (MW),500
Battery storage capacity (MW),0
Battery storage duration (hr),0
Electrolyzer capacity (MW),480
Total Electricity Production (kWh),4008526548.367731
Debt Equity,60
ATB Year,2035
Grid Total Emission Intensity first year (kg-CO2/kg-H2),0.06791229859502548
Off-grid Total Emission Intensity first year (kg-CO2/kg-H2),0.0
H2 PTC first year ($/kg),0
Ren PTC first year ($/kg),0
Wind PTC,0.0055341
Discount Rate,0.07
NPV Wind Expenses,-896999833.5580578
NPV Solar Expenses,-409487836.0238188
NPV HVDC Expenses,0.0
LCOE ($/MWh),38.66119091305717
Grid Price ($/MWh),92.20455788429224
Electricity CF (-),1.0
Wind plant CF (-),0.3532347488665081
Wind annual energy (MWh),1624526.6100370705
Solar plant CF (-),0.1660695933736443
Solar annual energy (MWh),727384.818976562
LCOH ($/kg),4.659029605480383
Electrolyzer CF (-),0.9518453064626515
Fraction of electricity from renewables (-),"[0.56668209 0.55854569 0.55063962 0.54295425 0.53548045 0.52820962
 0.52113359 0.51424464 0.51240125 0.55854569 0.55063962 0.54295425
 0.53548045 0.52820962 0.52113359 0.51424464 0.51240125 0.55854569
 0.55063962 0.54295425 0.53548045 0.52820962 0.52113359 0.51424464
 0.51240125 0.55854569 0.55063962 0.54295425 0.53548045 0.52820962]"
Average stack life (hrs),78052
Number of stack clusters (-),12
Hydrogen storage duration (hr),0.0
Hydrogen storage capacity (kg),0.0
Hydrogen storage CAPEX ($/kg),0
Hydrogen annual production (kg),73288932.07856058
Hydrogen production total CAPEX ($),1909617988.9921322
Hydrogen transmission total CAPEX ($),21320435.681093663
Steel Plant Total CAPEX ($),458597254.6437372
Ammonia Plant Total CAPEX ($),75971822.94143984
LCOH: Compression & storage ($/kg),0.0
LCOH: Electrolyzer CAPEX ($/kg),0.2873156722285326
LCOH: Desalination CAPEX ($/kg),0.0007454797572024427
