,0
Useful Life,30.0
Wind Cost ($/kW),1913.7600000000002
Solar Cost ($/kW),9999.0
Electrolyzer Installed Cost ($/kW),914.0007804448468
Wind capacity (MW),1704.0
Solar capacity (MW),0.0
Battery storage capacity (MW),0.0
Battery storage duration (hr),0.0
Electrolyzer capacity (MW),1520.0
Total Electricity Production (kWh),4733435894.276695
Debt Equity,60.0
ATB Year,2025.0
Grid Total Emission Intensity first year (kg-CO2/kg-H2),0.0
Off-grid Total Emission Intensity first year (kg-CO2/kg-H2),0.0
H2 PTC first year ($/kg),0.6
Ren PTC first year ($/kg),0.28703281835210354
Wind PTC,0.0051
Discount Rate,0.07
NPV Wind Expenses,-3787021457.3906894
NPV Solar Expenses,0.0
NPV HVDC Expenses,0.0
LCOE ($/MWh),59.98164713833284
Grid Price ($/MWh),0.0
Electricity CF (-),0.33900190812186837
"Wind plant CF (-),",0.3029293946768018
Solar plant CF (-),0.0
LCOH ($/kg),7.262631219672345
Electrolyzer CF (-),0.32893526831506603
Fraction of electricity from renewables (-),1.0
Average stack life (hrs),24789.0
Number of stack clusters (-),1.0
Hydrogen storage duration (hr),475.8573549906051
Hydrogen storage capacity (kg),16248662.304941056
Hydrogen storage CAPEX ($/kg),17.362965447836295
Hydrogen annual production (kg),80202601.87664087
Hydrogen production total CAPEX ($),5076500084.715162
Hydrogen transmission total CAPEX ($),64411618.94199081
Steel Plant Total CAPEX ($),458597254.6437372
Ammonia Plant Total CAPEX ($),75971822.94143984
LCOH: Compression & storage ($/kg),0.26303883052255683
LCOH: Electrolyzer CAPEX ($/kg),3.318194844477764
LCOH: Desalination CAPEX ($/kg),0.0019222505167440724
LCOH: Electrolyzer FOM ($/kg),0.2425902960955889
LCOH:Desalination FOM ($/kg),0.004578236379068717
LCOH: Electrolyzer VOM ($/kg),0.0684432835264687
LCOH: Wind Plant CAPEX ($/kg),2.575893195797601
LCOH: Wind Plant FOM ($/kg),0.6608542702953468
LCOH: Solar Plant CAPEX ($/kg),0.0
LCOH: Solar Plant FOM ($/kg),0.0
LCOH: Battery Storage CAPEX ($/kg),0.0
LCOH: Battery Storage FOM ($/kg),0.0
LCOH: Taxes and Finances ($/kg),-0.03186331063473072
LCOH: Water consumption ($/kg),0.010791556728232189
LCOH: Grid electricity ($/kg),0.0
LCOH: Bulk H2 Transmission ($/kg),0.15522320779642784
Steel annual production (tonne/year),999999.9999999999
Steel annual capacity margin (%),21.592786350274217
Ammonia annual production (kg/year),334339658.8730839
Ammonia annual capacity margin (%),21.592786350274196
Steel Price with Integration ($/tonne),1176.2226316121107
Steel price: EAF and Casting CAPEX ($/tonne),6.1846605203270215
Steel price: Shaft Furnace CAPEX ($/tonne),3.4885914573058656
Steel price: Oxygen Supply CAPEX ($/tonne),0.4226467940682507
Steel price: H2 Pre-heating CAPEX ($/tonne),0.2404107671350578
Steel price: Cooling Tower CAPEX ($/tonne),0.5204204312173325
Steel price: Piping CAPEX ($/tonne),1.536592542451001
Steel price: Electrical & Instrumentation ($/tonne),1.0243950291676431
"Steel price: Buildings, Storage, Water Service CAPEX ($/tonne)",2.3163713842457856
Steel price: Miscellaneous CAPEX ($/tonne),1.024395437513275
Steel price: Annual Operating Labor Cost ($/tonne),75.19990472290294
Steel price: Maintenance Labor Cost ($/tonne),4.338771601692345
Steel price: Administrative & Support Labor Cost ($/tonne),19.884669081148818
Steel price: Installation Cost ($/tonne),7.2839629469216955
Steel price: Maintenance Materials ($/tonne),7.720000000000001
Steel price: Raw Water Withdrawal ($/tonne),0.47648790630000004
Steel price: Lime ($/tonne),2.2519536
Steel price: Carbon ($/tonne),11.211920000000001
Steel price: Iron Ore ($/tonne),431.08854930000007
Steel price: Hydrogen ($/tonne),479.04315524958776
Steel price: Natural gas ($/tonne),2.716709262358007
Steel price: Electricity ($/tonne),47.509795523778
Steel price: Slag Disposal ($/tonne),6.5600379
Steel price: Taxes ($/tonne),14.225567776518595
Steel price: Equipment Financing ($/tonne),52.7929971750813
Steel price: Remaining Financial ($/tonne),10.05509061805874
Steel price: Oxygen sales ($/tonne),0.0
Steel price: Total ($/tonne),1189.1180570277797
(-) Steel price: BOS savings ($/tonne),5.965400724344645
Ammonia price: Air Separation by Cryogenic ($/kg),0.0021658289433065634
Ammonia price: Haber Bosch ($/kg),0.0017940520936224223
Ammonia price: Boiler and Steam Turbine ($/kg),0.0006802805187539567
Ammonia price: Cooling Tower ($/kg),0.0004618412903486992
Ammonia price: Depreciable Nonequipment ($/kg),0.002472312766371664
Ammonia price: Labor Cost ($/kg),0.016786890891857285
Ammonia price: Maintenance Cost ($/kg),0.0006711689831577444
Ammonia price: Administrative Expense ($/kg),0.0033573781783714568
Ammonia price: Hydrogen ($/kg),1.4328038643822203
Ammonia price: Electricity ($/kg),0.04582124134968282
Ammonia price: Cooling water ($/kg),0.00020137861015999997
Ammonia price: Iron based catalyst ($/kg),0.0021180315277480326
Ammonia price: Oxygen byproduct ($/kg),-0.008386648300601963
Ammonia price: Taxes ($/kg),0.005489045653071801
Ammonia price: Equipment Financing ($/kg),0.022063941448533526
Ammonia price: Remaining Financial ($/kg),0.004544589367441985
Ammonia price: Total ($/kg),1.5508824187999621
