,0
Useful Life,30.0
Wind Cost ($/kW),1844.0
Solar Cost ($/kW),1014.05
Electrolyzer Installed Cost ($/kW),757.5733020597115
Wind capacity (MW),1080.0
Solar capacity (MW),600.0
Battery storage capacity (MW),0.0
Battery storage duration (hr),0.0
Electrolyzer capacity (MW),1280.0
Total Electricity Production (kWh),4531376590.073288
Debt Equity,60.0
ATB Year,2030.0
Grid Total Emission Intensity first year (kg-CO2/kg-H2),0.0
Off-grid Total Emission Intensity first year (kg-CO2/kg-H2),0.0
H2 PTC first year ($/kg),0.0
Ren PTC first year ($/kg),0.0
Wind PTC,0.0
Discount Rate,0.07
NPV Wind Expenses,-103836253.46444874
NPV Solar Expenses,-755933003.8149371
NPV HVDC Expenses,0.0
LCOE ($/MWh),52.77559029981325
Grid Price ($/MWh),0.0
Electricity CF (-),0.40412533801309986
Wind plant CF (-),0.35248332549819034
Wind annual energy (MWh),3279194.6751087247
Solar plant CF (-),0.23896035373474686
Solar annual energy (MWh),1255975.6192298296
LCOH ($/kg),5.044737525632772
Electrolyzer CF (-),0.4011900345622285
Fraction of electricity from renewables (-),1.0
Average stack life (hrs),36579.0
Number of stack clusters (-),27.0
Hydrogen storage duration (hr),288.54575403244377
Hydrogen storage capacity (kg),8461084.293216519
Hydrogen storage CAPEX ($/kg),23.322106675612204
Hydrogen annual production (kg),82702982.35438636
Hydrogen production total CAPEX ($),3798599882.4844666
Hydrogen transmission total CAPEX ($),38124894.39459632
Steel Plant Total CAPEX ($),398350164.32779527
Ammonia Plant Total CAPEX ($),102761896.56000203
LCOH: Compression & storage ($/kg),0.18255657328848404
LCOH: Electrolyzer CAPEX ($/kg),1.6004512784108655
LCOH: Desalination CAPEX ($/kg),0.0017777041496222184
LCOH: Electrolyzer FOM ($/kg),0.2006214648502319
LCOH:Desalination FOM ($/kg),0.003979068106351584
LCOH: Electrolyzer VOM ($/kg),0.07214821811631754
LCOH: Wind Plant CAPEX ($/kg),1.6033880337596091
LCOH: Wind Plant FOM ($/kg),0.4141932019920657
LCOH: Solar Plant CAPEX ($/kg),0.48985166173593986
LCOH: Solar Plant FOM ($/kg),0.13224559450576814
LCOH: Battery Storage CAPEX ($/kg),0.0
LCOH: Battery Storage FOM ($/kg),0.0
LCOH: Taxes and Finances ($/kg),0.17376967700066584
LCOH: Water consumption ($/kg),0.011655677691341555
LCOH: Grid electricity ($/kg),0.0
LCOH: Bulk H2 Transmission ($/kg),0.15809937202550847
Steel annual production (tonne/year),999999.9999999999
Steel annual capacity margin (%),25.383539045461447
Ammonia annual production (kg/year),334339658.8730839
Ammonia annual capacity margin (%),25.38353904546141
Steel Price with Integration ($/tonne),1140.0770015408264
Steel price: EAF and Casting CAPEX ($/tonne),5.378405352315362
Steel price: Shaft Furnace CAPEX ($/tonne),3.0338058013608475
Steel price: Oxygen Supply CAPEX ($/tonne),0.3675489983458965
Steel price: H2 Pre-heating CAPEX ($/tonne),0.20906993236955657
Steel price: Cooling Tower CAPEX ($/tonne),0.45257650335277694
Steel price: Piping CAPEX ($/tonne),1.3362766682963125
Steel price: Electrical & Instrumentation ($/tonne),0.8908511129514954
"Steel price: Buildings, Storage, Water Service CAPEX ($/tonne)",2.0144006627414566
Steel price: Miscellaneous CAPEX ($/tonne),0.8908514680636841
Steel price: Annual Operating Labor Cost ($/tonne),81.31578076159346
Steel price: Maintenance Labor Cost ($/tonne),4.075284052281331
Steel price: Administrative & Support Labor Cost ($/tonne),23.057162980646822
Steel price: Installation Cost ($/tonne),7.304523979243139
Steel price: Maintenance Materials ($/tonne),8.338169741697413
Steel price: Raw Water Withdrawal ($/tonne),0.5146421039631365
Steel price: Lime ($/tonne),2.4880097269372694
Steel price: Carbon ($/tonne),12.273610391143912
Steel price: Iron Ore ($/tonne),470.76987105498154
Steel price: Hydrogen ($/tonne),332.7508871907376
Steel price: Natural gas ($/tonne),3.0886529546270554
Steel price: Electricity ($/tonne),53.565695363986194
Steel price: Slag Disposal ($/tonne),7.085325067638375
Steel price: Taxes ($/tonne),30.08214712702101
Steel price: Equipment Financing ($/tonne),93.3976133677929
Steel price: Remaining Financial ($/tonne),8.744271899878433
Steel price: Oxygen sales ($/tonne),0.0
Steel price: Total ($/tonne),1153.425434263967
(-) Steel price: BOS savings ($/tonne),6.917148894194047
Ammonia price: Air Separation by Cryogenic ($/kg),0.002964301270946252
Ammonia price: Haber Bosch ($/kg),0.0024554621073396453
Ammonia price: Boiler and Steam Turbine ($/kg),0.0009310783349601288
Ammonia price: Cooling Tower ($/kg),0.0006321075023893634
Ammonia price: Depreciable Nonequipment ($/kg),0.0032623102416052376
Ammonia price: Labor Cost ($/kg),0.018131081048142532
Ammonia price: Maintenance Cost ($/kg),0.0009186076656436084
Ammonia price: Administrative Expense ($/kg),0.003626216209628507
Ammonia price: Hydrogen ($/kg),0.9952480310361584
Ammonia price: Electricity ($/kg),0.011855584824890198
Ammonia price: Cooling water ($/kg),0.00021750376086284866
Ammonia price: Iron based catalyst ($/kg),0.0021180315277480326
Ammonia price: Oxygen byproduct ($/kg),-0.0
Ammonia price: Taxes ($/kg),0.010464108444131977
Ammonia price: Equipment Financing ($/kg),0.036404291015964776
Ammonia price: Remaining Financial ($/kg),0.006147155674344375
Ammonia price: Total ($/kg),1.0965552295986989
