,0
Useful Life,30.0
Wind Cost ($/kW),1092.5
Solar Cost ($/kW),735.8955223880597
Electrolyzer Installed Cost ($/kW),554.41344
Wind capacity (MW),1242.0
Solar capacity (MW),250.0
Battery storage capacity (MW),0.0
Battery storage duration (hr),0.0
Electrolyzer capacity (MW),960.0
Total Electricity Production (kWh),4384662549.487025
Debt Equity,60.0
ATB Year,2030.0
Grid Total Emission Intensity first year (kg-CO2/kg-H2),0.0
Off-grid Total Emission Intensity first year (kg-CO2/kg-H2),0.0
H2 PTC first year ($/kg),0.6
Ren PTC first year ($/kg),0.2704542082105047
Wind PTC,0.0055341
Discount Rate,0.07
NPV Wind Expenses,-1528185683.6619632
NPV Solar Expenses,-265213720.42801318
NPV HVDC Expenses,0.0
LCOE ($/MWh),36.12653195459047
Grid Price ($/MWh),0.0
Electricity CF (-),0.5213877651121376
Wind plant CF (-),0.36784517999581917
Wind annual energy (MWh),3992459.159409822
Solar plant CF (-),0.2451559565578307
Solar annual energy (MWh),536891.5448616492
LCOH ($/kg),2.555031011737401
Electrolyzer CF (-),0.5021139751084316
Fraction of electricity from renewables (-),1.0
Average stack life (hrs),39452.0
Number of stack clusters (-),24.0
Hydrogen storage duration (hr),194.5084107672735
Hydrogen storage capacity (kg),4246717.21002139
Hydrogen storage CAPEX ($/kg),17.362965447836295
Hydrogen annual production (kg),77928010.9615937
Hydrogen production total CAPEX ($),2185927411.7805934
Hydrogen transmission total CAPEX ($),34483922.814076036
Steel Plant Total CAPEX ($),458597254.6437372
Ammonia Plant Total CAPEX ($),75971822.94143984
LCOH: Compression & storage ($/kg),0.08354070951328982
LCOH: Electrolyzer CAPEX ($/kg),0.819874737833272
LCOH: Desalination CAPEX ($/kg),0.0012443869408889903
LCOH: Electrolyzer FOM ($/kg),0.15891805160763184
LCOH:Desalination FOM ($/kg),0.0031519346703381018
LCOH: Electrolyzer VOM ($/kg),0.07374814901657548
LCOH: Wind Plant CAPEX ($/kg),1.0196044038581826
LCOH: Wind Plant FOM ($/kg),0.4683830222997356
LCOH: Solar Plant CAPEX ($/kg),0.1382435348991225
LCOH: Solar Plant FOM ($/kg),0.043430991540973296
LCOH: Battery Storage CAPEX ($/kg),0.0
LCOH: Battery Storage FOM ($/kg),0.0
LCOH: Taxes and Finances ($/kg),-0.39766938934148094
LCOH: Water consumption ($/kg),0.012612137203166226
LCOH: Grid electricity ($/kg),0.0
LCOH: Bulk H2 Transmission ($/kg),0.13661414397471866
Steel annual production (tonne/year),999999.9999999999
Steel annual capacity margin (%),18.144346515454366
Ammonia annual production (kg/year),334339658.8730839
Ammonia annual capacity margin (%),18.14434651545435
Steel Price with Integration ($/tonne),929.1488740990333
Steel price: EAF and Casting CAPEX ($/tonne),6.1918436335910485
Steel price: Shaft Furnace CAPEX ($/tonne),3.492643247616326
Steel price: Oxygen Supply CAPEX ($/tonne),0.42313767303929395
Steel price: H2 Pre-heating CAPEX ($/tonne),0.2406899898611148
Steel price: Cooling Tower CAPEX ($/tonne),0.5210248684196755
Steel price: Piping CAPEX ($/tonne),1.538377202779051
Steel price: Electrical & Instrumentation ($/tonne),1.0255848027206835
"Steel price: Buildings, Storage, Water Service CAPEX ($/tonne)",2.3190617110567566
Steel price: Miscellaneous CAPEX ($/tonne),1.0255852115405844
Steel price: Annual Operating Labor Cost ($/tonne),75.28724491421873
Steel price: Maintenance Labor Cost ($/tonne),4.34381082538769
Steel price: Administrative & Support Labor Cost ($/tonne),19.90776393490161
Steel price: Installation Cost ($/tonne),7.301776968513747
Steel price: Maintenance Materials ($/tonne),7.719999999999999
Steel price: Raw Water Withdrawal ($/tonne),0.4764879063
Steel price: Lime ($/tonne),2.0654988
Steel price: Carbon ($/tonne),12.309439999999999
Steel price: Iron Ore ($/tonne),431.57733029999986
Steel price: Hydrogen ($/tonne),168.529845534199
Steel price: Natural gas ($/tonne),2.716709262358007
Steel price: Electricity ($/tonne),50.475760854647554
Steel price: Slag Disposal ($/tonne),6.560037899999999
Steel price: Taxes ($/tonne),30.524004630161137
Steel price: Equipment Financing ($/tonne),96.07324987918507
Steel price: Remaining Financial ($/tonne),10.06676900437472
Steel price: Oxygen sales ($/tonne),0.0
Steel price: Total ($/tonne),942.7136790548716
(-) Steel price: BOS savings ($/tonne),5.972329180470482
Ammonia price: Air Separation by Cryogenic ($/kg),0.0021658289433065634
Ammonia price: Haber Bosch ($/kg),0.0017940520936224223
Ammonia price: Boiler and Steam Turbine ($/kg),0.0006802805187539567
Ammonia price: Cooling Tower ($/kg),0.0004618412903486992
Ammonia price: Depreciable Nonequipment ($/kg),0.002472312766371664
Ammonia price: Labor Cost ($/kg),0.016786890891857285
Ammonia price: Maintenance Cost ($/kg),0.0006711689831577444
Ammonia price: Administrative Expense ($/kg),0.0033573781783714568
Ammonia price: Hydrogen ($/kg),0.5040677677970989
Ammonia price: Electricity ($/kg),0.04883100178329279
Ammonia price: Cooling water ($/kg),0.00023535201871999998
Ammonia price: Iron based catalyst ($/kg),0.0021180315277480326
Ammonia price: Oxygen byproduct ($/kg),-0.008386648300601963
Ammonia price: Taxes ($/kg),0.007540075433359356
Ammonia price: Equipment Financing ($/kg),0.026314236937525888
Ammonia price: Remaining Financial ($/kg),0.004544589367441986
Ammonia price: Total ($/kg),0.6314913813262907
