,0
Useful Life,30.0
Wind Cost ($/kW),1179.9
Solar Cost ($/kW),9999.0
Electrolyzer Installed Cost ($/kW),554.41344
Wind capacity (MW),1050.0
Solar capacity (MW),0.0
Battery storage capacity (MW),0.0
Battery storage duration (hr),0.0
Electrolyzer capacity (MW),960.0
Total Electricity Production (kWh),3383439965.601592
Debt Equity,60.0
ATB Year,2030.0
Grid Total Emission Intensity first year (kg-CO2/kg-H2),0.0
Off-grid Total Emission Intensity first year (kg-CO2/kg-H2),0.0
H2 PTC first year ($/kg),0.6
Ren PTC first year ($/kg),0.2730290151345343
Wind PTC,0.0051
Discount Rate,0.07
NPV Wind Expenses,-1793950052.557931
NPV Solar Expenses,0.0
NPV HVDC Expenses,0.0
LCOE ($/MWh),36.7114067950404
Grid Price ($/MWh),0.0
Electricity CF (-),0.4023306656204429
Wind plant CF (-),0.3678451799958335
Wind annual energy (MWh),3383439.9656016766
Solar plant CF (-),0.0
Solar annual energy (MWh),0.0
LCOH ($/kg),4.718294146307506
Electrolyzer CF (-),0.3889240837929476
Fraction of electricity from renewables (-),1.0
Average stack life (hrs),28948.0
Number of stack clusters (-),24.0
Hydrogen storage duration (hr),171.03534836362218
Hydrogen storage capacity (kg),3742619.0685863383
Hydrogen storage CAPEX ($/kg),17.362965447836295
Hydrogen annual production (kg),60626271.62246544
Hydrogen production total CAPEX ($),1875210892.5715234
Hydrogen transmission total CAPEX ($),31161432.88340258
Steel Plant Total CAPEX ($),406366969.3839216
Ammonia Plant Total CAPEX ($),67583968.89080778
LCOH: Compression & storage ($/kg),0.1443333229004073
LCOH: Electrolyzer CAPEX ($/kg),1.76255269139414
LCOH: Desalination CAPEX ($/kg),0.0023336517535731956
LCOH: Electrolyzer FOM ($/kg),0.20516850957390328
LCOH:Desalination FOM ($/kg),0.004069252876219662
LCOH: Electrolyzer VOM ($/kg),0.07346362018686109
LCOH: Wind Plant CAPEX ($/kg),1.7458372843980459
LCOH: Wind Plant FOM ($/kg),0.5112182150173966
LCOH: Solar Plant CAPEX ($/kg),0.0
LCOH: Solar Plant FOM ($/kg),0.0
LCOH: Battery Storage CAPEX ($/kg),0.0
LCOH: Battery Storage FOM ($/kg),0.0
LCOH: Taxes and Finances ($/kg),0.09092775154148094
LCOH: Water consumption ($/kg),0.01261213720316623
LCOH: Grid electricity ($/kg),0.0
LCOH: Bulk H2 Transmission ($/kg),0.16794770591318373
Steel annual production (tonne/year),827223.2331749378
Steel annual capacity margin (%),11.111111111111102
Ammonia annual production (kg/year),276573533.5915982
Ammonia annual capacity margin (%),11.1111111111111
Steel Price with Integration ($/tonne),1107.7112590777278
Steel price: EAF and Casting CAPEX ($/tonne),6.864884247764397
Steel price: Shaft Furnace CAPEX ($/tonne),3.568034827977117
Steel price: Oxygen Supply CAPEX ($/tonne),0.45254801825025404
Steel price: H2 Pre-heating CAPEX ($/tonne),0.24690292759588187
Steel price: Cooling Tower CAPEX ($/tonne),0.5585606267464691
Steel price: Piping CAPEX ($/tonne),1.6596929539364058
Steel price: Electrical & Instrumentation ($/tonne),1.1064619702273688
"Steel price: Buildings, Storage, Water Service CAPEX ($/tonne)",2.4087279987122163
Steel price: Miscellaneous CAPEX ($/tonne),1.1064624112866277
Steel price: Annual Operating Labor Cost ($/tonne),86.75709652139497
Steel price: Maintenance Labor Cost ($/tonne),4.653022251868405
Steel price: Administrative & Support Labor Cost ($/tonne),22.852529693315844
Steel price: Installation Cost ($/tonne),7.715281927953484
Steel price: Maintenance Materials ($/tonne),7.719999999999999
Steel price: Raw Water Withdrawal ($/tonne),0.47648790630000004
Steel price: Lime ($/tonne),2.0654988
Steel price: Carbon ($/tonne),12.309439999999999
Steel price: Iron Ore ($/tonne),431.5773302999999
Steel price: Hydrogen ($/tonne),311.21868189044307
Steel price: Natural gas ($/tonne),2.716709262358007
Steel price: Electricity ($/tonne),68.84517140625806
Steel price: Slag Disposal ($/tonne),6.560037900000001
Steel price: Taxes ($/tonne),28.838708986691152
Steel price: Equipment Financing ($/tonne),98.22206143918277
Steel price: Remaining Financial ($/tonne),10.783365589498041
Steel price: Oxygen sales ($/tonne),0.0
Steel price: Total ($/tonne),1121.2836998577607
(-) Steel price: BOS savings ($/tonne),6.855758907994753
Ammonia price: Air Separation by Cryogenic ($/kg),0.0023365499184478922
Ammonia price: Haber Bosch ($/kg),0.001935467842924379
Ammonia price: Boiler and Steam Turbine ($/kg),0.0007339034763241963
Ammonia price: Cooling Tower ($/kg),0.0004982458252924817
Ammonia price: Depreciable Nonequipment ($/kg),0.002641221737493733
Ammonia price: Labor Cost ($/kg),0.019353219626075363
Ammonia price: Maintenance Cost ($/kg),0.0006461843310337105
Ammonia price: Administrative Expense ($/kg),0.0038706439252150734
Ammonia price: Hydrogen ($/kg),0.9308458438326704
Ammonia price: Electricity ($/kg),0.06672821558702344
Ammonia price: Cooling water ($/kg),0.0002353520187199999
Ammonia price: Iron based catalyst ($/kg),0.0021180315277480317
Ammonia price: Oxygen byproduct ($/kg),-0.008386648300601962
Ammonia price: Taxes ($/kg),0.008217720337968354
Ammonia price: Equipment Financing ($/kg),0.030979303485033485
Ammonia price: Remaining Financial ($/kg),0.0048872332802896105
Ammonia price: Total ($/kg),1.0856081816656271
