,0
Useful Life,30.0
Wind Cost ($/kW),0.0
Solar Cost ($/kW),9999.0
Electrolyzer Installed Cost ($/kW),554.41344
Wind capacity (MW),0.0
Solar capacity (MW),0.0
Battery storage capacity (MW),0.0
Battery storage duration (hr),0.0
Electrolyzer capacity (MW),480.0
Total Electricity Production (kWh),4008524165.6903014
Debt Equity,60.0
ATB Year,2030.0
Grid Total Emission Intensity first year (kg-CO2/kg-H2),0.0
Off-grid Total Emission Intensity first year (kg-CO2/kg-H2),0.0
H2 PTC first year ($/kg),3.0
Ren PTC first year ($/kg),0.0
Wind PTC,0.0332046
Discount Rate,0.07
NPV Wind Expenses,0.0
NPV Solar Expenses,0.0
NPV HVDC Expenses,0.0
LCOE ($/MWh),0.0
Grid Price ($/MWh),93.83010424
Electricity CF (-),1.0
Wind plant CF (-),0.0
Wind annual energy (MWh),0.0
Solar plant CF (-),0.0
Solar annual energy (MWh),0.0
LCOH ($/kg),3.52672186310349
Electrolyzer CF (-),0.9518373167877198
Fraction of electricity from renewables (-),0.0
Average stack life (hrs),78059.0
Number of stack clusters (-),12.0
Hydrogen storage duration (hr),0.0
Hydrogen storage capacity (kg),0.0
Hydrogen storage CAPEX ($/kg),0.0
Hydrogen annual production (kg),73288932.07856058
Hydrogen production total CAPEX ($),285666463.49962276
Hydrogen transmission total CAPEX ($),32973833.977459792
Steel Plant Total CAPEX ($),458597254.6437372
Ammonia Plant Total CAPEX ($),75971822.94143984
LCOH: Compression & storage ($/kg),-0.023071814502143594
LCOH: Electrolyzer CAPEX ($/kg),-0.47557486834626184
LCOH: Desalination CAPEX ($/kg),-0.0010204992618797555
LCOH: Electrolyzer FOM ($/kg),0.08383257643069576
LCOH:Desalination FOM ($/kg),0.0016627110733025703
LCOH: Electrolyzer VOM ($/kg),0.0752748738237094
LCOH: Wind Plant CAPEX ($/kg),0.0
LCOH: Wind Plant FOM ($/kg),0.0
LCOH: Solar Plant CAPEX ($/kg),0.0
LCOH: Solar Plant FOM ($/kg),0.0
LCOH: Battery Storage CAPEX ($/kg),0.0
LCOH: Battery Storage FOM ($/kg),0.0
LCOH: Taxes and Finances ($/kg),-1.6175191206073494
LCOH: Water consumption ($/kg),0.01261213720316623
LCOH: Grid electricity ($/kg),5.328553940929824
LCOH: Bulk H2 Transmission ($/kg),0.14197192636042655
Steel annual production (tonne/year),999999.9999999999
Steel annual capacity margin (%),11.111176589691606
Ammonia annual production (kg/year),334339658.8730839
Ammonia annual capacity margin (%),11.111176589691588
Steel Price with Integration ($/tonne),993.945336081373
Steel price: EAF and Casting CAPEX ($/tonne),6.1918436335910485
Steel price: Shaft Furnace CAPEX ($/tonne),3.492643247616326
Steel price: Oxygen Supply CAPEX ($/tonne),0.42313767303929395
Steel price: H2 Pre-heating CAPEX ($/tonne),0.2406899898611148
Steel price: Cooling Tower CAPEX ($/tonne),0.5210248684196755
Steel price: Piping CAPEX ($/tonne),1.538377202779051
Steel price: Electrical & Instrumentation ($/tonne),1.0255848027206835
"Steel price: Buildings, Storage, Water Service CAPEX ($/tonne)",2.3190617110567566
Steel price: Miscellaneous CAPEX ($/tonne),1.0255852115405844
Steel price: Annual Operating Labor Cost ($/tonne),75.28724491421873
Steel price: Maintenance Labor Cost ($/tonne),4.34381082538769
Steel price: Administrative & Support Labor Cost ($/tonne),19.90776393490161
Steel price: Installation Cost ($/tonne),7.301776968513747
Steel price: Maintenance Materials ($/tonne),7.719999999999999
Steel price: Raw Water Withdrawal ($/tonne),0.4764879063
Steel price: Lime ($/tonne),2.0654988
Steel price: Carbon ($/tonne),12.309439999999999
Steel price: Iron Ore ($/tonne),431.57733029999986
Steel price: Hydrogen ($/tonne),232.6225740903062
Steel price: Natural gas ($/tonne),2.716709262358007
Steel price: Electricity ($/tonne),50.475760854647554
Steel price: Slag Disposal ($/tonne),6.560037899999999
Steel price: Taxes ($/tonne),30.705145614073576
Steel price: Equipment Financing ($/tonne),96.59584232150587
Steel price: Remaining Financial ($/tonne),10.066769004374722
Steel price: Oxygen sales ($/tonne),0.0
Steel price: Total ($/tonne),1007.5101410372121
(-) Steel price: BOS savings ($/tonne),5.972329180470482
Ammonia price: Air Separation by Cryogenic ($/kg),0.0021658289433065634
Ammonia price: Haber Bosch ($/kg),0.0017940520936224223
Ammonia price: Boiler and Steam Turbine ($/kg),0.0006802805187539567
Ammonia price: Cooling Tower ($/kg),0.0004618412903486992
Ammonia price: Depreciable Nonequipment ($/kg),0.002472312766371664
Ammonia price: Labor Cost ($/kg),0.016786890891857285
Ammonia price: Maintenance Cost ($/kg),0.0006711689831577444
Ammonia price: Administrative Expense ($/kg),0.0033573781783714568
Ammonia price: Hydrogen ($/kg),0.6957672173094196
Ammonia price: Electricity ($/kg),0.04883100178329279
Ammonia price: Cooling water ($/kg),0.00023535201871999998
Ammonia price: Iron based catalyst ($/kg),0.0021180315277480326
Ammonia price: Oxygen byproduct ($/kg),-0.008386648300601963
Ammonia price: Taxes ($/kg),0.008082739635532101
Ammonia price: Equipment Financing ($/kg),0.0278798252690468
Ammonia price: Remaining Financial ($/kg),0.0045445893674419865
Ammonia price: Total ($/kg),0.825299083372305
