,Type,Name,NPV
0,Operating Expenses,Administrative expenses,0.0
1,Financing cash outflow,Income taxes payable,0.0
2,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
3,Operating Expenses,Grid Electricity Cost,0.0
4,Operating Expenses,Licensing and Permitting,0.0
5,Operating Expenses,Rent of land,0.0
6,Financing cash outflow,Capital gains taxes payable,0.0
7,Operating Expenses,Labor,0.0
8,Operating Expenses,Total annual maintenance,0.0
9,Operating Expenses,Installation cost,0.0
10,Operating Expenses,Sales tax,0.0
11,Financing cash outflow,Battery Storage,0.0
12,Operating Expenses,Road tax,0.0
13,Operating Expenses,Credit card fees,0.0
14,Operating Expenses,Non-depreciable assets,0.00010297371914399172
15,Financing cash outflow,Desalination,0.000824213891228179
16,Operating Expenses,Desalination Fixed O&M Cost,0.003638979249196462
17,Operating Expenses,Water,0.007678100263852241
18,Financing cash outflow,Compression,0.018634124216296743
19,Operating Expenses,Cash on hand reserve,0.027972796871933492
20,Operating Expenses,Var O&M,0.07262864052928683
21,Operating Expenses,Property insurance,0.08894216666881757
22,Operating Expenses,Solar Plant Fixed O&M Cost,0.14178097897064534
23,Operating Expenses,Electrolyzer Fixed O&M Cost,0.18347445382199867
24,Financing cash outflow,Solar Plant,0.2877116451306753
25,Operating Expenses,Wind Plant Fixed O&M Cost,0.37700577908270244
26,Financing cash outflow,Wind Plant,0.6504860629971725
27,Financing cash outflow,Hydrogen Storage,0.790591388280442
28,Financing cash outflow,Electrolysis system,0.9045996873624063
29,Financing cash outflow,Repayment of debt,1.19805620948207
30,Financing cash outflow,Interest expense,1.6302422749924907
31,Financing cash outflow,Dividends paid,1.6589438213727663
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,Annual operating incentives,0.0
35,Operating Revenue,Sale of non-depreciable assets,0.012401116785873474
36,Operating Revenue,Cash on hand recovery,0.027972796871933492
37,Financing cash inflow,One time capital incentive,0.5391515167055587
38,Financing cash inflow,Inflow of debt,1.1980562094820701
39,Operating Revenue,Hydrogen sales,1.5538769455904229
40,Financing cash inflow,Inflow of equity,2.3245913676515046
41,Financing cash inflow,Monetized tax losses,2.387264343815762
