,Type,Name,NPV
0,Operating Expenses,Administrative expenses,0.0
1,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
2,Operating Expenses,Grid Electricity Cost,0.0
3,Operating Expenses,Licensing and Permitting,0.0
4,Operating Expenses,Rent of land,0.0
5,Financing cash outflow,Capital gains taxes payable,0.0
6,Operating Expenses,Labor,0.0
7,Operating Expenses,Total annual maintenance,0.0
8,Operating Expenses,Installation cost,0.0
9,Operating Expenses,Sales tax,0.0
10,Financing cash outflow,Battery Storage,0.0
11,Operating Expenses,Road tax,0.0
12,Operating Expenses,Credit card fees,0.0
13,Operating Expenses,Non-depreciable assets,0.00010148678075120961
14,Financing cash outflow,Desalination,0.0008683337946815437
15,Operating Expenses,Desalination Fixed O&M Cost,0.003833772633355645
16,Operating Expenses,Water,0.008292914934426387
17,Financing cash outflow,Compression,0.011417048828577714
18,Operating Expenses,Cash on hand reserve,0.01650865915619351
19,Operating Expenses,Var O&M,0.07199970945234835
20,Operating Expenses,Property insurance,0.09770918911288447
21,Operating Expenses,Solar Plant Fixed O&M Cost,0.17902268124513376
22,Operating Expenses,Electrolyzer Fixed O&M Cost,0.19329578208998385
23,Operating Expenses,Wind Plant Fixed O&M Cost,0.3197510226327728
24,Financing cash outflow,Solar Plant,0.4239711752662533
25,Financing cash outflow,Hydrogen Storage,0.5376715302170291
26,Financing cash outflow,Wind Plant,0.6374942429735774
27,Financing cash outflow,Income taxes payable,0.7980271805130852
28,Financing cash outflow,Electrolysis system,1.3041817331083025
29,Financing cash outflow,Repayment of debt,1.40268750089577
30,Financing cash outflow,Interest expense,2.136873080578061
31,Financing cash outflow,Dividends paid,3.4410537841541147
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,One time capital incentive,0.0
35,Financing cash inflow,Annual operating incentives,0.0
36,Operating Revenue,Cash on hand recovery,0.01650865915619351
37,Operating Revenue,Sale of non-depreciable assets,0.01783199648891133
38,Financing cash inflow,Monetized tax losses,0.3843863456273631
39,Financing cash inflow,Inflow of debt,1.40268750089577
40,Financing cash inflow,Inflow of equity,2.2476983685125567
41,Operating Revenue,Hydrogen sales,7.515647957686508
