,Type,Name,NPV
0,Operating Expenses,Rent of land,0.0
1,Financing cash outflow,Capital gains taxes payable,0.0
2,Financing cash outflow,Income taxes payable,0.0
3,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
4,Operating Expenses,Solar Plant Fixed O&M Cost,0.0
5,Operating Expenses,Grid Electricity Cost,0.0
6,Operating Expenses,Licensing and Permitting,0.0
7,Financing cash outflow,Solar Plant,0.0
8,Operating Expenses,Administrative expenses,0.0
9,Operating Expenses,Labor,0.0
10,Operating Expenses,Total annual maintenance,0.0
11,Financing cash outflow,Battery Storage,0.0
12,Operating Expenses,Sales tax,0.0
13,Operating Expenses,Credit card fees,0.0
14,Operating Expenses,Road tax,0.0
15,Operating Expenses,Installation cost,0.0
16,Operating Expenses,Non-depreciable assets,9.956604564961239e-05
17,Financing cash outflow,Desalination,0.0007583079378848056
18,Operating Expenses,Desalination Fixed O&M Cost,0.003347998474463741
19,Operating Expenses,Water,0.011873350923482844
20,Financing cash outflow,Compression,0.018017471620753858
21,Operating Expenses,Cash on hand reserve,0.036275928803128236
22,Operating Expenses,Var O&M,0.06876386692031218
23,Operating Expenses,Property insurance,0.130591869813076
24,Operating Expenses,Electrolyzer Fixed O&M Cost,0.17740279749665339
25,Operating Expenses,Wind Plant Fixed O&M Cost,0.47940047354548215
26,Financing cash outflow,Wind Plant,0.797379128342041
27,Financing cash outflow,Electrolysis system,0.9923015471558454
28,Financing cash outflow,Repayment of debt,1.4917355825593153
29,Financing cash outflow,Hydrogen Storage,2.082913894726112
30,Financing cash outflow,Dividends paid,2.18638869922892
31,Financing cash outflow,Interest expense,2.2235898280591098
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,Annual operating incentives,0.0
35,Operating Revenue,Sale of non-depreciable assets,0.0063320642737426025
36,Operating Revenue,Cash on hand recovery,0.036275928803128236
37,Financing cash inflow,One time capital incentive,1.041456947363056
38,Financing cash inflow,Inflow of debt,1.4917355825593155
39,Operating Revenue,Hydrogen sales,2.67936419531263
40,Financing cash inflow,Monetized tax losses,2.7157673993772873
41,Financing cash inflow,Inflow of equity,2.7299081939630705
