,Type,Name,NPV
0,Operating Expenses,Rent of land,0.0
1,Financing cash outflow,Capital gains taxes payable,0.0
2,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
3,Operating Expenses,Solar Plant Fixed O&M Cost,0.0
4,Operating Expenses,Grid Electricity Cost,0.0
5,Operating Expenses,Licensing and Permitting,0.0
6,Financing cash outflow,Solar Plant,0.0
7,Operating Expenses,Administrative expenses,0.0
8,Operating Expenses,Labor,0.0
9,Operating Expenses,Total annual maintenance,0.0
10,Operating Expenses,Installation cost,0.0
11,Financing cash outflow,Battery Storage,0.0
12,Operating Expenses,Credit card fees,0.0
13,Operating Expenses,Road tax,0.0
14,Operating Expenses,Sales tax,0.0
15,Operating Expenses,Non-depreciable assets,0.00011489928485296012
16,Financing cash outflow,Desalination,0.0009196675370690333
17,Operating Expenses,Desalination Fixed O&M Cost,0.004060415772132781
18,Operating Expenses,Water,0.007678100263852245
19,Operating Expenses,Cash on hand reserve,0.01823502239011483
20,Financing cash outflow,Compression,0.020792174586991664
21,Operating Expenses,Var O&M,0.07383260645322473
22,Operating Expenses,Property insurance,0.10225485381100823
23,Financing cash outflow,Hydrogen Storage,0.11481202444196606
24,Operating Expenses,Electrolyzer Fixed O&M Cost,0.20472294977961025
25,Operating Expenses,Wind Plant Fixed O&M Cost,0.5847496319995962
26,Financing cash outflow,Repayment of debt,0.7437159157049447
27,Financing cash outflow,Income taxes payable,0.9704350021449796
28,Financing cash outflow,Wind Plant,1.0010554321115632
29,Financing cash outflow,Interest expense,1.7179837652784222
30,Financing cash outflow,Electrolysis system,1.90926276102284
31,Financing cash outflow,Dividends paid,4.596764106825351
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,Annual operating incentives,0.0
35,Financing cash inflow,One time capital incentive,0.006888721466517964
36,Operating Revenue,Sale of non-depreciable assets,0.01210669432855404
37,Operating Revenue,Cash on hand recovery,0.018235022390114833
38,Financing cash inflow,Monetized tax losses,0.42756463947952394
39,Financing cash inflow,Inflow of debt,0.7437159157049447
40,Financing cash inflow,Inflow of equity,1.8788685364423872
41,Operating Revenue,Hydrogen sales,8.984009799596478
