,Type,Name,NPV
0,Operating Expenses,Administrative expenses,0.0
1,Financing cash outflow,Hydrogen Storage,0.0
2,Financing cash outflow,Capital gains taxes payable,0.0
3,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
4,Operating Expenses,Solar Plant Fixed O&M Cost,0.0
5,Operating Expenses,Licensing and Permitting,0.0
6,Operating Expenses,Rent of land,0.0
7,Financing cash outflow,Solar Plant,0.0
8,Operating Expenses,Labor,0.0
9,Operating Expenses,Total annual maintenance,0.0
10,Operating Expenses,Installation cost,0.0
11,Financing cash outflow,Battery Storage,0.0
12,Operating Expenses,Credit card fees,0.0
13,Operating Expenses,Road tax,0.0
14,Operating Expenses,Sales tax,0.0
15,Operating Expenses,Non-depreciable assets,0.00011370738844397688
16,Financing cash outflow,Desalination,0.0003583490655106063
17,Operating Expenses,Desalination Fixed O&M Cost,0.0015821436974556256
18,Financing cash outflow,Income taxes payable,0.0025610483641456162
19,Financing cash outflow,Wind Plant,0.0033619601423765617
20,Operating Expenses,Water,0.007678100263852243
21,Financing cash outflow,Compression,0.008514409246684989
22,Operating Expenses,Property insurance,0.010270431775564888
23,Operating Expenses,Cash on hand reserve,0.012731091964290843
24,Operating Expenses,Var O&M,0.07110411790168084
25,Operating Expenses,Electrolyzer Fixed O&M Cost,0.08383418335197526
26,Financing cash outflow,Repayment of debt,0.1605877413286756
27,Operating Expenses,Wind Plant Fixed O&M Cost,0.22154230878051367
28,Financing cash outflow,Interest expense,0.22376809099327438
29,Financing cash outflow,Dividends paid,0.24123884168111565
30,Financing cash outflow,Electrolysis system,0.292358758565595
31,Operating Expenses,Grid Electricity Cost,3.34529540546351
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,One time capital incentive,0.0
35,Financing cash inflow,Annual operating incentives,0.0
36,Operating Revenue,Sale of non-depreciable assets,0.00011370738844386843
37,Operating Revenue,Cash on hand recovery,0.012731091964290845
38,Financing cash inflow,Inflow of debt,0.1605877413286756
39,Financing cash inflow,Inflow of equity,0.30257361212738065
40,Financing cash inflow,Monetized tax losses,0.30467228758569925
41,Operating Revenue,Hydrogen sales,3.9062222495801757
