,Type,Name,NPV
0,Operating Expenses,Administrative expenses,0.0
1,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
2,Operating Expenses,Grid Electricity Cost,0.0
3,Operating Expenses,Licensing and Permitting,0.0
4,Operating Expenses,Rent of land,0.0
5,Financing cash outflow,Capital gains taxes payable,0.0
6,Operating Expenses,Labor,0.0
7,Operating Expenses,Total annual maintenance,0.0
8,Operating Expenses,Installation cost,0.0
9,Operating Expenses,Sales tax,0.0
10,Financing cash outflow,Battery Storage,0.0
11,Operating Expenses,Road tax,0.0
12,Operating Expenses,Credit card fees,0.0
13,Operating Expenses,Non-depreciable assets,0.00010459569322975737
14,Financing cash outflow,Desalination,0.0008371963646574508
15,Operating Expenses,Desalination Fixed O&M Cost,0.003696298049468036
16,Operating Expenses,Water,0.007678100263852244
17,Operating Expenses,Cash on hand reserve,0.013527559757535956
18,Financing cash outflow,Compression,0.018927636646856892
19,Operating Expenses,Solar Plant Fixed O&M Cost,0.01920189592128381
20,Financing cash outflow,Solar Plant,0.04091408848008181
21,Operating Expenses,Property insurance,0.06383814709880248
22,Operating Expenses,Var O&M,0.07363966614547454
23,Financing cash outflow,Hydrogen Storage,0.09878190932081246
24,Operating Expenses,Electrolyzer Fixed O&M Cost,0.18636442236905248
25,Financing cash outflow,Income taxes payable,0.241674614826667
26,Operating Expenses,Wind Plant Fixed O&M Cost,0.552808287621746
27,Financing cash outflow,Wind Plant,0.8263213730011267
28,Financing cash outflow,Electrolysis system,0.9188483448168567
29,Financing cash outflow,Repayment of debt,0.9774346224638314
30,Financing cash outflow,Interest expense,1.4297734565089026
31,Financing cash outflow,Dividends paid,1.6971244965456027
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,Annual operating incentives,0.0
35,Financing cash inflow,One time capital incentive,0.008381759868053656
36,Operating Revenue,Sale of non-depreciable assets,0.01259645099569289
37,Operating Revenue,Cash on hand recovery,0.013527559757535956
38,Financing cash inflow,Monetized tax losses,0.5862457767011995
39,Financing cash inflow,Inflow of debt,0.9774346224638316
40,Financing cash inflow,Inflow of equity,1.5089419778401045
41,Operating Revenue,Hydrogen sales,4.064368564269423
