,Type,Name,NPV
0,Operating Expenses,Rent of land,0.0
1,Financing cash outflow,Capital gains taxes payable,0.0
2,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
3,Operating Expenses,Solar Plant Fixed O&M Cost,0.0
4,Operating Expenses,Grid Electricity Cost,0.0
5,Operating Expenses,Licensing and Permitting,0.0
6,Financing cash outflow,Solar Plant,0.0
7,Operating Expenses,Administrative expenses,0.0
8,Operating Expenses,Labor,0.0
9,Operating Expenses,Total annual maintenance,0.0
10,Operating Expenses,Installation cost,0.0
11,Financing cash outflow,Battery Storage,0.0
12,Operating Expenses,Credit card fees,0.0
13,Operating Expenses,Road tax,0.0
14,Operating Expenses,Sales tax,0.0
15,Operating Expenses,Non-depreciable assets,0.00010867300436863755
16,Financing cash outflow,Desalination,0.0007198606740334945
17,Operating Expenses,Desalination Fixed O&M Cost,0.0031782503097794257
18,Operating Expenses,Water,0.008292914934426389
19,Financing cash outflow,Compression,0.008950704004498971
20,Operating Expenses,Cash on hand reserve,0.012530910630077729
21,Operating Expenses,Property insurance,0.0735298475919446
22,Operating Expenses,Var O&M,0.07435245561522313
23,Financing cash outflow,Hydrogen Storage,0.12636425434004434
24,Operating Expenses,Electrolyzer Fixed O&M Cost,0.16024486532181817
25,Financing cash outflow,Income taxes payable,0.5043068741441457
26,Operating Expenses,Wind Plant Fixed O&M Cost,0.5684592703815726
27,Financing cash outflow,Wind Plant,0.976805908753043
28,Financing cash outflow,Repayment of debt,1.080529184903013
29,Financing cash outflow,Electrolysis system,1.081184617260951
30,Financing cash outflow,Interest expense,1.6227275760385709
31,Financing cash outflow,Dividends paid,2.22150721960654
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,One time capital incentive,0.0
35,Financing cash inflow,Annual operating incentives,0.0
36,Operating Revenue,Cash on hand recovery,0.012530910630077729
37,Operating Revenue,Sale of non-depreciable assets,0.014807509727812838
38,Financing cash inflow,Monetized tax losses,0.30554026834884684
39,Financing cash inflow,Inflow of debt,1.080529184903013
40,Financing cash inflow,Inflow of equity,1.6480647896780682
41,Operating Revenue,Hydrogen sales,5.462320724226232
