,Type,Name,NPV
0,Operating Expenses,Rent of land,0.0
1,Financing cash outflow,Capital gains taxes payable,0.0
2,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
3,Operating Expenses,Solar Plant Fixed O&M Cost,0.0
4,Operating Expenses,Grid Electricity Cost,0.0
5,Operating Expenses,Licensing and Permitting,0.0
6,Financing cash outflow,Solar Plant,0.0
7,Operating Expenses,Administrative expenses,0.0
8,Operating Expenses,Labor,0.0
9,Operating Expenses,Total annual maintenance,0.0
10,Operating Expenses,Installation cost,0.0
11,Financing cash outflow,Battery Storage,0.0
12,Operating Expenses,Credit card fees,0.0
13,Operating Expenses,Road tax,0.0
14,Operating Expenses,Sales tax,0.0
15,Operating Expenses,Non-depreciable assets,0.000108510019185319
16,Financing cash outflow,Desalination,0.0007187810441419423
17,Operating Expenses,Desalination Fixed O&M Cost,0.0031734836456719854
18,Operating Expenses,Water,0.008292914934426389
19,Financing cash outflow,Compression,0.008970099990376968
20,Operating Expenses,Cash on hand reserve,0.013003510889238342
21,Operating Expenses,Var O&M,0.07435022349244644
22,Operating Expenses,Property insurance,0.07572791147635952
23,Financing cash outflow,Hydrogen Storage,0.12662512610476523
24,Operating Expenses,Electrolyzer Fixed O&M Cost,0.160004533889904
25,Financing cash outflow,Income taxes payable,0.5140624432011167
26,Operating Expenses,Wind Plant Fixed O&M Cost,0.5623753104718295
27,Financing cash outflow,Wind Plant,1.043659729401431
28,Financing cash outflow,Electrolysis system,1.079563082326224
29,Financing cash outflow,Repayment of debt,1.1311287123951639
30,Financing cash outflow,Interest expense,1.6957983333066138
31,Financing cash outflow,Dividends paid,2.2731817489393373
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,One time capital incentive,0.0
35,Financing cash inflow,Annual operating incentives,0.0
36,Operating Revenue,Cash on hand recovery,0.013003510889238346
37,Operating Revenue,Sale of non-depreciable assets,0.014785301777442918
38,Financing cash inflow,Monetized tax losses,0.3216409178456454
39,Financing cash inflow,Inflow of debt,1.1311287123951639
40,Financing cash inflow,Inflow of equity,1.7180449007304315
41,Operating Revenue,Hydrogen sales,5.572141111890311
