,Type,Name,NPV
0,Operating Expenses,Rent of land,0.0
1,Financing cash outflow,Capital gains taxes payable,0.0
2,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
3,Operating Expenses,Solar Plant Fixed O&M Cost,0.0
4,Operating Expenses,Grid Electricity Cost,0.0
5,Operating Expenses,Licensing and Permitting,0.0
6,Financing cash outflow,Solar Plant,0.0
7,Operating Expenses,Administrative expenses,0.0
8,Operating Expenses,Labor,0.0
9,Operating Expenses,Total annual maintenance,0.0
10,Operating Expenses,Installation cost,0.0
11,Financing cash outflow,Battery Storage,0.0
12,Operating Expenses,Credit card fees,0.0
13,Operating Expenses,Road tax,0.0
14,Operating Expenses,Sales tax,0.0
15,Operating Expenses,Non-depreciable assets,0.00011696785909308696
16,Financing cash outflow,Desalination,0.0009362246512329417
17,Operating Expenses,Desalination Fixed O&M Cost,0.004133516936175598
18,Operating Expenses,Water,0.0076781002638522415
19,Operating Expenses,Cash on hand reserve,0.012340041797671642
20,Financing cash outflow,Compression,0.021166503781485015
21,Operating Expenses,Property insurance,0.055980560397239025
22,Operating Expenses,Var O&M,0.07314399135974346
23,Financing cash outflow,Hydrogen Storage,0.10957506911388247
24,Financing cash outflow,Income taxes payable,0.18917677299811156
25,Operating Expenses,Electrolyzer Fixed O&M Cost,0.20840865261769864
26,Operating Expenses,Wind Plant Fixed O&M Cost,0.5304449365699349
27,Financing cash outflow,Electrolysis system,0.7071086233211633
28,Financing cash outflow,Wind Plant,0.8284109194579844
29,Financing cash outflow,Repayment of debt,0.8549035803877774
30,Financing cash outflow,Interest expense,1.2661443122488838
31,Financing cash outflow,Dividends paid,1.3906679534444977
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,Annual operating incentives,0.0
35,Operating Revenue,Sale of non-depreciable assets,0.004558211808123045
36,Financing cash inflow,One time capital incentive,0.006574504146832948
37,Operating Revenue,Cash on hand recovery,0.01234004179767164
38,Financing cash inflow,Monetized tax losses,0.5725263180452892
39,Financing cash inflow,Inflow of debt,0.8549035803877771
40,Financing cash inflow,Inflow of equity,1.3066325226243922
41,Operating Revenue,Hydrogen sales,3.5028015483963406
