,Type,Name,NPV
0,Operating Expenses,Rent of land,0.0
1,Financing cash outflow,Capital gains taxes payable,0.0
2,Financing cash outflow,Income taxes payable,0.0
3,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
4,Operating Expenses,Solar Plant Fixed O&M Cost,0.0
5,Operating Expenses,Grid Electricity Cost,0.0
6,Operating Expenses,Licensing and Permitting,0.0
7,Financing cash outflow,Solar Plant,0.0
8,Operating Expenses,Administrative expenses,0.0
9,Operating Expenses,Labor,0.0
10,Operating Expenses,Total annual maintenance,0.0
11,Financing cash outflow,Battery Storage,0.0
12,Operating Expenses,Sales tax,0.0
13,Operating Expenses,Credit card fees,0.0
14,Operating Expenses,Road tax,0.0
15,Operating Expenses,Installation cost,0.0
16,Operating Expenses,Non-depreciable assets,0.0001179627530219502
17,Financing cash outflow,Desalination,0.0009441879005288229
18,Operating Expenses,Desalination Fixed O&M Cost,0.004168675405660635
19,Operating Expenses,Water,0.007678100263852242
20,Financing cash outflow,Compression,0.0093983986275738
21,Operating Expenses,Cash on hand reserve,0.02588155009017642
22,Operating Expenses,Property insurance,0.06219004967427349
23,Operating Expenses,Var O&M,0.07406461912542359
24,Financing cash outflow,Hydrogen Storage,0.12004986782555702
25,Operating Expenses,Electrolyzer Fixed O&M Cost,0.21018131482438995
26,Operating Expenses,Wind Plant Fixed O&M Cost,0.5159140450159604
27,Financing cash outflow,Wind Plant,0.767518422617365
28,Financing cash outflow,Electrolysis system,0.9544289396720654
29,Financing cash outflow,Repayment of debt,1.1470073503086557
30,Financing cash outflow,Dividends paid,1.3284673491390389
31,Financing cash outflow,Interest expense,1.3915529244306437
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,Annual operating incentives,0.0
35,Operating Revenue,Sale of non-depreciable assets,0.006112588774111065
36,Operating Revenue,Cash on hand recovery,0.02588155009017643
37,Financing cash inflow,One time capital incentive,0.06002493391277851
38,Operating Revenue,Hydrogen sales,0.24386745054021192
39,Financing cash inflow,Inflow of debt,1.1470073503086557
40,Financing cash inflow,Inflow of equity,2.509175973703137
41,Financing cash inflow,Monetized tax losses,2.6274939103451156
