,Type,Name,NPV
0,Operating Expenses,Administrative expenses,0.0
1,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
2,Operating Expenses,Grid Electricity Cost,0.0
3,Operating Expenses,Licensing and Permitting,0.0
4,Operating Expenses,Rent of land,0.0
5,Financing cash outflow,Capital gains taxes payable,0.0
6,Operating Expenses,Labor,0.0
7,Operating Expenses,Total annual maintenance,0.0
8,Operating Expenses,Installation cost,0.0
9,Operating Expenses,Sales tax,0.0
10,Financing cash outflow,Battery Storage,0.0
11,Operating Expenses,Road tax,0.0
12,Operating Expenses,Credit card fees,0.0
13,Operating Expenses,Non-depreciable assets,0.00010322807003314681
14,Financing cash outflow,Desalination,0.0008262497459863695
15,Operating Expenses,Desalination Fixed O&M Cost,0.003647967733009072
16,Financing cash outflow,Compression,0.010866306252405016
17,Operating Expenses,Water,0.011655677691341558
18,Financing cash outflow,Income taxes payable,0.01918357931376866
19,Operating Expenses,Cash on hand reserve,0.03430172842784536
20,Operating Expenses,Var O&M,0.07295476141224685
21,Operating Expenses,Solar Plant Fixed O&M Cost,0.08918905250863884
22,Financing cash outflow,Hydrogen Storage,0.10352451518078783
23,Operating Expenses,Property insurance,0.1239946847565217
24,Financing cash outflow,Solar Plant,0.15614897241633985
25,Operating Expenses,Electrolyzer Fixed O&M Cost,0.18392764606225964
26,Operating Expenses,Wind Plant Fixed O&M Cost,0.549689968421243
27,Financing cash outflow,Wind Plant,1.237968823556715
28,Financing cash outflow,Repayment of debt,1.8880016869147858
29,Financing cash outflow,Electrolysis system,2.1928841159165477
30,Financing cash outflow,Dividends paid,2.508898351813355
31,Financing cash outflow,Interest expense,2.524476296914802
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,Annual operating incentives,0.0
35,Operating Revenue,Sale of non-depreciable assets,0.029915755050810972
36,Operating Revenue,Cash on hand recovery,0.03430172842784537
37,Financing cash inflow,One time capital incentive,0.12983674379856386
38,Financing cash inflow,Inflow of debt,1.8880016869147853
39,Financing cash inflow,Monetized tax losses,2.3209631265441244
40,Financing cash inflow,Inflow of equity,3.0349149543316525
41,Operating Revenue,Hydrogen sales,4.27430961804085
