,Type,Name,NPV
0,Operating Expenses,Rent of land,0.0
1,Financing cash outflow,Capital gains taxes payable,0.0
2,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
3,Operating Expenses,Solar Plant Fixed O&M Cost,0.0
4,Operating Expenses,Grid Electricity Cost,0.0
5,Operating Expenses,Licensing and Permitting,0.0
6,Financing cash outflow,Solar Plant,0.0
7,Operating Expenses,Administrative expenses,0.0
8,Operating Expenses,Labor,0.0
9,Operating Expenses,Total annual maintenance,0.0
10,Operating Expenses,Installation cost,0.0
11,Financing cash outflow,Battery Storage,0.0
12,Operating Expenses,Credit card fees,0.0
13,Operating Expenses,Road tax,0.0
14,Operating Expenses,Sales tax,0.0
15,Operating Expenses,Non-depreciable assets,0.00010630214780360205
16,Financing cash outflow,Desalination,0.0011149134875308175
17,Operating Expenses,Desalination Fixed O&M Cost,0.004922444390895016
18,Operating Expenses,Water,0.010791556728232185
19,Financing cash outflow,Compression,0.013378415882663643
20,Operating Expenses,Cash on hand reserve,0.017977408335803417
21,Operating Expenses,Var O&M,0.07421796391103473
22,Operating Expenses,Property insurance,0.11270036015799648
23,Financing cash outflow,Hydrogen Storage,0.12249516128963439
24,Operating Expenses,Electrolyzer Fixed O&M Cost,0.24818575052002578
25,Financing cash outflow,Income taxes payable,0.3942416308096663
26,Operating Expenses,Wind Plant Fixed O&M Cost,0.6546715570460813
27,Financing cash outflow,Wind Plant,1.2910724553100714
28,Financing cash outflow,Repayment of debt,1.4590679512083742
29,Financing cash outflow,Electrolysis system,1.9661897567409394
30,Financing cash outflow,Interest expense,2.1718967893614662
31,Financing cash outflow,Dividends paid,2.4628877806417666
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,Annual operating incentives,0.0
35,Financing cash inflow,One time capital incentive,0.007349709677378063
36,Operating Revenue,Cash on hand recovery,0.017977408335803417
37,Operating Revenue,Sale of non-depreciable assets,0.018819988848655482
38,Financing cash inflow,Monetized tax losses,0.7056057254212844
39,Financing cash inflow,Inflow of debt,1.4590679512083742
40,Financing cash inflow,Inflow of equity,2.160762216726673
41,Operating Revenue,Hydrogen sales,6.636335197751817
