,Type,Name,NPV
0,Operating Expenses,Administrative expenses,0.0
1,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
2,Operating Expenses,Grid Electricity Cost,0.0
3,Operating Expenses,Licensing and Permitting,0.0
4,Operating Expenses,Rent of land,0.0
5,Financing cash outflow,Capital gains taxes payable,0.0
6,Operating Expenses,Labor,0.0
7,Operating Expenses,Total annual maintenance,0.0
8,Operating Expenses,Installation cost,0.0
9,Operating Expenses,Sales tax,0.0
10,Financing cash outflow,Battery Storage,0.0
11,Operating Expenses,Road tax,0.0
12,Operating Expenses,Credit card fees,0.0
13,Operating Expenses,Non-depreciable assets,0.00010236576950702905
14,Financing cash outflow,Desalination,0.0008758545341923789
15,Operating Expenses,Desalination Fixed O&M Cost,0.003866977381916435
16,Operating Expenses,Water,0.01165567769134156
17,Financing cash outflow,Compression,0.011713851511923017
18,Operating Expenses,Cash on hand reserve,0.014000705646764398
19,Operating Expenses,Property insurance,0.06578096047174425
20,Operating Expenses,Var O&M,0.07229067777409504
21,Financing cash outflow,Hydrogen Storage,0.0880926100427665
22,Operating Expenses,Solar Plant Fixed O&M Cost,0.11055503106759137
23,Operating Expenses,Electrolyzer Fixed O&M Cost,0.19496993923386782
24,Financing cash outflow,Solar Plant,0.2076080171372056
25,Financing cash outflow,Income taxes payable,0.24523787028185007
26,Operating Expenses,Wind Plant Fixed O&M Cost,0.44090230830003985
27,Financing cash outflow,Electrolysis system,0.7885240686691513
28,Financing cash outflow,Wind Plant,0.8652872036028878
29,Financing cash outflow,Repayment of debt,1.0641208254035879
30,Financing cash outflow,Interest expense,1.5672310796257225
31,Financing cash outflow,Dividends paid,1.6861410918639483
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,Annual operating incentives,0.0
35,Operating Revenue,Sale of non-depreciable assets,0.01082244664453478
36,Operating Revenue,Cash on hand recovery,0.0140007056467644
37,Financing cash inflow,One time capital incentive,0.01774203763079833
38,Financing cash inflow,Monetized tax losses,0.6003722214217219
39,Financing cash inflow,Inflow of debt,1.0641208254035879
40,Financing cash inflow,Inflow of equity,1.6058810059962094
41,Operating Revenue,Hydrogen sales,4.126017873266488
