,Type,Name,NPV
0,Operating Expenses,Rent of land,0.0
1,Financing cash outflow,Capital gains taxes payable,0.0
2,Financing cash outflow,Income taxes payable,0.0
3,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
4,Operating Expenses,Solar Plant Fixed O&M Cost,0.0
5,Operating Expenses,Grid Electricity Cost,0.0
6,Operating Expenses,Licensing and Permitting,0.0
7,Financing cash outflow,Solar Plant,0.0
8,Operating Expenses,Administrative expenses,0.0
9,Operating Expenses,Labor,0.0
10,Operating Expenses,Total annual maintenance,0.0
11,Financing cash outflow,Battery Storage,0.0
12,Operating Expenses,Sales tax,0.0
13,Operating Expenses,Credit card fees,0.0
14,Operating Expenses,Road tax,0.0
15,Operating Expenses,Installation cost,0.0
16,Operating Expenses,Non-depreciable assets,0.00010370271443949883
17,Financing cash outflow,Desalination,0.0010876502254288068
18,Operating Expenses,Desalination Fixed O&M Cost,0.004802074610537655
19,Operating Expenses,Water,0.010791556728232187
20,Financing cash outflow,Compression,0.02458998764789396
21,Operating Expenses,Cash on hand reserve,0.027557472939341795
22,Operating Expenses,Property insurance,0.07145576754556841
23,Operating Expenses,Var O&M,0.07304869754075663
24,Financing cash outflow,Hydrogen Storage,0.10894861007435168
25,Operating Expenses,Electrolyzer Fixed O&M Cost,0.24211680145618672
26,Operating Expenses,Wind Plant Fixed O&M Cost,0.6183416213768471
27,Financing cash outflow,Electrolysis system,0.8214768245474882
28,Financing cash outflow,Wind Plant,1.1725589264627618
29,Financing cash outflow,Repayment of debt,1.390976485505326
30,Financing cash outflow,Dividends paid,1.499132599539801
31,Financing cash outflow,Interest expense,1.7732531828383191
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,Annual operating incentives,0.0
35,Operating Revenue,Sale of non-depreciable assets,0.005263276301807788
36,Operating Revenue,Cash on hand recovery,0.0275574729393418
37,Financing cash inflow,One time capital incentive,0.05447430503717584
38,Operating Revenue,Hydrogen sales,1.0138610848431242
39,Financing cash inflow,Inflow of debt,1.3909764855053257
40,Financing cash inflow,Monetized tax losses,2.6309000533809557
41,Financing cash inflow,Inflow of equity,2.7172092837455497
