,Type,Name,NPV
0,Operating Expenses,Administrative expenses,0.0
1,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
2,Operating Expenses,Grid Electricity Cost,0.0
3,Operating Expenses,Licensing and Permitting,0.0
4,Operating Expenses,Rent of land,0.0
5,Financing cash outflow,Capital gains taxes payable,0.0
6,Operating Expenses,Labor,0.0
7,Operating Expenses,Total annual maintenance,0.0
8,Operating Expenses,Installation cost,0.0
9,Operating Expenses,Sales tax,0.0
10,Financing cash outflow,Battery Storage,0.0
11,Operating Expenses,Road tax,0.0
12,Operating Expenses,Credit card fees,0.0
13,Operating Expenses,Non-depreciable assets,0.00010176290896984546
14,Financing cash outflow,Desalination,0.0009830443031782394
15,Operating Expenses,Desalination Fixed O&M Cost,0.0043402299553285005
16,Operating Expenses,Cash on hand reserve,0.010115975535313227
17,Operating Expenses,Water,0.010791556728232192
18,Financing cash outflow,Compression,0.012016845488075379
19,Operating Expenses,Property insurance,0.059779153089476365
20,Financing cash outflow,Hydrogen Storage,0.07010071878343173
21,Operating Expenses,Var O&M,0.07192315056239573
22,Operating Expenses,Solar Plant Fixed O&M Cost,0.1175589426009856
23,Financing cash outflow,Solar Plant,0.1919104172479462
24,Operating Expenses,Electrolyzer Fixed O&M Cost,0.21883095944875566
25,Financing cash outflow,Income taxes payable,0.37237523912338333
26,Operating Expenses,Wind Plant Fixed O&M Cost,0.43485560722736627
27,Financing cash outflow,Electrolysis system,0.742470413451146
28,Financing cash outflow,Wind Plant,0.7631509902891979
29,Financing cash outflow,Repayment of debt,0.927113997306501
30,Financing cash outflow,Interest expense,1.3767946844898398
31,Financing cash outflow,Dividends paid,1.6753404415631474
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,One time capital incentive,0.0
35,Financing cash inflow,Annual operating incentives,0.0
36,Operating Revenue,Sale of non-depreciable assets,0.004765108995156852
37,Operating Revenue,Cash on hand recovery,0.010115975535313227
38,Financing cash inflow,Monetized tax losses,0.26966208137124015
39,Financing cash inflow,Inflow of debt,0.927113997306501
40,Financing cash inflow,Inflow of equity,1.3790125824071975
41,Operating Revenue,Hydrogen sales,4.469884384487261
