,Type,Name,NPV
0,Operating Expenses,Rent of land,0.0
1,Financing cash outflow,Capital gains taxes payable,0.0
2,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
3,Operating Expenses,Solar Plant Fixed O&M Cost,0.0
4,Operating Expenses,Grid Electricity Cost,0.0
5,Operating Expenses,Licensing and Permitting,0.0
6,Financing cash outflow,Solar Plant,0.0
7,Operating Expenses,Administrative expenses,0.0
8,Operating Expenses,Labor,0.0
9,Operating Expenses,Total annual maintenance,0.0
10,Operating Expenses,Installation cost,0.0
11,Financing cash outflow,Battery Storage,0.0
12,Operating Expenses,Credit card fees,0.0
13,Operating Expenses,Road tax,0.0
14,Operating Expenses,Sales tax,0.0
15,Operating Expenses,Non-depreciable assets,0.00013745679629444826
16,Financing cash outflow,Desalination,0.000866390745126756
17,Operating Expenses,Desalination Fixed O&M Cost,0.003825193892951868
18,Operating Expenses,Water,0.01261213720316623
19,Operating Expenses,Cash on hand reserve,0.01843215881484597
20,Financing cash outflow,Compression,0.02058552981305657
21,Financing cash outflow,Hydrogen Storage,0.035729401045110964
22,Operating Expenses,Var O&M,0.0674542873915156
23,Operating Expenses,Property insurance,0.09695354034101607
24,Operating Expenses,Electrolyzer Fixed O&M Cost,0.20268829354394163
25,Financing cash outflow,Income taxes payable,0.443684992995097
26,Operating Expenses,Wind Plant Fixed O&M Cost,0.5667651614443803
27,Financing cash outflow,Wind Plant,0.8073441906449459
28,Financing cash outflow,Repayment of debt,1.0727343770730307
29,Financing cash outflow,Interest expense,1.6518692227644263
30,Financing cash outflow,Electrolysis system,2.024039725401729
31,Financing cash outflow,Dividends paid,2.5481453643391583
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,Annual operating incentives,0.0
35,Financing cash inflow,One time capital incentive,0.002143764062706658
36,Operating Revenue,Sale of non-depreciable assets,0.01285014885881723
37,Operating Revenue,Cash on hand recovery,0.018432158814845973
38,Financing cash inflow,Monetized tax losses,0.5892556825864109
39,Financing cash inflow,Inflow of debt,1.0727343770730304
40,Financing cash inflow,Inflow of equity,1.8474562338571932
41,Operating Revenue,Hydrogen sales,6.030995058996789
