,Type,Name,NPV
0,Operating Expenses,Rent of land,0.0
1,Financing cash outflow,Capital gains taxes payable,0.0
2,Financing cash outflow,Income taxes payable,0.0
3,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
4,Operating Expenses,Solar Plant Fixed O&M Cost,0.0
5,Operating Expenses,Grid Electricity Cost,0.0
6,Operating Expenses,Licensing and Permitting,0.0
7,Financing cash outflow,Solar Plant,0.0
8,Operating Expenses,Administrative expenses,0.0
9,Operating Expenses,Labor,0.0
10,Operating Expenses,Total annual maintenance,0.0
11,Financing cash outflow,Battery Storage,0.0
12,Operating Expenses,Sales tax,0.0
13,Operating Expenses,Credit card fees,0.0
14,Operating Expenses,Road tax,0.0
15,Operating Expenses,Installation cost,0.0
16,Operating Expenses,Non-depreciable assets,0.00013913880043803117
17,Financing cash outflow,Desalination,0.0009216691049395411
18,Operating Expenses,Desalination Fixed O&M Cost,0.004069252876219662
19,Operating Expenses,Water,0.01261213720316623
20,Financing cash outflow,Compression,0.02083742675359955
21,Operating Expenses,Cash on hand reserve,0.026091449368705093
22,Financing cash outflow,Hydrogen Storage,0.03616660751453047
23,Operating Expenses,Property insurance,0.06640608915591337
24,Operating Expenses,Var O&M,0.07346362018686109
25,Operating Expenses,Electrolyzer Fixed O&M Cost,0.20516850957390328
26,Operating Expenses,Wind Plant Fixed O&M Cost,0.5452994293518898
27,Financing cash outflow,Wind Plant,0.7602635330987112
28,Financing cash outflow,Electrolysis system,1.1595928652624767
29,Financing cash outflow,Repayment of debt,1.1925946998566697
30,Financing cash outflow,Dividends paid,1.3516485948731147
31,Financing cash outflow,Interest expense,1.4453183566030603
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,Annual operating incentives,0.0
35,Operating Revenue,Sale of non-depreciable assets,0.007422368881833235
36,Financing cash inflow,One time capital incentive,0.018083303757265235
37,Operating Revenue,Cash on hand recovery,0.02609144936870509
38,Operating Revenue,Hydrogen sales,0.5848562028980273
39,Financing cash inflow,Inflow of debt,1.1925946998566694
40,Financing cash inflow,Inflow of equity,2.4798776478525317
41,Financing cash inflow,Monetized tax losses,2.591667706969166
