,Type,Name,NPV
0,Operating Expenses,Rent of land,0.0
1,Financing cash outflow,Capital gains taxes payable,0.0
2,Financing cash outflow,Income taxes payable,0.0
3,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
4,Operating Expenses,Solar Plant Fixed O&M Cost,0.0
5,Operating Expenses,Grid Electricity Cost,0.0
6,Operating Expenses,Licensing and Permitting,0.0
7,Financing cash outflow,Solar Plant,0.0
8,Operating Expenses,Administrative expenses,0.0
9,Operating Expenses,Labor,0.0
10,Operating Expenses,Total annual maintenance,0.0
11,Financing cash outflow,Battery Storage,0.0
12,Operating Expenses,Sales tax,0.0
13,Operating Expenses,Credit card fees,0.0
14,Operating Expenses,Road tax,0.0
15,Operating Expenses,Installation cost,0.0
16,Operating Expenses,Non-depreciable assets,0.00014031334855163605
17,Financing cash outflow,Desalination,0.0009294494272160492
18,Operating Expenses,Desalination Fixed O&M Cost,0.004103603706286461
19,Financing cash outflow,Compression,0.008447714674434286
20,Operating Expenses,Water,0.012612137203166231
21,Operating Expenses,Cash on hand reserve,0.0267634471649674
22,Operating Expenses,Var O&M,0.07468504416113536
23,Operating Expenses,Property insurance,0.08152268456631544
24,Financing cash outflow,Hydrogen Storage,0.10340176391154295
25,Operating Expenses,Electrolyzer Fixed O&M Cost,0.2069004512403005
26,Operating Expenses,Wind Plant Fixed O&M Cost,0.531081534240789
27,Financing cash outflow,Wind Plant,0.7065421998061444
28,Financing cash outflow,Dividends paid,1.3832874822574674
29,Financing cash outflow,Repayment of debt,1.4162605839627795
30,Financing cash outflow,Interest expense,1.6029023993647429
31,Financing cash outflow,Electrolysis system,1.639117262136822
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,Annual operating incentives,0.0
35,Operating Revenue,Sale of non-depreciable assets,0.01574100845156712
36,Operating Revenue,Cash on hand recovery,0.0267634471649674
37,Financing cash inflow,One time capital incentive,0.05170088195577147
38,Operating Revenue,Hydrogen sales,1.0015100008048086
39,Financing cash inflow,Inflow of debt,1.4162605839627793
40,Financing cash inflow,Inflow of equity,2.633692187645564
41,Financing cash inflow,Monetized tax losses,2.6530299611872037
