,Type,Name,NPV
0,Operating Expenses,Administrative expenses,0.0
1,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
2,Operating Expenses,Grid Electricity Cost,0.0
3,Operating Expenses,Licensing and Permitting,0.0
4,Operating Expenses,Rent of land,0.0
5,Financing cash outflow,Capital gains taxes payable,0.0
6,Operating Expenses,Labor,0.0
7,Operating Expenses,Total annual maintenance,0.0
8,Operating Expenses,Installation cost,0.0
9,Operating Expenses,Sales tax,0.0
10,Financing cash outflow,Battery Storage,0.0
11,Operating Expenses,Road tax,0.0
12,Operating Expenses,Credit card fees,0.0
13,Operating Expenses,Non-depreciable assets,0.00010777320123130412
14,Financing cash outflow,Desalination,0.0007139002895138849
15,Operating Expenses,Desalination Fixed O&M Cost,0.0031519346703381018
16,Operating Expenses,Cash on hand reserve,0.009552794719976805
17,Operating Expenses,Water,0.012612137203166226
18,Financing cash outflow,Compression,0.016140114616400105
19,Financing cash outflow,Hydrogen Storage,0.031786888430679706
20,Operating Expenses,Property insurance,0.03969081032638403
21,Operating Expenses,Solar Plant Fixed O&M Cost,0.043430991540973296
22,Operating Expenses,Var O&M,0.07374814901657548
23,Financing cash outflow,Solar Plant,0.07930981621954401
24,Financing cash outflow,Income taxes payable,0.08811117700517967
25,Operating Expenses,Electrolyzer Fixed O&M Cost,0.15891805160763184
26,Operating Expenses,Wind Plant Fixed O&M Cost,0.4683830222997356
27,Financing cash outflow,Electrolysis system,0.4703591732376657
28,Financing cash outflow,Wind Plant,0.5849433606109524
29,Financing cash outflow,Repayment of debt,0.6722964467697615
30,Financing cash outflow,Dividends paid,0.9311076296253239
31,Financing cash outflow,Interest expense,0.9654905276695405
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,Annual operating incentives,0.0
35,Operating Revenue,Sale of non-depreciable assets,0.00650236352227101
36,Financing cash inflow,One time capital incentive,0.006665802279013424
37,Operating Revenue,Cash on hand recovery,0.009552794719976805
38,Financing cash inflow,Monetized tax losses,0.5190767863520049
39,Financing cash inflow,Inflow of debt,0.6722964467697615
40,Financing cash inflow,Inflow of equity,1.0173436376548641
41,Operating Revenue,Hydrogen sales,2.4184168677626823
