,Type,Name,NPV
0,Operating Expenses,Labor,0.0
1,Financing cash outflow,Compression,0.0
2,Financing cash outflow,Capital gains taxes payable,0.0
3,Financing cash outflow,Income taxes payable,0.0
4,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
5,Operating Expenses,Licensing and Permitting,0.0
6,Operating Expenses,Rent of land,0.0
7,Operating Expenses,Administrative expenses,0.0
8,Financing cash outflow,Hydrogen Storage,0.0
9,Operating Expenses,Total annual maintenance,0.0
10,Operating Expenses,Installation cost,0.0
11,Operating Expenses,Sales tax,0.0
12,Financing cash outflow,Battery Storage,0.0
13,Operating Expenses,Road tax,0.0
14,Operating Expenses,Credit card fees,0.0
15,Operating Expenses,Non-depreciable assets,0.00011370520891750185
16,Financing cash outflow,Desalination,0.0003765972460594557
17,Operating Expenses,Desalination Fixed O&M Cost,0.0016627110733025703
18,Operating Expenses,Water,0.01261213720316623
19,Operating Expenses,Cash on hand reserve,0.01830279216963174
20,Operating Expenses,Property insurance,0.023340987433628183
21,Operating Expenses,Var O&M,0.07527468904833468
22,Operating Expenses,Electrolyzer Fixed O&M Cost,0.08383257643069576
23,Operating Expenses,Solar Plant Fixed O&M Cost,0.08756998179318051
24,Financing cash outflow,Solar Plant,0.1597727894557942
25,Financing cash outflow,Electrolysis system,0.17550251372488856
26,Operating Expenses,Wind Plant Fixed O&M Cost,0.1984611808016083
27,Financing cash outflow,Wind Plant,0.35852017121497065
28,Financing cash outflow,Repayment of debt,0.5053350205528558
29,Financing cash outflow,Interest expense,0.6398839370815691
30,Financing cash outflow,Dividends paid,0.8023945105221478
31,Operating Expenses,Grid Electricity Cost,2.039424866462084
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,Annual operating incentives,0.0
35,Operating Revenue,Sale of non-depreciable assets,0.00011370520891771872
36,Operating Revenue,Cash on hand recovery,0.01830279216963174
37,Financing cash inflow,One time capital incentive,0.0798863947278971
38,Financing cash inflow,Inflow of debt,0.5053350205528557
39,Operating Revenue,Hydrogen sales,0.6518605474485543
40,Financing cash inflow,Inflow of equity,1.8465907009300668
41,Financing cash inflow,Monetized tax losses,2.0802920063849113
