,Type,Name,NPV
0,Operating Expenses,Administrative expenses,0.0
1,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
2,Operating Expenses,Grid Electricity Cost,0.0
3,Operating Expenses,Licensing and Permitting,0.0
4,Operating Expenses,Rent of land,0.0
5,Financing cash outflow,Capital gains taxes payable,0.0
6,Operating Expenses,Labor,0.0
7,Operating Expenses,Total annual maintenance,0.0
8,Operating Expenses,Installation cost,0.0
9,Operating Expenses,Sales tax,0.0
10,Financing cash outflow,Battery Storage,0.0
11,Operating Expenses,Road tax,0.0
12,Operating Expenses,Credit card fees,0.0
13,Operating Expenses,Non-depreciable assets,0.0001060106699934054
14,Financing cash outflow,Desalination,0.0007022251091662895
15,Operating Expenses,Desalination Fixed O&M Cost,0.003100387687852503
16,Operating Expenses,Cash on hand reserve,0.006047382460769237
17,Operating Expenses,Water,0.012612137203166228
18,Financing cash outflow,Compression,0.01587615793821239
19,Financing cash outflow,Hydrogen Storage,0.030532384927409905
20,Operating Expenses,Property insurance,0.03407494255604979
21,Operating Expenses,Var O&M,0.07324747722161833
22,Operating Expenses,Solar Plant Fixed O&M Cost,0.11036185420955263
23,Operating Expenses,Electrolyzer Fixed O&M Cost,0.15631909354547588
24,Financing cash outflow,Solar Plant,0.1869150070596412
25,Financing cash outflow,Income taxes payable,0.21614489406140733
26,Operating Expenses,Wind Plant Fixed O&M Cost,0.32488023141496136
27,Financing cash outflow,Electrolysis system,0.38263586457228654
28,Financing cash outflow,Wind Plant,0.3989160733760526
29,Financing cash outflow,Repayment of debt,0.5628623667034299
30,Financing cash outflow,Interest expense,0.8351088809017342
31,Financing cash outflow,Dividends paid,0.9824866228669679
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,One time capital incentive,0.0
35,Financing cash inflow,Annual operating incentives,0.0
36,Operating Revenue,Sale of non-depreciable assets,0.005307991911763859
37,Operating Revenue,Cash on hand recovery,0.006047382460769237
38,Financing cash inflow,Monetized tax losses,0.16477418383477432
39,Financing cash inflow,Inflow of debt,0.5628623667034299
40,Financing cash inflow,Inflow of equity,0.8342819242877231
41,Operating Revenue,Hydrogen sales,2.7596561452872868
