,Type,Name,NPV
0,Operating Expenses,Rent of land,0.0
1,Financing cash outflow,Capital gains taxes payable,0.0
2,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
3,Operating Expenses,Solar Plant Fixed O&M Cost,0.0
4,Operating Expenses,Grid Electricity Cost,0.0
5,Operating Expenses,Licensing and Permitting,0.0
6,Financing cash outflow,Solar Plant,0.0
7,Operating Expenses,Administrative expenses,0.0
8,Operating Expenses,Labor,0.0
9,Operating Expenses,Total annual maintenance,0.0
10,Operating Expenses,Installation cost,0.0
11,Financing cash outflow,Battery Storage,0.0
12,Operating Expenses,Credit card fees,0.0
13,Operating Expenses,Road tax,0.0
14,Operating Expenses,Sales tax,0.0
15,Operating Expenses,Non-depreciable assets,0.00013503594084918208
16,Financing cash outflow,Desalination,0.0008511320834264247
17,Operating Expenses,Desalination Fixed O&M Cost,0.0037578255145625248
18,Operating Expenses,Cash on hand reserve,0.008454797225150534
19,Operating Expenses,Water,0.012612137203166219
20,Financing cash outflow,Compression,0.02022298250157351
21,Financing cash outflow,Hydrogen Storage,0.03818274466360029
22,Operating Expenses,Property insurance,0.056091951206386555
23,Operating Expenses,Var O&M,0.06894957205268135
24,Operating Expenses,Electrolyzer Fixed O&M Cost,0.19911859693856995
25,Financing cash outflow,Income taxes payable,0.37824877344492447
26,Operating Expenses,Wind Plant Fixed O&M Cost,0.4796055306827498
27,Financing cash outflow,Repayment of debt,0.638249206079769
28,Financing cash outflow,Wind Plant,0.6663008728357298
29,Financing cash outflow,Electrolysis system,0.9623876712151026
30,Financing cash outflow,Interest expense,1.0244470812047966
31,Financing cash outflow,Dividends paid,1.570922572558255
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,One time capital incentive,0.0
35,Financing cash inflow,Annual operating incentives,0.0
36,Operating Revenue,Cash on hand recovery,0.008454797225150534
37,Operating Revenue,Sale of non-depreciable assets,0.009294793437365922
38,Financing cash inflow,Monetized tax losses,0.19166387578677474
39,Financing cash inflow,Inflow of debt,0.6382492060797689
40,Financing cash inflow,Inflow of equity,1.0664522937047392
41,Operating Revenue,Hydrogen sales,4.214423517117495
