,Type,Name,NPV
0,Operating Expenses,Sales tax,0.0
1,Operating Expenses,Licensing and Permitting,0.0
2,Operating Expenses,Rent of land,0.0
3,Operating Expenses,Administrative expenses,0.0
4,Operating Expenses,Labor,0.0
5,Operating Expenses,Total annual maintenance,0.0
6,Operating Expenses,Credit card fees,0.0
7,Operating Expenses,Road tax,0.0
8,Operating Expenses,Property insurance,0.0
9,Financing cash outflow,Capital gains taxes payable,0.0
10,Operating Expenses,Non-depreciable assets,0.031467517401392094
11,Financing cash outflow,H2 Pre-heating,0.24602842711028658
12,Financing cash outflow,Oxygen Supply,0.44918659197311567
13,Operating Expenses,Raw Water Withdrawal,0.4764879062999998
14,Financing cash outflow,Cooling Tower,0.5542887348808809
15,Financing cash outflow,Electrical & Instrumentation,1.0973478779812897
16,Financing cash outflow,Other Miscellaneous Costs,1.097348315407478
17,Financing cash outflow,Piping,1.6460218155788577
18,Operating Expenses,Lime,2.065498799999999
19,Financing cash outflow,"Buildings, Storage, Water Service",2.3973987684223834
20,Operating Expenses,Natural Gas,2.7167092623580062
21,Operating Expenses,Cash on hand reserve,3.3036426810810697
22,Financing cash outflow,Shaft Furnace,3.556772857775394
23,Operating Expenses,Maintenance Labor Cost,4.61757286882987
24,Operating Expenses,Slag Disposal,6.5600378999999975
25,Financing cash outflow,EAF & Casting,6.79095952253455
26,Operating Expenses,Installation cost,7.665644616072816
27,Operating Expenses,Maintenance Materials,7.719999999999997
28,Operating Expenses,Property tax and insurance,10.70121174699854
29,Operating Expenses,Carbon,12.309439999999997
30,Financing cash outflow,Repayment of debt,14.804538555584472
31,Financing cash outflow,Income taxes payable,20.728890757663365
32,Operating Expenses,Administrative & Support Labor Cost,22.53263310522558
33,Financing cash outflow,Interest expense,22.924827953322556
34,Operating Expenses,Electricity,33.155801669507994
35,Financing cash outflow,Dividends paid,58.115549769497996
36,Operating Expenses,Annual Operating Labor Cost,85.51295955207246
37,Operating Expenses,Iron Ore,431.5773302999998
38,Operating Expenses,Hydrogen,432.28336164644173
39,Operating Revenue,Take or pay revenue,0.0
40,Operating Revenue,Incidental revenue,0.0
41,Operating Revenue,Oxygen sales,0.0
42,Financing cash inflow,One time capital incentive,0.0
43,Financing cash inflow,Annual operating incentives,0.0
44,Operating Revenue,Sale of non-depreciable assets,0.031467517401389505
45,Operating Revenue,Cash on hand recovery,3.3036426810810697
46,Financing cash inflow,Monetized tax losses,5.662006206547286
47,Financing cash inflow,Inflow of debt,14.804538555584472
48,Financing cash inflow,Inflow of equity,25.044802821442143
49,Operating Revenue,Steel sales,1148.7925017379655
