,Type,Name,NPV
0,Operating Expenses,Sales tax,0.0
1,Operating Expenses,Licensing and Permitting,0.0
2,Operating Expenses,Rent of land,0.0
3,Operating Expenses,Administrative expenses,0.0
4,Operating Expenses,Labor,0.0
5,Operating Expenses,Total annual maintenance,0.0
6,Operating Expenses,Credit card fees,0.0
7,Operating Expenses,Road tax,0.0
8,Operating Expenses,Property insurance,0.0
9,Financing cash outflow,Capital gains taxes payable,0.0
10,Operating Expenses,Non-depreciable assets,0.031504065040650404
11,Financing cash outflow,H2 Pre-heating,0.24719574535683544
12,Financing cash outflow,Oxygen Supply,0.45396449467827676
13,Operating Expenses,Raw Water Withdrawal,0.4764879063
14,Financing cash outflow,Cooling Tower,0.5603706616326535
15,Financing cash outflow,Electrical & Instrumentation,1.1103748056135168
16,Financing cash outflow,Other Miscellaneous Costs,1.110375248232515
17,Financing cash outflow,Piping,1.6655622070106606
18,Operating Expenses,Lime,2.0654988
19,Financing cash outflow,"Buildings, Storage, Water Service",2.4129814817595254
20,Operating Expenses,Natural Gas,2.602452274092851
21,Operating Expenses,Cash on hand reserve,3.086144438360061
22,Financing cash outflow,Shaft Furnace,3.5715804168460936
23,Operating Expenses,Maintenance Labor Cost,4.668047893394157
24,Operating Expenses,Slag Disposal,6.560037900000001
25,Financing cash outflow,EAF & Casting,6.8979073892142955
26,Operating Expenses,Maintenance Materials,7.719999999999999
27,Operating Expenses,Installation cost,7.735665078158515
28,Financing cash outflow,Repayment of debt,9.920036909348717
29,Operating Expenses,Property tax and insurance,10.818187470206622
30,Operating Expenses,Carbon,12.30944
31,Financing cash outflow,Interest expense,16.3841016001078
32,Operating Expenses,Administrative & Support Labor Cost,22.99979515729227
33,Financing cash outflow,Income taxes payable,37.46488409595635
34,Operating Expenses,Electricity,50.438367265837016
35,Operating Expenses,Annual Operating Labor Cost,87.3311327357749
36,Financing cash outflow,Dividends paid,109.64015145836102
37,Operating Expenses,Hydrogen,324.29525534116755
38,Operating Expenses,Iron Ore,431.57733029999986
39,Operating Revenue,Take or pay revenue,0.0
40,Operating Revenue,Incidental revenue,0.0
41,Operating Revenue,Oxygen sales,0.0
42,Financing cash inflow,One time capital incentive,0.0
43,Financing cash inflow,Annual operating incentives,0.0
44,Operating Revenue,Sale of non-depreciable assets,0.03150406504064774
45,Operating Revenue,Cash on hand recovery,3.086144438360061
46,Financing cash inflow,Monetized tax losses,4.233014156110604
47,Financing cash inflow,Inflow of debt,9.920036909348717
48,Financing cash inflow,Inflow of equity,21.501742654120733
49,Operating Revenue,Steel sales,1127.382390916762
