,Energy to electrolyzer (kWh),Energy from grid (kWh),Energy from renewables (kWh),Total energy (kWh),Hydrogen Hourly production (kg)
0,531821.1629050731,0.0,531821.1629050731,531821.1629050731,10912.783069435609
1,556384.2981265914,0.0,556384.2981265914,556384.2981265914,11376.620637668007
2,358883.7290924184,0.0,358883.7290924184,358883.7290924184,7575.554455790637
3,502132.0259257905,0.0,502132.0259257905,502132.0259257905,10348.90544317673
4,430001.9889463786,0.0,430001.9889463786,430001.9889463786,8963.887340731408
5,385920.783591243,0.0,385920.783591243,385920.783591243,8106.151590101994
6,280932.59469000855,0.0,280932.59469000855,280932.59469000855,6024.346328023575
7,317470.1516674093,0.0,317470.1516674093,317470.1516674093,6755.521600651735
8,269462.3494060044,0.0,269462.3494060044,269462.3494060044,5793.174462628515
9,107378.23262305048,0.0,107378.23262305048,107378.23262305048,-0.0
10,67702.04001284235,0.0,67702.04001284235,67702.04001284235,-0.0
11,38951.009016312324,0.0,38951.009016312324,38951.009016312324,-0.0
12,3316.4227023798153,0.0,3316.4227023798153,3316.4227023798153,-0.0
13,0.0,0.0,0.0,0.0,-0.0
14,0.0,0.0,0.0,0.0,-0.0
15,0.0,0.0,0.0,0.0,-0.0
16,27361.63364091319,0.0,27361.63364091319,27361.63364091319,-0.0
17,50779.72500054931,0.0,50779.72500054931,50779.72500054931,-0.0
18,67010.34011637942,0.0,67010.34011637942,67010.34011637942,-0.0
19,209851.45211052362,0.0,209851.45211052362,209851.45211052362,3814.748932935736
20,164049.30243817394,0.0,164049.30243817394,164049.30243817394,-0.0
21,227278.00787306076,0.0,227278.00787306076,227278.00787306076,4112.514808762299
22,190934.58380901781,0.0,190934.58380901781,190934.58380901781,4186.375662303593
23,329818.5512458325,0.0,329818.5512458325,329818.5512458325,6999.778769143316
24,430088.75563358056,0.0,430088.75563358056,430088.75563358056,8964.027251518643
25,464430.5304085242,0.0,464430.5304085242,464430.5304085242,9626.065413277034
26,563441.0709389412,0.0,563441.0709389412,563441.0709389412,11507.422355243263
27,699315.3686677205,0.0,699315.3686677205,699315.3686677205,14029.293463234098
28,658007.1090022607,0.0,658007.1090022607,658007.1090022607,13269.444278832203
29,665267.822946048,0.0,665267.822946048,665267.822946048,13403.397044125022
30,699558.9480883429,0.0,699558.9480883429,699558.9480883429,14033.686496170432
31,840089.4583033504,0.0,840089.4583033504,840089.4583033504,16577.036881397842
32,872823.9335489435,0.0,872823.9335489435,872823.9335489435,17160.790825731197
33,483490.47082392266,0.0,483490.47082392266,483490.47082392266,9991.191270040072
34,253123.64605832048,0.0,253123.64605832048,253123.64605832048,5461.469476232456
35,234757.29232525657,0.0,234757.29232525657,234757.29232525657,5087.743229852739
36,206029.22618711003,0.0,206029.22618711003,206029.22618711003,4498.43307479877
37,194115.72558424636,0.0,194115.72558424636,194115.72558424636,4252.2043742751475
38,230888.44640638918,0.0,230888.44640638918,230888.44640638918,5008.702822151928
39,250528.7706429324,0.0,250528.7706429324,250528.7706429324,5408.7599541557065
40,293883.42631123884,0.0,293883.42631123884,293883.42631123884,6283.131581832261
41,348529.264410224,0.0,348529.264410224,348529.264410224,7369.849820901318
42,462939.1398220193,0.0,462939.1398220193,462939.1398220193,9597.147594869508
43,616037.1925948674,0.0,616037.1925948674,616037.1925948674,12491.095767935456
44,507404.7811225784,0.0,507404.7811225784,507404.7811225784,10447.161370983544
45,409162.6000829126,0.0,409162.6000829126,409162.6000829126,8557.737416792057
46,555576.8667225424,0.0,555576.8667225424,555576.8667225424,11359.028646525589
47,716296.5642312915,0.0,716296.5642312915,716296.5642312915,14339.522376936666
48,748322.9161210315,0.0,748322.9161210315,748322.9161210315,14922.87461124368
49,795681.7441891966,0.0,795681.7441891966,795681.7441891966,15779.531215366831
50,847435.0448373479,0.0,847435.0448373479,847435.0448373479,16707.80651423531
51,1034514.8522535297,0.0,1034514.8522535297,1034514.8522535297,19999.911152597408
52,1006003.2919310728,0.0,1006003.2919310728,1006003.2919310728,19504.223179790806
53,1059522.0362402059,0.0,1059522.0362402059,1059522.0362402059,20432.877334935507
54,1059522.0362402059,0.0,1059522.0362402059,1059522.0362402059,20432.84311010208
55,982680.9199257159,0.0,982680.9199257159,982680.9199257159,19097.11597606941
56,1033796.7962135001,0.0,1033796.7962135001,1033796.7962135001,19987.28642308032
57,600242.5723793621,0.0,600242.5723793621,600242.5723793621,12196.378319996162
58,416078.86888850335,0.0,416078.86888850335,416078.86888850335,8691.934741278104
59,380146.0510098786,0.0,380146.0510098786,380146.0510098786,7991.259632042834
60,312145.0507769161,0.0,312145.0507769161,312145.0507769161,6647.8721873396225
61,284111.83633460273,0.0,284111.83633460273,284111.83633460273,6086.8238859578605
62,284276.20827834273,0.0,284276.20827834273,284276.20827834273,6090.116535621089
63,301886.36783740716,0.0,301886.36783740716,301886.36783740716,6443.048627381307
64,262494.0342785413,0.0,262494.0342785413,262494.0342785413,5650.9881420537395
65,745535.3719269745,0.0,745535.3719269745,745535.3719269745,14871.812350323655
66,518239.4373708558,0.0,518239.4373708558,518239.4373708558,10652.663053390876
67,744499.2839076475,0.0,744499.2839076475,744499.2839076475,14852.933471220922
68,801965.0710388089,0.0,801965.0710388089,801965.0710388089,15892.172697929618
69,406340.9505469217,0.0,406340.9505469217,406340.9505469217,8502.490163629527
70,597033.1900958543,0.0,597033.1900958543,597033.1900958543,12136.184794512026
