,Energy to electrolyzer (kWh),Energy from grid (kWh),Energy from renewables (kWh),Total energy (kWh),Hydrogen Hourly production (kg)
0,454261.8140361828,229588.70243457437,224673.11160160846,454261.8140361828,8366.316447324267
1,454262.5749150058,219212.5238347881,235050.05108021773,454262.5749150058,8366.316447324267
2,454263.3357938288,302649.3539847323,151613.98180909656,454263.3357938288,8366.316447324267
3,454264.0966726517,242133.45470400227,212130.64196864943,454264.0966726517,8366.316447324267
4,454264.8575514747,272606.26329070516,181658.59426076955,454264.8575514747,8366.316447324267
5,454265.6184302977,291229.5654692913,163036.05296100638,454265.6184302977,8366.316447324267
6,454266.37930912065,335583.62540264643,118682.75390647422,454266.37930912065,8366.316447324267
7,454267.1401879437,320148.7338685569,134118.4063193868,454267.1401879437,8366.316447324267
8,454267.9010667665,178933.60716067272,275334.2939060938,454267.9010667665,8366.316447324267
9,454268.6619455895,141318.74890155927,312949.91304403025,454268.6619455895,8366.316447324267
10,454269.42282441247,170765.67752863577,283503.7452957767,454269.42282441247,8366.316447324267
11,454270.18370323547,220870.00189125017,233400.1818119853,454270.18370323547,8366.316447324267
12,454270.94458205847,242132.46355160867,212138.4810304498,454270.94458205847,8366.316447324267
13,454271.70546088135,213239.27059147088,241032.43486941047,454271.70546088135,8366.316447324267
14,454272.46633970435,192750.84960877226,261521.6167309321,454272.46633970435,8366.316447324267
15,454273.22721852735,249374.04679007156,204899.1804284558,454273.22721852735,8366.316447324267
16,454273.9880973503,442714.79527578806,11559.192821562256,454273.9880973503,8366.316447324267
17,454274.7489761733,432822.3517834279,21452.39719274543,454274.7489761733,8366.316447324267
18,454275.5098549961,425966.32873631176,28309.181118684348,454275.5098549961,8366.316447324267
19,454276.2707338191,365622.4487192129,88653.82201460624,454276.2707338191,8366.316447324267
20,454277.03161264217,384972.78084999113,69304.25076265103,454277.03161264217,8366.316447324267
21,454277.7924914651,358261.9495932202,96015.84289824493,454277.7924914651,8366.316447324267
22,454278.5533702881,373616.34951514157,80662.20385514657,454278.5533702881,8366.316447324267
23,454279.314249111,314944.2043645079,139335.10988460304,454279.314249111,8366.316447324267
24,454280.075127934,272584.82542176894,181695.24970616505,454280.075127934,8366.316447324267
25,454280.836006757,258077.5638020863,196203.27220467068,454280.836006757,8366.316447324267
26,454281.59688557993,216250.34231779195,238031.25456778798,454281.59688557993,8366.316447324267
27,454282.3577644028,158849.66191012517,295432.69585427764,454282.3577644028,8366.316447324267
28,454283.1186432258,176301.50574922265,277981.61289400316,454283.1186432258,8366.316447324267
29,454283.87952204875,173234.90619190014,281048.9733301486,454283.87952204875,8366.316447324267
30,454284.64040087175,158749.04201060924,295535.5983902625,454284.64040087175,8366.316447324267
31,454285.40127969475,99381.2985740013,354904.10270569345,454285.40127969475,8366.316447324267
32,480000.0,0.0,480000.0,480000.0,8366.316447324267
33,454286.9230373407,5656.568074226903,448630.3549631138,454286.9230373407,8366.316447324267
34,454287.68391616363,109855.30808321375,344432.3758329499,454287.68391616363,8366.316447324267
35,454288.44479498663,149337.57139176992,304950.8734032167,454288.44479498663,8366.316447324267
36,454289.2056738096,167639.67119068006,286649.53448312957,454289.2056738096,8366.316447324267
37,454289.96655263245,147234.64428565715,307055.3222669753,454289.96655263245,8366.316447324267
38,454290.72743145545,121461.85139001173,332828.8760414437,454290.72743145545,8366.316447324267
39,454291.4883102784,316982.60860708647,137308.87970319192,454291.4883102784,8366.316447324267
40,454292.2491891014,330138.2883410379,124153.96084806346,454292.2491891014,8366.316447324267
41,454293.01006792445,307053.3743010384,147239.63576688606,454293.01006792445,8366.316447324267
42,454293.7709467473,258720.55144974447,195573.2194970028,454293.7709467473,8366.316447324267
43,454294.53182557033,194043.52532827342,260251.0064972969,454294.53182557033,8366.316447324267
44,454295.2927043933,239937.12313923982,214358.16956515345,454295.2927043933,8366.316447324267
45,454296.0535832163,281441.26531289495,172854.78827032135,454296.0535832163,8366.316447324267
46,454296.81446203927,219587.8707664197,234708.94369561956,454296.81446203927,8366.316447324267
47,454297.5753408621,151691.0054249689,302606.5699158932,454297.5753408621,8366.316447324267
48,454298.3362196851,138161.9171097306,316136.4191099545,454298.3362196851,8366.316447324267
49,454299.0970985081,118155.47254799184,336143.62455051625,454299.0970985081,8366.316447324267
50,454299.8579773311,96292.53957010916,358007.31840722193,454299.8579773311,8366.316447324267
51,454300.6188561541,17259.585016427678,437041.0338397264,454300.6188561541,8366.316447324267
52,454301.379734977,29305.3366197109,424996.0431152661,454301.379734977,8366.316447324267
53,454302.1406138,6696.574501627474,447605.5661121725,454302.1406138,8366.316447324267
54,454302.901492623,6697.335380450473,447605.5661121725,454302.901492623,8366.316447324267
55,454303.6623714459,39160.386039191624,415143.2763322543,454303.6623714459,8366.316447324267
56,461775.86014200083,0.0,461775.86014200083,461775.86014200083,8366.316447324267
57,454305.18412909185,142446.36572240514,311858.8184066867,454305.18412909185,8366.316447324267
58,454305.9450079148,142458.15714762796,311847.78786028683,454305.9450079148,8366.316447324267
59,454306.7058867378,197624.3864255488,256682.319461189,454306.7058867378,8366.316447324267
60,454307.4667655608,235111.00381802226,219196.46294753853,454307.4667655608,8366.316447324267
61,454308.22764438373,258805.02653171646,195503.20111266727,454308.22764438373,8366.316447324267
62,454308.9885232067,296773.0654916825,157535.92303152414,454308.9885232067,8366.316447324267
63,454309.7494020296,306002.50713320734,148307.24226882227,454309.7494020296,8366.316447324267
64,454310.51028085256,339008.0469645258,115302.46331632676,454310.51028085256,8366.316447324267
65,454311.27115967555,139352.47767180932,314958.79348786623,454311.27115967555,8366.316447324267
66,454312.0320384986,235376.65475348465,218935.37728501396,454312.0320384986,8366.316447324267
67,454312.7929173215,139791.70506328862,314521.08785403287,454312.7929173215,8366.316447324267
68,454313.55379614444,115515.47565675457,338798.07813938987,454313.55379614444,8366.316447324267
69,454314.31467496743,282651.5601658401,171662.75450912732,454314.31467496743,8366.316447324267
70,454315.0755537905,202092.49791971303,252222.57763407746,454315.0755537905,8366.316447324267
71,454315.8364326133,241263.22127457405,213052.61515803926,454315.8364326133,8366.316447324267
72,454316.5973114363,151424.9314825373,302891.665828899,454316.5973114363,8366.316447324267
73,454317.35819025926,70485.58416504826,383831.774025211,454317.35819025926,8366.316447324267
74,454318.11906908226,6712.552956909756,447605.5661121725,454318.11906908226,8366.316447324267
75,454318.87994790525,9006.82885593659,445312.05109196866,454318.87994790525,8366.316447324267
76,454319.6408267281,6714.07471455558,447605.5661121725,454319.6408267281,8366.316447324267
77,454320.4017055511,6714.835593378579,447605.5661121725,454320.4017055511,8366.316447324267
78,454321.16258437413,6715.596472201636,447605.5661121725,454321.16258437413,8366.316447324267
79,454321.92346319713,6716.357351024635,447605.5661121725,454321.92346319713,8366.316447324267
80,480000.0,0.0,480000.0,480000.0,8366.316447324267
81,480000.0,0.0,480000.0,480000.0,8366.316447324267
82,477396.55493714055,0.0,477396.55493714055,477396.55493714055,8366.316447324267
83,454324.96697848896,73492.08655071974,380832.8804277692,454324.96697848896,8366.316447324267
84,454325.7278573119,76403.27228435746,377922.45557295444,454325.7278573119,8366.316447324267
85,454326.4887361349,65025.561541665404,389300.9271944695,454326.4887361349,8366.316447324267
86,454327.2496149577,47708.33712714695,406618.91248781077,454327.2496149577,8366.316447324267
87,454328.0104937807,137829.28768966917,316498.72280411154,454328.0104937807,8366.316447324267
88,454328.77137260383,300654.82337392215,153673.94799868166,454328.77137260383,8366.316447324267
89,454329.5322514268,94641.38006894855,359688.1521824782,454329.5322514268,8366.316447324267
90,454330.2931302498,98447.41031100921,355882.88281924056,454330.2931302498,8366.316447324267
91,454331.05400907266,67682.00220538548,386649.0518036872,454331.05400907266,8366.316447324267
92,454331.8148878956,74617.72865205217,379714.0862358434,454331.8148878956,8366.316447324267
93,454332.5757667186,187663.60881691676,266668.96694980183,454332.5757667186,8366.316447324267
94,454333.33664554154,312661.7983431349,141671.5383024066,454333.33664554154,8366.316447324267
95,454334.0975243646,289145.50131458393,165188.59620978063,454334.0975243646,8366.316447324267
96,454334.8584031874,367319.55266749626,87015.30573569116,454334.8584031874,8366.316447324267
97,454335.61928201036,317876.83509657776,136458.78418543263,454335.61928201036,8366.316447324267
98,454336.3801608334,294037.7385484457,160298.64161238773,454336.3801608334,8366.316447324267
99,454337.1410396564,374748.99123160774,79588.14980804866,454337.1410396564,8366.316447324267
100,454337.90191847936,388743.26657907094,65594.63533940839,454337.90191847936,8366.316447324267
