,Energy to electrolyzer (kWh),Energy from grid (kWh),Energy from renewables (kWh),Total energy (kWh),Hydrogen Hourly production (kg)
0,454261.8140361828,156146.83581799862,298114.9782181842,454261.8140361828,8366.316447324267
1,454262.5749150058,145136.39887423912,309126.1760407667,454262.5749150058,8366.316447324267
2,454263.3357938288,106843.23574150231,347420.1000523265,454263.3357938288,8366.316447324267
3,454264.0966726517,113661.56190312008,340602.53476953163,454264.0966726517,8366.316447324267
4,454264.8575514747,105943.36987153447,348321.48767994024,454264.8575514747,8366.316447324267
5,454265.61843029765,122035.37803778215,332230.2403925155,454265.61843029765,8366.316447324267
6,454266.37930912065,131597.4090059786,322668.97030314204,454266.37930912065,8366.316447324267
7,454267.1401879437,114917.93012015102,339349.2100677927,454267.1401879437,8366.316447324267
8,454267.9010667665,112439.02801608335,341828.8730506832,454267.9010667665,8366.316447324267
9,454268.6619455895,147567.6617613773,306701.00018421223,454268.6619455895,8366.316447324267
10,454269.42282441247,230509.51071444596,223759.9121099665,454269.42282441247,8366.316447324267
11,454270.18370323547,258603.0800442452,195667.10365899027,454270.18370323547,8366.316447324267
12,454270.94458205847,289286.2633604,164984.68122165845,454270.94458205847,8366.316447324267
13,454271.70546088135,338422.51285481016,115849.1926060712,454271.70546088135,8366.316447324267
14,454272.46633970435,381592.5608180099,72679.90552169444,454272.46633970435,8366.316447324267
15,454273.22721852735,402294.92030574154,51978.30691278578,454273.22721852735,8366.316447324267
16,454273.9880973503,410029.0992171739,44244.88888017642,454273.9880973503,8366.316447324267
17,454274.7489761733,397567.786307028,56706.9626691453,454274.7489761733,8366.316447324267
18,454275.5098549961,383986.53772693855,70288.97212805755,454275.5098549961,8366.316447324267
19,454276.27073381917,365926.88347077736,88349.38726304182,454276.27073381917,8366.316447324267
20,454277.03161264217,349857.29665195296,104419.7349606892,454277.03161264217,8366.316447324267
21,454277.7924914651,338502.6829993266,115775.10949213852,454277.7924914651,8366.316447324267
22,454278.5533702881,352284.774933957,101993.77843633115,454278.5533702881,8366.316447324267
23,454279.314249111,365723.22915452585,88556.08509458513,454279.314249111,8366.316447324267
24,454280.075127934,350138.5692411496,104141.5058867844,454280.075127934,8366.316447324267
25,454280.836006757,371838.793953203,82442.04205355397,454280.836006757,8366.316447324267
26,454281.59688557993,400545.33447608387,53736.262409496085,454281.59688557993,8366.316447324267
27,454282.3577644028,405058.7409452041,49223.616819198716,454282.3577644028,8366.316447324267
28,454283.1186432258,417479.15313172195,36803.96551150386,454283.1186432258,8366.316447324267
29,454283.87952204875,421158.19529703574,33125.684225013036,454283.87952204875,8366.316447324267
30,454284.64040087175,411227.5408242374,43057.099576634326,454284.64040087175,8366.316447324267
31,454285.40127969475,408954.7055023096,45330.695777385175,454285.40127969475,8366.316447324267
32,454286.1621585177,417255.0643920117,37031.09776650597,454286.1621585177,8366.316447324267
33,454286.9230373407,417037.0267192492,37249.896318091465,454286.9230373407,8366.316447324267
34,454287.68391616363,429450.8252286365,24836.85868752711,454287.68391616363,8366.316447324267
35,454288.44479498663,423161.16645355,31127.27834143664,454288.44479498663,8366.316447324267
36,454289.2056738096,421212.1391820337,33077.06649177589,454289.2056738096,8366.316447324267
37,454289.96655263245,398246.0713946358,56043.89515799668,454289.96655263245,8366.316447324267
38,454290.72743145545,384908.89787191176,69381.8295595437,454290.72743145545,8366.316447324267
39,454291.4883102784,347589.49981659953,106701.98849367889,454291.4883102784,8366.316447324267
40,454292.2491891014,311372.22195201967,142920.02723708173,454292.2491891014,8366.316447324267
41,454293.01006792445,219988.80033274586,234304.2097351786,454293.01006792445,8366.316447324267
42,454293.7709467473,176243.32207376865,278050.4488729786,454293.7709467473,8366.316447324267
43,454294.53182557033,88090.07452643703,366204.4572991333,454294.53182557033,8366.316447324267
44,454295.2927043933,108548.28381757159,345747.0088868217,454295.2927043933,8366.316447324267
45,454296.0535832163,85679.16911034763,368616.88447286864,454296.0535832163,8366.316447324267
46,454296.81446203927,29354.82131757168,424941.9931444676,454296.81446203927,8366.316447324267
47,454297.5753408621,29355.582196394505,424941.9931444676,454297.5753408621,8366.316447324267
48,454298.3362196851,29356.343075217505,424941.9931444676,454298.3362196851,8366.316447324267
49,454299.0970985081,29357.103954040504,424941.9931444676,454299.0970985081,8366.316447324267
50,454299.8579773311,29357.864832863503,424941.9931444676,454299.8579773311,8366.316447324267
51,454300.6188561541,52447.44870285771,401853.1701532964,454300.6188561541,8366.316447324267
52,454301.379734977,141624.79742797092,312676.58230700606,454301.379734977,8366.316447324267
53,454302.1406138,183282.93813415908,271019.2024796409,454302.1406138,8366.316447324267
54,454302.901492623,153223.8615566332,301079.0399359898,454302.901492623,8366.316447324267
55,454303.6623714459,144627.38423806714,309676.2781333788,454303.6623714459,8366.316447324267
56,454304.4232502689,118709.45901791722,335594.9642323517,454304.4232502689,8366.316447324267
57,454305.18412909185,236340.75808199326,217964.4260470986,454305.18412909185,8366.316447324267
