,Energy to electrolyzer (kWh),Energy from grid (kWh),Energy from renewables (kWh),Total energy (kWh),Hydrogen Hourly production (kg)
0,731375.4132286118,0.0,731375.4132286118,731375.4132286118,14617.662453695288
1,758389.551886681,0.0,758389.551886681,758389.551886681,15108.711320857694
2,852337.3121283744,0.0,852337.3121283744,852337.3121283744,16798.816179221507
3,835611.5519679176,0.0,835611.5519679176,835611.5519679176,16499.84344908095
4,854548.7164414534,0.0,854548.7164414534,854548.7164414534,16838.223290922237
5,815071.5230963046,0.0,815071.5230963046,815071.5230963046,16131.531387471963
6,791614.5404770419,0.0,791614.5404770419,791614.5404770419,15709.388903104347
7,832536.7286996513,0.0,832536.7286996513,832536.7286996513,16444.68587452014
8,838620.1685510094,0.0,838620.1685510094,838620.1685510094,16553.539948023725
9,752439.7871186007,0.0,752439.7871186007,752439.7871186007,15000.552001161444
10,548957.6510431177,0.0,548957.6510431177,548957.6510431177,11236.456572945552
11,480036.6276433895,0.0,480036.6276433895,480036.6276433895,9926.846884360992
12,404762.41793046874,0.0,404762.41793046874,404762.41793046874,8473.768220786818
13,284216.685860228,0.0,284216.685860228,284216.685860228,6090.310467132
14,178308.03487989036,0.0,178308.03487989036,178308.03487989036,3924.422698831175
15,127520.11295936779,0.0,127520.11295936779,127520.11295936779,-0.0
16,108547.46071936615,0.0,108547.46071936615,108547.46071936615,-0.0
17,139121.0817483031,0.0,139121.0817483031,139121.0817483031,-0.0
18,172442.2782875012,0.0,172442.2782875012,172442.2782875012,3168.0123197837434
19,216750.49675199593,0.0,216750.49675199593,216750.49675199593,4719.5339700045415
20,256176.41643689087,0.0,256176.41643689087,256176.41643689087,5523.8819883826545
21,284034.9352873799,0.0,284034.9352873799,284034.9352873799,6086.1153368008245
22,250224.73643046574,0.0,250224.73643046574,250224.73643046574,5403.1137134947
23,217257.59543204884,0.0,217257.59543204884,217257.59543204884,4729.917169641996
24,255493.82777557772,0.0,255493.82777557772,255493.82777557772,5510.008050755708
25,202257.80983805243,0.0,202257.80983805243,202257.80983805243,4421.002255389346
26,131832.9637779637,0.0,131832.9637779637,131832.9637779637,-0.0
27,120761.93992976753,0.0,120761.93992976753,120761.93992976753,-0.0
28,90292.39538822282,0.0,90292.39538822282,90292.39538822282,-0.0
29,81268.34529869865,0.0,81268.34529869865,81268.34529869865,-0.0
30,105633.41762800954,0.0,105633.41762800954,105633.41762800954,-0.0
31,111211.30697385162,0.0,111211.30697385162,111211.30697385162,-0.0
32,90849.62652049464,0.0,90849.62652049464,90849.62652049464,-0.0
33,91386.4123003844,0.0,91386.4123003844,91386.4123003844,-0.0
34,60933.09331339985,0.0,60933.09331339985,60933.09331339985,-0.0
35,76365.58953099123,0.0,76365.58953099123,76365.58953099123,-0.0
36,81149.06979315684,0.0,81149.06979315684,81149.06979315684,-0.0
37,137494.35612095185,0.0,137494.35612095185,137494.35612095185,-0.0
38,170216.75518608053,0.0,170216.75518608053,170216.75518608053,3128.9157665124467
39,261775.5451044922,0.0,261775.5451044922,261775.5451044922,5636.747620831089
40,350630.4668216405,0.0,350630.4668216405,350630.4668216405,7411.388132171876
41,574826.3278836381,0.0,574826.3278836381,574826.3278836381,11721.09625648138
42,682150.4345683742,0.0,682150.4345683742,682150.4345683742,13714.0287919967
43,898421.601907207,0.0,898421.601907207,898421.601907207,17614.958867504836
44,848232.6618023358,0.0,848232.6618023358,848232.6618023358,16722.329003125757
45,904340.0899067712,0.0,904340.0899067712,904340.0899067712,17719.68395416787
46,1042524.3565144271,0.0,1042524.3565144271,1042524.3565144271,20139.073104663705
47,1042524.3565144271,0.0,1042524.3565144271,1042524.3565144271,20139.039371214698
48,1042524.3565144271,0.0,1042524.3565144271,1042524.3565144271,20139.005637878687
49,1042524.3565144271,0.0,1042524.3565144271,1042524.3565144271,20138.971904655642
50,1042524.3565144271,0.0,1042524.3565144271,1042524.3565144271,20138.93817154559
51,985879.7774427538,0.0,985879.7774427538,985879.7774427538,19153.274984855747
52,767099.8819265214,0.0,767099.8819265214,767099.8819265214,15263.372033786009
53,664900.443416719,0.0,664900.443416719,664900.443416719,13396.183229799257
54,738647.2446429615,0.0,738647.2446429615,738647.2446429615,14746.923329285924
55,759739.1356872227,0.0,759739.1356872227,759739.1356872227,15129.94954978071
56,823326.3122500363,0.0,823326.3122500363,823326.3122500363,16276.310204607771
57,534739.3919022152,0.0,534739.3919022152,534739.3919022152,10965.55511354301
58,341725.7755557329,0.0,341725.7755557329,341725.7755557329,7235.252248803625
59,419170.13769206643,0.0,419170.13769206643,419170.13769206643,8751.980162454429
60,461363.28035587346,0.0,461363.28035587346,461363.28035587346,9566.638487893784
61,490899.3735665742,0.0,490899.3735665742,490899.3735665742,10132.356282375958
62,444618.5085193118,0.0,444618.5085193118,444618.5085193118,9244.23118440491
63,576772.4761570708,0.0,576772.4761570708,576772.4761570708,11757.163920437692
64,611993.9435316534,0.0,611993.9435316534,611993.9435316534,12415.457134329159
65,831190.5706127319,0.0,831190.5706127319,831190.5706127319,16416.997127525196
66,992555.9565063239,0.0,992555.9565063239,992555.9565063239,19269.411179575094
67,929765.1849367048,0.0,929765.1849367048,929765.1849367048,18168.052469075774
68,692979.9540703183,0.0,692979.9540703183,692979.9540703183,13912.286237536298
69,660085.1488102837,0.0,660085.1488102837,660085.1488102837,13306.992747036607
70,609941.5259111724,0.0,609941.5259111724,609941.5259111724,12377.093426930656
