,Energy to electrolyzer (kWh),Energy from grid (kWh),Energy from renewables (kWh),Total energy (kWh),Hydrogen Hourly production (kg)
0,0.0,0.0,0.0,0.0,19793.789905408372
1,0.0,0.0,0.0,0.0,19793.75674430839
2,0.0,0.0,0.0,0.0,19793.723583319497
3,0.0,0.0,0.0,0.0,19793.690422441676
4,0.0,0.0,0.0,0.0,19793.65726167497
5,0.0,0.0,0.0,0.0,19793.624101019333
6,0.0,0.0,0.0,0.0,19793.590940474798
7,70936.12484593038,0.0,70936.12484593038,70936.12484593038,19793.557780041334
8,369636.2482123753,0.0,369636.2482123753,369636.2482123753,19793.524619718974
9,711235.6691063307,0.0,711235.6691063307,711235.6691063307,18968.189769901714
10,352420.36010595114,0.0,352420.36010595114,352420.36010595114,13444.587328907606
11,1040834.55119349,0.0,1040834.55119349,1040834.55119349,8919.720528028265
12,735376.272085111,0.0,735376.272085111,735376.272085111,5584.550098489574
13,222215.26145587285,0.0,222215.26145587285,222215.26145587285,11552.187724781383
14,165940.7596029364,0.0,165940.7596029364,165940.7596029364,12616.578777816205
15,107351.15625688364,0.0,107351.15625688364,107351.15625688364,2368.8852329362953
16,2657.430026642935,0.0,2657.430026642935,2657.430026642935,18693.25870457297
17,0.0,0.0,0.0,0.0,9958.104003884726
18,0.0,0.0,0.0,0.0,8158.524453283066
19,0.0,0.0,0.0,0.0,12766.873586342235
20,0.0,0.0,0.0,0.0,18397.396833715455
21,0.0,0.0,0.0,0.0,19792.647623861347
22,0.0,0.0,0.0,0.0,14967.946299424391
23,0.0,0.0,0.0,0.0,12340.184132429906
24,0.0,0.0,0.0,0.0,15194.442802935886
25,0.0,0.0,0.0,0.0,14861.883556088298
26,0.0,0.0,0.0,0.0,17562.557585732386
27,0.0,0.0,0.0,0.0,17315.970215222394
28,0.0,0.0,0.0,0.0,18182.367486617008
29,0.0,0.0,0.0,0.0,19171.517571900615
30,0.0,0.0,0.0,0.0,16523.80181852907
31,5758.302370154772,0.0,5758.302370154772,5758.302370154772,15937.484164679192
32,17982.053521941994,0.0,17982.053521941994,17982.053521941994,19792.29031831307
33,212770.22807396462,0.0,212770.22807396462,212770.22807396462,15104.79930768862
34,281233.46094125183,0.0,281233.46094125183,281233.46094125183,9502.577549114076
35,522442.97185659,0.0,522442.97185659,522442.97185659,8075.048954513228
36,705886.441728445,0.0,705886.441728445,705886.441728445,7019.593579795219
37,338647.27907965775,0.0,338647.27907965775,338647.27907965775,10541.23987137555
38,181258.59207045563,0.0,181258.59207045563,181258.59207045563,8620.705085530131
39,259422.4091137574,0.0,259422.4091137574,259422.4091137574,5935.018147756542
40,205209.538750885,0.0,205209.538750885,205209.538750885,7789.29217108777
41,0.0,0.0,0.0,0.0,10766.39630823444
42,0.0,0.0,0.0,0.0,11807.138703171642
43,0.0,0.0,0.0,0.0,13834.6847700781
44,0.0,0.0,0.0,0.0,11721.84549340865
45,0.0,0.0,0.0,0.0,12538.204935807033
46,0.0,0.0,0.0,0.0,17574.065719792918
47,0.0,0.0,0.0,0.0,7345.31950520039
48,0.0,0.0,0.0,0.0,10711.395313213647
49,0.0,0.0,0.0,0.0,11805.51958107588
50,0.0,0.0,0.0,0.0,10002.069655661073
51,0.0,0.0,0.0,0.0,5917.165193711512
52,0.0,0.0,0.0,0.0,16619.17720897316
53,0.0,0.0,0.0,0.0,9056.061320756333
54,0.0,0.0,0.0,0.0,7065.953280498483
55,220312.1646101042,0.0,220312.1646101042,220312.1646101042,17360.904285716646
56,332993.34300697513,0.0,332993.34300697513,332993.34300697513,11245.440044280376
57,1034915.1884700058,0.0,1034915.1884700058,1034915.1884700058,8197.268101669719
58,828962.2777351418,0.0,828962.2777351418,828962.2777351418,8432.269643430338
59,523212.0343535482,0.0,523212.0343535482,523212.0343535482,8532.783698144112
60,758488.0938266603,0.0,758488.0938266603,758488.0938266603,7867.451937806775
61,1131156.3799600615,0.0,1131156.3799600615,1131156.3799600615,8271.706832507918
62,1020838.0301788903,0.0,1020838.0301788903,1020838.0301788903,14008.678361408161
63,1558820.3388357558,0.0,1558820.3388357558,1558820.3388357558,13501.776300486446
64,642565.6051784275,0.0,642565.6051784275,642565.6051784275,17291.871722299773
65,0.0,0.0,0.0,0.0,18989.945022170043
66,0.0,0.0,0.0,0.0,19791.228423866352
67,0.0,0.0,0.0,0.0,19791.195271346725
68,0.0,0.0,0.0,0.0,19791.16211893813
69,0.0,0.0,0.0,0.0,19791.128966640594
70,0.0,0.0,0.0,0.0,19791.09581445408
71,0.0,0.0,0.0,0.0,19791.06266237862
72,0.0,0.0,0.0,0.0,19791.029510414217
73,0.0,0.0,0.0,0.0,19790.99635856084
74,0.0,0.0,0.0,0.0,19790.963206818506
75,0.0,0.0,0.0,0.0,19790.930055187237
76,0.0,0.0,0.0,0.0,19790.896903666977
77,0.0,0.0,0.0,0.0,19790.863752257774
78,0.0,0.0,0.0,0.0,19790.830600959624
79,498021.7601752421,0.0,498021.7601752421,498021.7601752421,19790.797449772504
80,1475433.0737924338,0.0,1475433.0737924338,1475433.0737924338,19506.95271167407
81,1625362.1891229488,0.0,1625362.1891229488,1625362.1891229488,7105.198037991589
82,1559102.196752,0.0,1559102.196752,1559102.196752,4006.03034260948
83,1490614.4268807631,0.0,1490614.4268807631,1490614.4268807631,4356.637076043166
84,1476437.8024437602,0.0,1476437.8024437602,1476437.8024437602,5498.60207439833
85,1527190.3875451363,0.0,1527190.3875451363,1527190.3875451363,5280.760237738717
86,1366934.6959626982,0.0,1366934.6959626982,1366934.6959626982,5424.193060337233
87,1451174.978905397,0.0,1451174.978905397,1451174.978905397,5452.455741109195
88,603377.2501501249,0.0,603377.2501501249,603377.2501501249,5818.827754476066
89,0.0,0.0,0.0,0.0,13191.697283993972
90,0.0,0.0,0.0,0.0,14325.978740126156
91,0.0,0.0,0.0,0.0,17174.0300278035
92,0.0,0.0,0.0,0.0,19790.398262642713
93,0.0,0.0,0.0,0.0,19790.36511290368
94,0.0,0.0,0.0,0.0,19790.331963275697
95,0.0,0.0,0.0,0.0,19790.29881375873
96,0.0,0.0,0.0,0.0,19790.2656643528
97,0.0,0.0,0.0,0.0,19790.232515057898
98,0.0,0.0,0.0,0.0,19790.199365874025
99,0.0,0.0,0.0,0.0,19790.166216801183
100,0.0,0.0,0.0,0.0,19790.133067839375
101,0.0,0.0,0.0,0.0,19790.099918988595
102,0.0,0.0,0.0,0.0,19790.066770248835
103,141561.778247448,0.0,141561.778247448,141561.778247448,19790.033621620096
104,179744.28017089097,0.0,179744.28017089097,179744.28017089097,17217.987643774886
105,190117.03434472048,0.0,190117.03434472048,190117.03434472048,3938.7001797319294
106,485442.5150492121,0.0,485442.5150492121,485442.5150492121,2527.900557392773
107,669740.5416311615,0.0,669740.5416311615,669740.5416311615,1459.998144546686
108,539407.2415831013,0.0,539407.2415831013,539407.2415831013,1152.0361098968215
109,345289.49261916813,0.0,345289.49261916813,345289.49261916813,268.8767912091961
110,486630.78943557426,0.0,486630.78943557426,486630.78943557426,967.4716885134263
111,145966.83693492223,0.0,145966.83693492223,145966.83693492223,1396.9538338624982
112,13924.038228038498,0.0,13924.038228038498,13924.038228038498,6290.767846962182
113,0.0,0.0,0.0,0.0,8150.094004802474
114,0.0,0.0,0.0,0.0,15852.668249353039
115,0.0,0.0,0.0,0.0,16255.77379659693
