,Energy to electrolyzer (kWh),Energy from grid (kWh),Energy from renewables (kWh),Total energy (kWh),Hydrogen Hourly production (kg)
0,454261.8140361828,29319.820891715237,424941.9931444676,454261.8140361828,8366.316447324267
1,454262.5749771121,29320.58183264453,424941.9931444676,454262.5749771121,8366.316447324267
2,454263.33591804164,29321.342773574055,424941.9931444676,454263.33591804164,8366.316447324267
3,454264.09685897105,29322.103714503464,424941.9931444676,454264.09685897105,8366.316447324267
4,454264.85779990046,29322.864655432873,424941.9931444676,454264.85779990046,8366.316447324267
5,454265.6187408299,41898.5087687241,412367.10997210577,454265.6187408299,8366.316447324267
6,454266.37968175916,29324.386537291575,424941.9931444676,454266.37968175916,8366.316447324267
7,454267.1406226887,54650.17076985858,399616.9698528301,454267.1406226887,8366.316447324267
8,454267.9015636181,36138.16576325195,418129.73580036615,454267.9015636181,8366.316447324267
9,454268.6625045474,154487.81709191232,299780.84541263507,454268.6625045474,8366.316447324267
10,454269.42344547686,267499.5030519765,186769.92039350036,454269.42344547686,8366.316447324267
11,454270.1843864062,336576.1004070955,117694.08397931069,454270.1843864062,8366.316447324267
12,454270.9453273357,385538.89993250906,68732.04539482662,454270.9453273357,8366.316447324267
13,454271.7062682651,297553.65888349456,156718.04738477053,454271.7062682651,8366.316447324267
14,454272.46720919444,280953.90681618615,173318.56039300832,454272.46720919444,8366.316447324267
15,454273.22815012385,426799.58732386376,27473.640826260067,454273.22815012385,8366.316447324267
16,454273.98909105326,29331.995946585666,424941.9931444676,454273.98909105326,8366.316447324267
17,454274.7500319827,321389.9622035978,132884.7878283849,454274.7500319827,8366.316447324267
18,454275.5109729121,347648.59542962525,106626.91554328686,454275.5109729121,8366.316447324267
19,454276.2719138414,278559.6040659692,175716.66784787225,454276.2719138414,8366.316447324267
20,454277.03285477095,170632.66724777588,283644.36560699507,454277.03285477095,8366.316447324267
21,454277.79379570024,89760.58394013229,364517.20985556795,454277.79379570024,8366.316447324267
22,454278.55473662965,241461.45975166734,212817.0949849623,454278.55473662965,8366.316447324267
23,454279.3156775591,285282.2294846393,168997.0861929198,454279.3156775591,8366.316447324267
24,454280.0766184884,237383.2007552078,216896.8758632806,454280.0766184884,8366.316447324267
25,454280.83755941794,243314.09601291837,210966.74154649957,454280.83755941794,8366.316447324267
26,454281.5985003473,190355.8782581514,263925.7202421959,454281.5985003473,8366.316447324267
27,454282.35944127664,195875.74820882894,258406.6112324477,454282.35944127664,8366.316447324267
28,454283.1203822061,175727.50956270524,278555.6108195009,454283.1203822061,8366.316447324267
29,454283.88132313546,148560.31393618695,305723.5673869485,454283.88132313546,8366.316447324267
30,454284.6422640649,212115.8915514157,242168.75071264923,454284.6422640649,8366.316447324267
31,454285.40320499433,223533.75539341097,230751.64781158336,454285.40320499433,8366.316447324267
32,454286.1641459237,29344.171001456096,424941.9931444676,454286.1641459237,8366.316447324267
33,454286.92508685315,239049.95048217784,215236.9746046753,454286.92508685315,8366.316447324267
34,454287.6860277825,328071.8081923018,126215.87783548073,454287.6860277825,8366.316447324267
35,454288.44696871185,348875.6651466871,105412.78182202471,454288.44696871185,8366.316447324267
36,454289.2079096413,364317.3334035439,89971.87450609737,454289.2079096413,8366.316447324267
37,454289.9688505707,312784.95919263794,141505.00965793274,454289.9688505707,8366.316447324267
38,454290.7297915002,340935.3464569105,113355.3833345897,454290.7297915002,8366.316447324267
39,454291.49073242955,380404.9657410289,73886.52499140063,454291.49073242955,8366.316447324267
40,454292.2516733589,353037.1112649319,101255.140408427,454292.2516733589,8366.316447324267
41,454293.01261428825,309411.4663500951,144881.54626419314,454293.01261428825,8366.316447324267
42,454293.77355521766,293603.59798689396,160690.17556832367,454293.77355521766,8366.316447324267
43,454294.53449614707,261103.6645604853,193190.86993566176,454294.53449614707,8366.316447324267
44,454295.2954370766,294930.1795006644,159365.11593641218,454295.2954370766,8366.316447324267
45,454296.056378006,282191.28550822986,172104.7708697761,454296.056378006,8366.316447324267
46,454296.81731893535,190086.85536122718,264209.9619577082,454296.81731893535,8366.316447324267
47,454297.5782598647,359511.28987402946,94786.28838583521,454297.5782598647,8366.316447324267
48,454298.3392007941,310240.2573347809,144058.08186601324,454298.3392007941,8366.316447324267
49,454299.10014172364,293631.9440994292,160667.15604229443,454299.10014172364,8366.316447324267
50,454299.86108265293,320760.79642279807,133539.06465985483,454299.86108265293,8366.316447324267
51,454300.62202358234,380676.9860348064,73623.63598877593,454300.62202358234,8366.316447324267
52,454301.38296451175,210171.8568354463,244129.52612906546,454301.38296451175,8366.316447324267
53,454302.1439054411,334607.360589942,119694.78331549908,454302.1439054411,8366.316447324267
54,454302.90484637057,363644.1749788233,90658.72986754726,454302.90484637057,8366.316447324267
55,454303.6657872999,194956.13077858742,259347.5350087125,454303.6657872999,8366.316447324267
56,454304.4267282293,302207.9789454357,152096.44778279358,454304.4267282293,8366.316447324267
57,454305.1876691588,347104.55141482374,107200.63625433504,454305.1876691588,8366.316447324267
58,454305.9486100882,343678.15371718607,110627.79489290214,454305.9486100882,8366.316447324267
59,454306.70955101756,342222.30740606744,112084.4021449501,454306.70955101756,8366.316447324267
60,454307.47049194697,351912.4780752792,102394.99241666775,454307.47049194697,8366.316447324267
61,454308.2314328763,346019.19974452193,108289.03168835439,454308.2314328763,8366.316447324267
62,454308.9923738058,258150.66086414896,196158.33150965683,454308.9923738058,8366.316447324267
63,454309.753314735,266577.9440158793,187731.80929885575,454309.753314735,8366.316447324267
64,454310.5142556646,196378.5554388071,257931.9588168575,454310.5142556646,8366.316447324267
65,454311.27519659395,153835.96514081478,300475.3100557792,454311.27519659395,8366.316447324267
66,454312.0361375233,64558.04901941988,389753.9871181034,454312.0361375233,8366.316447324267
67,454312.7970784528,29370.803933985182,424941.9931444676,454312.7970784528,8366.316447324267
68,454313.55801938206,29371.564874914475,424941.9931444676,454313.55801938206,8366.316447324267
69,454314.3189603115,29372.325815843884,424941.9931444676,454314.3189603115,8366.316447324267
70,454315.079901241,29373.08675677341,424941.9931444676,454315.079901241,8366.316447324267
71,454315.84084217035,29373.84769770276,424941.9931444676,454315.84084217035,8366.316447324267
