,Energy to electrolyzer (kWh),Energy from grid (kWh),Energy from renewables (kWh),Total energy (kWh),Hydrogen Hourly production (kg)
0,0.0,0.0,0.0,0.0,13520.534448167857
1,0.0,0.0,0.0,0.0,13509.402148103492
2,0.0,0.0,0.0,0.0,13546.520378428535
3,0.0,0.0,0.0,0.0,13524.065431003872
4,0.0,0.0,0.0,0.0,13422.595742923608
5,0.0,0.0,0.0,0.0,13117.244793109621
6,0.0,0.0,0.0,0.0,13252.223203102974
7,70936.12484593038,0.0,70936.12484593038,70936.12484593038,13585.434743914218
8,369636.2482123753,0.0,369636.2482123753,369636.2482123753,15840.497017240794
9,711235.6691063307,0.0,711235.6691063307,711235.6691063307,17061.25830250756
10,352420.36010595114,0.0,352420.36010595114,352420.36010595114,11021.31347219622
11,1040834.55119349,0.0,1040834.55119349,1040834.55119349,13458.389849582196
12,735376.272085111,0.0,735376.272085111,735376.272085111,9255.223023736744
13,222215.26145587285,0.0,222215.26145587285,222215.26145587285,8860.056705674348
14,165940.7596029364,0.0,165940.7596029364,165940.7596029364,9087.990188779298
15,107351.15625688364,0.0,107351.15625688364,107351.15625688364,2309.721951962483
16,2657.430026642935,0.0,2657.430026642935,2657.430026642935,12144.005291440559
17,0.0,0.0,0.0,0.0,6127.424362961005
18,0.0,0.0,0.0,0.0,5001.2595997195285
19,0.0,0.0,0.0,0.0,7898.06413462245
20,0.0,0.0,0.0,0.0,11497.158892200088
21,0.0,0.0,0.0,0.0,12839.70832364513
22,0.0,0.0,0.0,0.0,9297.236318797286
23,0.0,0.0,0.0,0.0,7628.017608443826
24,0.0,0.0,0.0,0.0,9441.794647404135
25,0.0,0.0,0.0,0.0,9229.581523612118
26,0.0,0.0,0.0,0.0,10959.485770978006
27,0.0,0.0,0.0,0.0,10800.929011411466
28,0.0,0.0,0.0,0.0,11358.547195395005
29,0.0,0.0,0.0,0.0,11996.900806520009
30,0.0,0.0,0.0,0.0,10292.372364511642
31,5758.302370154772,0.0,5758.302370154772,5758.302370154772,9960.65840289649
32,17982.053521941994,0.0,17982.053521941994,17982.053521941994,13325.794962415966
33,212770.22807396462,0.0,212770.22807396462,212770.22807396462,11001.80969092236
34,281233.46094125183,0.0,281233.46094125183,281233.46094125183,8058.6209928709695
35,522442.97185659,0.0,522442.97185659,522442.97185659,9066.583858948381
36,705886.441728445,0.0,705886.441728445,705886.441728445,9853.668462891437
37,338647.27907965775,0.0,338647.27907965775,338647.27907965775,9135.299617012308
38,181258.59207045563,0.0,181258.59207045563,181258.59207045563,6736.403556899703
39,259422.4091137574,0.0,259422.4091137574,259422.4091137574,5731.542688825178
40,205209.538750885,0.0,205209.538750885,205209.538750885,6418.520037736071
41,0.0,0.0,0.0,0.0,6635.298846307862
42,0.0,0.0,0.0,0.0,7291.202010103999
43,0.0,0.0,0.0,0.0,8575.571761714125
44,0.0,0.0,0.0,0.0,7237.363447625567
45,0.0,0.0,0.0,0.0,7753.299128504789
46,0.0,0.0,0.0,0.0,10966.892440299725
47,0.0,0.0,0.0,0.0,4494.2378552962355
48,0.0,0.0,0.0,0.0,6600.699958979653
49,0.0,0.0,0.0,0.0,7290.18171366882
50,0.0,0.0,0.0,0.0,6155.02124641084
51,0.0,0.0,0.0,0.0,3562.5390899951185
52,0.0,0.0,0.0,0.0,9969.942320648335
53,0.0,0.0,0.0,0.0,5562.081775759918
54,0.0,0.0,0.0,0.0,4311.998419719939
55,220312.1646101042,0.0,220312.1646101042,220312.1646101042,12403.166514881665
56,332993.34300697513,0.0,332993.34300697513,332993.34300697513,9521.68937851826
57,1034915.1884700058,0.0,1034915.1884700058,1034915.1884700058,13000.420878978213
58,828962.2777351418,0.0,828962.2777351418,828962.2777351418,11601.882799888319
59,523212.0343535482,0.0,523212.0343535482,523212.0343535482,9343.445027902178
60,758488.0938266603,0.0,758488.0938266603,758488.0938266603,10743.906896355666
61,1131156.3799600615,0.0,1131156.3799600615,1131156.3799600615,13752.307641547763
62,1020838.0301788903,0.0,1020838.0301788903,1020838.0301788903,16278.877405340518
63,1558820.3388357558,0.0,1558820.3388357558,1558820.3388357558,19797.03281772795
64,642565.6051784275,0.0,642565.6051784275,642565.6051784275,15533.224502168025
65,0.0,0.0,0.0,0.0,11879.35128123067
66,0.0,0.0,0.0,0.0,13004.079307792994
67,0.0,0.0,0.0,0.0,13551.605771652174
68,0.0,0.0,0.0,0.0,13555.918638267336
69,0.0,0.0,0.0,0.0,13554.290883709737
70,0.0,0.0,0.0,0.0,13556.433804564967
71,0.0,0.0,0.0,0.0,13552.217309011412
72,0.0,0.0,0.0,0.0,13551.852441086843
73,0.0,0.0,0.0,0.0,13553.328723171986
74,0.0,0.0,0.0,0.0,13552.512198086763
75,0.0,0.0,0.0,0.0,13562.649859238707
76,0.0,0.0,0.0,0.0,13563.699395700618
77,0.0,0.0,0.0,0.0,13559.998585131632
78,0.0,0.0,0.0,0.0,13563.07433171289
79,498021.7601752421,0.0,498021.7601752421,498021.7601752421,17168.054425013805
80,1475433.0737924338,0.0,1475433.0737924338,1475433.0737924338,22724.812493909678
81,1625362.1891229488,0.0,1625362.1891229488,1625362.1891229488,16689.446142335906
