,0
Useful Life,30
Wind Cost ($/kW),1431.1000000000001
Solar Cost ($/kW),889.5522388059701
Electrolyzer Installed Cost ($/kW),1308.104
Wind capacity (MW),522.9000000000001
Solar capacity (MW),500
Battery storage capacity (MW),0
Battery storage duration (hr),0
Electrolyzer capacity (MW),480
Total Electricity Production (kWh),4008526548.367731
Debt Equity,60
ATB Year,2025
Grid Total Emission Intensity first year (kg-CO2/kg-H2),1.7766941801987566
Off-grid Total Emission Intensity first year (kg-CO2/kg-H2),0.0
H2 PTC first year ($/kg),0
Ren PTC first year ($/kg),0
Wind PTC,0
Discount Rate,0.07
NPV Wind Expenses,-1103286108.9771638
NPV Solar Expenses,-526913469.1485218
NPV HVDC Expenses,0.0
LCOE ($/MWh),47.71727471275253
Grid Price ($/MWh),76.71106165141552
Electricity CF (-),1.0
Wind plant CF (-),0.3619486836935061
Wind annual energy (MWh),1664601.9963064345
Solar plant CF (-),0.18306922520819874
Solar annual energy (MWh),801843.2064119105
LCOH ($/kg),5.291691612124764
Electrolyzer CF (-),0.9518453064626515
Fraction of electricity from renewables (-),"[0.59055826 0.58207905 0.57383987 0.56583069 0.558042   0.55046482
 0.54309066 0.53591145 0.5339904  0.58207905 0.57383987 0.56583069
 0.558042   0.55046482 0.54309066 0.53591145 0.5339904  0.58207905
 0.57383987 0.56583069 0.558042   0.55046482 0.54309066 0.53591145
 0.5339904  0.58207905 0.57383987 0.56583069 0.558042   0.55046482]"
Average stack life (hrs),78052
Number of stack clusters (-),12
Hydrogen storage duration (hr),0.0
Hydrogen storage capacity (kg),0.0
Hydrogen storage CAPEX ($/kg),0
Hydrogen annual production (kg),73288932.07856058
Hydrogen production total CAPEX ($),2337727924.140938
Hydrogen transmission total CAPEX ($),26859297.258696124
Steel Plant Total CAPEX ($),458597254.6437372
Ammonia Plant Total CAPEX ($),75971822.94143984
LCOH: Compression & storage ($/kg),0.0
LCOH: Electrolyzer CAPEX ($/kg),0.8424211326910629
LCOH: Desalination CAPEX ($/kg),0.0007661512731516904
LCOH: Electrolyzer FOM ($/kg),0.08383257643069576
LCOH:Desalination FOM ($/kg),0.0016627110733025703
LCOH: Electrolyzer VOM ($/kg),0.07527468904833468
LCOH: Wind Plant CAPEX ($/kg),1.1697826123735593
LCOH: Wind Plant FOM ($/kg),0.19726224397024872
LCOH: Solar Plant CAPEX ($/kg),0.4115467732826294
LCOH: Solar Plant FOM ($/kg),0.09978904902013597
LCOH: Battery Storage CAPEX ($/kg),0.0
LCOH: Battery Storage FOM ($/kg),0.0
LCOH: Taxes and Finances ($/kg),0.08946343204628243
LCOH: Water consumption ($/kg),0.007678100263852243
LCOH: Grid electricity ($/kg),2.1844318583027267
LCOH: Bulk H2 Transmission ($/kg),0.12778028234878197
Steel annual production (tonne/year),999999.9999999999
Steel annual capacity margin (%),11.111176589691606
Ammonia annual production (kg/year),334339658.8730839
Ammonia annual capacity margin (%),11.111176589691588
Steel Price with Integration ($/tonne),1039.9883460194721
Steel price: EAF and Casting CAPEX ($/tonne),6.1918436335910485
Steel price: Shaft Furnace CAPEX ($/tonne),3.492643247616326
Steel price: Oxygen Supply CAPEX ($/tonne),0.42313767303929395
Steel price: H2 Pre-heating CAPEX ($/tonne),0.2406899898611148
Steel price: Cooling Tower CAPEX ($/tonne),0.5210248684196755
Steel price: Piping CAPEX ($/tonne),1.538377202779051
Steel price: Electrical & Instrumentation ($/tonne),1.0255848027206835
"Steel price: Buildings, Storage, Water Service CAPEX ($/tonne)",2.3190617110567566
Steel price: Miscellaneous CAPEX ($/tonne),1.0255852115405844
Steel price: Annual Operating Labor Cost ($/tonne),75.28724491421873
Steel price: Maintenance Labor Cost ($/tonne),4.34381082538769
Steel price: Administrative & Support Labor Cost ($/tonne),19.90776393490161
Steel price: Installation Cost ($/tonne),6.85763791271689
Steel price: Maintenance Materials ($/tonne),7.719999999999999
Steel price: Raw Water Withdrawal ($/tonne),0.4764879063
Steel price: Lime ($/tonne),2.0961215999999996
Steel price: Carbon ($/tonne),11.228597999999998
Steel price: Iron Ore ($/tonne),366.1621398
Steel price: Hydrogen ($/tonne),349.0399787357494
Steel price: Natural gas ($/tonne),4.246599504718861
Steel price: Electricity ($/tonne),47.173122050293074
Steel price: Slag Disposal ($/tonne),6.560037899999999
Steel price: Taxes ($/tonne),30.2278844060989
Steel price: Equipment Financing ($/tonne),95.38100613992698
Steel price: Remaining Financial ($/tonne),10.06676900437472
Steel price: Oxygen sales ($/tonne),0.0
Steel price: Total ($/tonne),1053.5531509753114
(-) Steel price: BOS savings ($/tonne),5.972329180470482
Ammonia price: Air Separation by Cryogenic ($/kg),0.0021658289433065634
Ammonia price: Haber Bosch ($/kg),0.0017940520936224223
Ammonia price: Boiler and Steam Turbine ($/kg),0.0006802805187539567
Ammonia price: Cooling Tower ($/kg),0.0004618412903486992
Ammonia price: Depreciable Nonequipment ($/kg),0.002472312766371664
Ammonia price: Labor Cost ($/kg),0.016786890891857285
Ammonia price: Maintenance Cost ($/kg),0.0006711689831577444
Ammonia price: Administrative Expense ($/kg),0.0033573781783714568
Ammonia price: Hydrogen ($/kg),1.0439682205581413
Ammonia price: Electricity ($/kg),0.010291522054919079
Ammonia price: Cooling water ($/kg),0.00014327915783999995
Ammonia price: Iron based catalyst ($/kg),0.0021180315277480326
Ammonia price: Oxygen byproduct ($/kg),-0.0
Ammonia price: Taxes ($/kg),0.008796776016899514
Ammonia price: Equipment Financing ($/kg),0.0299398230033259
Ammonia price: Remaining Financial ($/kg),0.004544589367441985
Ammonia price: Total ($/kg),1.1292559198468175
