,0
Useful Life,30
Wind Cost ($/kW),1725.9
Solar Cost ($/kW),9999
Electrolyzer Installed Cost ($/kW),979.117996055015
Wind capacity (MW),642
Solar capacity (MW),0.0
Battery storage capacity (MW),0
Battery storage duration (hr),0
Electrolyzer capacity (MW),480
Total Electricity Production (kWh),4008526548.367731
Debt Equity,60
ATB Year,2025
Grid Total Emission Intensity first year (kg-CO2/kg-H2),12.116135678792803
Off-grid Total Emission Intensity first year (kg-CO2/kg-H2),0.0
H2 PTC first year ($/kg),0
Ren PTC first year ($/kg),0
Wind PTC,0
Discount Rate,0.07
NPV Wind Expenses,-59322246.363165155
NPV Solar Expenses,0.0
NPV HVDC Expenses,0.0
LCOE ($/MWh),51.57657896787407
Grid Price ($/MWh),80.06082661
Electricity CF (-),1.0
Wind plant CF (-),0.3946867411937529
Wind annual energy (MWh),2219686.657534371
Solar plant CF (-),0.0
Solar annual energy (MWh),0
LCOH ($/kg),7.2277713615448524
Electrolyzer CF (-),0.9518453064626515
Fraction of electricity from renewables (-),"[0.28387554 0.27979966 0.27583917 0.27198923 0.26824529 0.26460301
 0.26105833 0.25760735 0.25668392 0.27979966 0.27583917 0.27198923
 0.26824529 0.26460301 0.26105833 0.25760735 0.25668392 0.27979966
 0.27583917 0.27198923 0.26824529 0.26460301 0.26105833 0.25760735
 0.25668392 0.27979966 0.27583917 0.27198923 0.26824529 0.26460301]"
Average stack life (hrs),78052
Number of stack clusters (-),12
Hydrogen storage duration (hr),0.0
Hydrogen storage capacity (kg),0.0
Hydrogen storage CAPEX ($/kg),0
Hydrogen annual production (kg),73288932.07856058
Hydrogen production total CAPEX ($),2512845646.516397
Hydrogen transmission total CAPEX ($),46843841.12207222
Steel Plant Total CAPEX ($),398350164.32779527
Ammonia Plant Total CAPEX ($),102761896.56000203
LCOH: Compression & storage ($/kg),0.0
LCOH: Electrolyzer CAPEX ($/kg),0.6202128838245038
LCOH: Desalination CAPEX ($/kg),0.0007535868286916596
LCOH: Electrolyzer FOM ($/kg),0.08383257643069576
LCOH:Desalination FOM ($/kg),0.0016627110733025703
LCOH: Electrolyzer VOM ($/kg),0.07527468904833468
LCOH: Wind Plant CAPEX ($/kg),1.8584931637106337
LCOH: Wind Plant FOM ($/kg),0.2932797543967455
LCOH: Solar Plant CAPEX ($/kg),0.0
LCOH: Solar Plant FOM ($/kg),0.0
LCOH: Battery Storage CAPEX ($/kg),0.0
LCOH: Battery Storage FOM ($/kg),0.0
LCOH: Taxes and Finances ($/kg),0.06000886226147134
LCOH: Water consumption ($/kg),0.012824095259422248
LCOH: Grid electricity ($/kg),4.022955723456064
LCOH: Bulk H2 Transmission ($/kg),0.19847331525498707
Steel annual production (tonne/year),999999.9999999999
Steel annual capacity margin (%),11.111176589691606
Ammonia annual production (kg/year),334339658.8730839
Ammonia annual capacity margin (%),11.111176589691588
Steel Price with Integration ($/tonne),1213.2975831289746
Steel price: EAF and Casting CAPEX ($/tonne),5.378405352315362
Steel price: Shaft Furnace CAPEX ($/tonne),3.0338058013608475
Steel price: Oxygen Supply CAPEX ($/tonne),0.3675489983458965
Steel price: H2 Pre-heating CAPEX ($/tonne),0.20906993236955657
Steel price: Cooling Tower CAPEX ($/tonne),0.45257650335277694
Steel price: Piping CAPEX ($/tonne),1.3362766682963125
Steel price: Electrical & Instrumentation ($/tonne),0.8908511129514954
"Steel price: Buildings, Storage, Water Service CAPEX ($/tonne)",2.0144006627414566
Steel price: Miscellaneous CAPEX ($/tonne),0.8908514680636841
Steel price: Annual Operating Labor Cost ($/tonne),81.31578076159346
Steel price: Maintenance Labor Cost ($/tonne),4.075284052281331
Steel price: Administrative & Support Labor Cost ($/tonne),23.057162980646822
Steel price: Installation Cost ($/tonne),6.857286024682497
Steel price: Maintenance Materials ($/tonne),8.338169741697413
Steel price: Raw Water Withdrawal ($/tonne),0.5146421039631365
Steel price: Lime ($/tonne),2.3359829269372687
Steel price: Carbon ($/tonne),12.834206391143908
Steel price: Iron Ore ($/tonne),403.4321419549815
Steel price: Hydrogen ($/tonne),476.7437990074984
Steel price: Natural gas ($/tonne),2.7492106587999587
Steel price: Electricity ($/tonne),52.63868216933506
Steel price: Slag Disposal ($/tonne),7.085325067638375
Steel price: Taxes ($/tonne),29.492013376155924
Steel price: Equipment Financing ($/tonne),91.85827023508399
Steel price: Remaining Financial ($/tonne),8.744271899878433
Steel price: Oxygen sales ($/tonne),0.0
Steel price: Total ($/tonne),1226.646015852115
(-) Steel price: BOS savings ($/tonne),6.917148894194047
Ammonia price: Air Separation by Cryogenic ($/kg),0.002964301270946252
Ammonia price: Haber Bosch ($/kg),0.0024554621073396453
Ammonia price: Boiler and Steam Turbine ($/kg),0.0009310783349601288
Ammonia price: Cooling Tower ($/kg),0.0006321075023893634
Ammonia price: Depreciable Nonequipment ($/kg),0.0032623102416052376
Ammonia price: Labor Cost ($/kg),0.018131081048142532
Ammonia price: Maintenance Cost ($/kg),0.0009186076656436084
Ammonia price: Administrative Expense ($/kg),0.003626216209628507
Ammonia price: Hydrogen ($/kg),1.4259265580828733
Ammonia price: Electricity ($/kg),0.011452067294643431
Ammonia price: Cooling water ($/kg),0.00023930731635276743
Ammonia price: Iron based catalyst ($/kg),0.0021180315277480326
Ammonia price: Oxygen byproduct ($/kg),-0.0
Ammonia price: Taxes ($/kg),0.011551100389229345
Ammonia price: Equipment Financing ($/kg),0.039540267000538615
Ammonia price: Remaining Financial ($/kg),0.006147155674344378
Ammonia price: Total ($/kg),1.531075010600328
