,0
Useful Life,30
Wind Cost ($/kW),1468.5000000000002
Solar Cost ($/kW),9999
Electrolyzer Installed Cost ($/kW),939.2450515129152
Wind capacity (MW),642
Solar capacity (MW),0.0
Battery storage capacity (MW),0
Battery storage duration (hr),0
Electrolyzer capacity (MW),480
Total Electricity Production (kWh),4008526548.367731
Debt Equity,60
ATB Year,2035
Grid Total Emission Intensity first year (kg-CO2/kg-H2),2.6543274597033415
Off-grid Total Emission Intensity first year (kg-CO2/kg-H2),0.0
H2 PTC first year ($/kg),0
Ren PTC first year ($/kg),0
Wind PTC,0
Discount Rate,0.07
NPV Wind Expenses,-53124926.03933885
NPV Solar Expenses,0.0
NPV HVDC Expenses,0.0
LCOE ($/MWh),45.861523145874386
Grid Price ($/MWh),144.4679191
Electricity CF (-),1.0
Wind plant CF (-),0.3946867411937529
Wind annual energy (MWh),2219686.657534371
Solar plant CF (-),0.0
Solar annual energy (MWh),0
LCOH ($/kg),8.663926817503471
Electrolyzer CF (-),0.9518453064626515
Fraction of electricity from renewables (-),"[0.28387554 0.27979966 0.27583917 0.27198923 0.26824529 0.26460301
 0.26105833 0.25760735 0.25668392 0.27979966 0.27583917 0.27198923
 0.26824529 0.26460301 0.26105833 0.25760735 0.25668392 0.27979966
 0.27583917 0.27198923 0.26824529 0.26460301 0.26105833 0.25760735
 0.25668392 0.27979966 0.27583917 0.27198923 0.26824529 0.26460301]"
Average stack life (hrs),78052
Number of stack clusters (-),12
Hydrogen storage duration (hr),0.0
Hydrogen storage capacity (kg),0.0
Hydrogen storage CAPEX ($/kg),0
Hydrogen annual production (kg),73288932.07856058
Hydrogen production total CAPEX ($),2328455833.1361895
Hydrogen transmission total CAPEX ($),39262977.23860425
Steel Plant Total CAPEX ($),398350164.32779527
Ammonia Plant Total CAPEX ($),102761896.56000203
LCOH: Compression & storage ($/kg),0.0
LCOH: Electrolyzer CAPEX ($/kg),0.5959633905661883
LCOH: Desalination CAPEX ($/kg),0.00075486313268607
LCOH: Electrolyzer FOM ($/kg),0.08383257643069576
LCOH:Desalination FOM ($/kg),0.0016627110733025703
LCOH: Electrolyzer VOM ($/kg),0.07527468904833468
LCOH: Wind Plant CAPEX ($/kg),1.71098874675639
LCOH: Wind Plant FOM ($/kg),0.26489784268093136
LCOH: Solar Plant CAPEX ($/kg),0.0
LCOH: Solar Plant FOM ($/kg),0.0
LCOH: Battery Storage CAPEX ($/kg),0.0
LCOH: Battery Storage FOM ($/kg),0.0
LCOH: Taxes and Finances ($/kg),0.058612554556985594
LCOH: Water consumption ($/kg),0.012824095259422248
LCOH: Grid electricity ($/kg),5.6643567209425125
LCOH: Bulk H2 Transmission ($/kg),0.19475862705602207
Steel annual production (tonne/year),999999.9999999999
Steel annual capacity margin (%),11.111176589691606
Ammonia annual production (kg/year),334339658.8730839
Ammonia annual capacity margin (%),11.111176589691588
Steel Price with Integration ($/tonne),1330.6801166502264
Steel price: EAF and Casting CAPEX ($/tonne),5.378405352315362
Steel price: Shaft Furnace CAPEX ($/tonne),3.0338058013608475
Steel price: Oxygen Supply CAPEX ($/tonne),0.3675489983458965
Steel price: H2 Pre-heating CAPEX ($/tonne),0.20906993236955657
Steel price: Cooling Tower CAPEX ($/tonne),0.45257650335277694
Steel price: Piping CAPEX ($/tonne),1.3362766682963125
Steel price: Electrical & Instrumentation ($/tonne),0.8908511129514954
"Steel price: Buildings, Storage, Water Service CAPEX ($/tonne)",2.0144006627414566
Steel price: Miscellaneous CAPEX ($/tonne),0.8908514680636841
Steel price: Annual Operating Labor Cost ($/tonne),81.31578076159346
Steel price: Maintenance Labor Cost ($/tonne),4.075284052281331
Steel price: Administrative & Support Labor Cost ($/tonne),23.057162980646822
Steel price: Installation Cost ($/tonne),6.857286024682497
Steel price: Maintenance Materials ($/tonne),8.338169741697413
Steel price: Raw Water Withdrawal ($/tonne),0.5146421039631365
Steel price: Lime ($/tonne),2.3359829269372687
Steel price: Carbon ($/tonne),12.834206391143908
Steel price: Iron Ore ($/tonne),403.4321419549815
Steel price: Hydrogen ($/tonne),571.4726128825289
Steel price: Natural gas ($/tonne),4.782227034559193
Steel price: Electricity ($/tonne),73.34171096015022
Steel price: Slag Disposal ($/tonne),7.085325067638375
Steel price: Taxes ($/tonne),29.470822787217145
Steel price: Equipment Financing ($/tonne),91.79713530367005
Steel price: Remaining Financial ($/tonne),8.74427189987843
Steel price: Oxygen sales ($/tonne),0.0
Steel price: Total ($/tonne),1344.0285493733672
(-) Steel price: BOS savings ($/tonne),6.917148894194047
Ammonia price: Air Separation by Cryogenic ($/kg),0.002964301270946252
Ammonia price: Haber Bosch ($/kg),0.0024554621073396453
Ammonia price: Boiler and Steam Turbine ($/kg),0.0009310783349601288
Ammonia price: Cooling Tower ($/kg),0.0006321075023893634
Ammonia price: Depreciable Nonequipment ($/kg),0.0032623102416052376
Ammonia price: Labor Cost ($/kg),0.018131081048142532
Ammonia price: Maintenance Cost ($/kg),0.0009186076656436084
Ammonia price: Administrative Expense ($/kg),0.003626216209628507
Ammonia price: Hydrogen ($/kg),1.709257629826862
Ammonia price: Electricity ($/kg),0.01614203857150333
Ammonia price: Cooling water ($/kg),0.00023930731635276743
Ammonia price: Iron based catalyst ($/kg),0.0021180315277480326
Ammonia price: Oxygen byproduct ($/kg),-0.0
Ammonia price: Taxes ($/kg),0.01238653435528113
Ammonia price: Equipment Financing ($/kg),0.041950497238262205
Ammonia price: Remaining Financial ($/kg),0.006147155674344378
Ammonia price: Total ($/kg),1.8223417178249521
