,0
Useful Life,30.0
Wind Cost ($/kW),1265.0
Solar Cost ($/kW),813.3582089552239
Electrolyzer Installed Cost ($/kW),280.54656
Wind capacity (MW),1350.0
Solar capacity (MW),250.0
Battery storage capacity (MW),0.0
Battery storage duration (hr),0.0
Electrolyzer capacity (MW),1160.0
Total Electricity Production (kWh),4527967271.826433
Debt Equity,60.0
ATB Year,2030.0
Grid Total Emission Intensity first year (kg-CO2/kg-H2),0.0
Off-grid Total Emission Intensity first year (kg-CO2/kg-H2),0.0
H2 PTC first year ($/kg),0.0
Ren PTC first year ($/kg),0.0
Wind PTC,0.0
Discount Rate,0.07
NPV Wind Expenses,-2193128906.5464306
NPV Solar Expenses,-240630481.67710775
NPV HVDC Expenses,0.0
LCOE ($/MWh),44.58367829452132
Grid Price ($/MWh),0.0
Electricity CF (-),0.44559589747938666
Wind plant CF (-),0.353234748866509
Wind annual energy (MWh),4180448.476495405
Solar plant CF (-),0.16607010931102414
Solar annual energy (MWh),363693.5393911429
LCOH ($/kg),3.3098456798042113
Electrolyzer CF (-),0.43162395783605445
Fraction of electricity from renewables (-),1.0
Average stack life (hrs),39567.0
Number of stack clusters (-),29.0
Hydrogen storage duration (hr),174.53927825054626
Hydrogen storage capacity (kg),4657691.692884607
Hydrogen storage CAPEX ($/kg),43.2240020127474
Hydrogen annual production (kg),80747476.21525694
Hydrogen production total CAPEX ($),2485088666.670895
Hydrogen transmission total CAPEX ($),23418824.898144357
Steel Plant Total CAPEX ($),458597254.6437372
Ammonia Plant Total CAPEX ($),75971822.94143984
LCOH: Compression & storage ($/kg),0.20442173512403244
LCOH: Electrolyzer CAPEX ($/kg),0.5531132587235565
LCOH: Desalination CAPEX ($/kg),0.0016590169028221666
LCOH: Electrolyzer FOM ($/kg),0.18487151410511773
LCOH:Desalination FOM ($/kg),0.003666688138767971
LCOH: Electrolyzer VOM ($/kg),0.07331924918168202
LCOH: Wind Plant CAPEX ($/kg),1.415864083221173
LCOH: Wind Plant FOM ($/kg),0.49014358999609814
LCOH: Solar Plant CAPEX ($/kg),0.16858507902983508
LCOH: Solar Plant FOM ($/kg),0.04181284848017269
LCOH: Battery Storage CAPEX ($/kg),0.0
LCOH: Battery Storage FOM ($/kg),0.0
LCOH: Taxes and Finances ($/kg),0.0729434491166655
LCOH: Water consumption ($/kg),0.007678100263852242
LCOH: Grid electricity ($/kg),0.0
LCOH: Bulk H2 Transmission ($/kg),0.09176706752043678
Steel annual production (tonne/year),999999.9999999999
Steel annual capacity margin (%),22.418854177163347
Ammonia annual production (kg/year),334339658.8730839
Ammonia annual capacity margin (%),22.41885417716334
Steel Price with Integration ($/tonne),861.7481088222496
Steel price: EAF and Casting CAPEX ($/tonne),6.1918436335910485
Steel price: Shaft Furnace CAPEX ($/tonne),3.492643247616326
Steel price: Oxygen Supply CAPEX ($/tonne),0.42313767303929395
Steel price: H2 Pre-heating CAPEX ($/tonne),0.2406899898611148
Steel price: Cooling Tower CAPEX ($/tonne),0.5210248684196755
Steel price: Piping CAPEX ($/tonne),1.538377202779051
Steel price: Electrical & Instrumentation ($/tonne),1.0255848027206835
"Steel price: Buildings, Storage, Water Service CAPEX ($/tonne)",2.3190617110567566
Steel price: Miscellaneous CAPEX ($/tonne),1.0255852115405844
Steel price: Annual Operating Labor Cost ($/tonne),75.28724491421873
Steel price: Maintenance Labor Cost ($/tonne),4.34381082538769
Steel price: Administrative & Support Labor Cost ($/tonne),19.90776393490161
Steel price: Installation Cost ($/tonne),6.679246419900317
Steel price: Maintenance Materials ($/tonne),7.719999999999999
Steel price: Raw Water Withdrawal ($/tonne),0.4764879063
Steel price: Lime ($/tonne),2.212452
Steel price: Carbon ($/tonne),12.748985999999999
Steel price: Iron Ore ($/tonne),337.8291345
Steel price: Hydrogen ($/tonne),218.31742103988574
Steel price: Natural gas ($/tonne),2.716709262358007
Steel price: Electricity ($/tonne),30.375991868238216
Steel price: Slag Disposal ($/tonne),6.560037899999999
Steel price: Taxes ($/tonne),29.614995726104297
Steel price: Equipment Financing ($/tonne),93.67791413579552
Steel price: Remaining Financial ($/tonne),10.066769004374718
Steel price: Oxygen sales ($/tonne),0.0
Steel price: Total ($/tonne),875.3129137780894
(-) Steel price: BOS savings ($/tonne),5.972329180470482
Ammonia price: Air Separation by Cryogenic ($/kg),0.0021658289433065634
Ammonia price: Haber Bosch ($/kg),0.0017940520936224223
Ammonia price: Boiler and Steam Turbine ($/kg),0.0006802805187539567
Ammonia price: Cooling Tower ($/kg),0.0004618412903486992
Ammonia price: Depreciable Nonequipment ($/kg),0.002472312766371664
Ammonia price: Labor Cost ($/kg),0.016786890891857285
Ammonia price: Maintenance Cost ($/kg),0.0006711689831577444
Ammonia price: Administrative Expense ($/kg),0.0033573781783714568
Ammonia price: Hydrogen ($/kg),0.6529809289623028
Ammonia price: Electricity ($/kg),0.029528189602428333
Ammonia price: Cooling water ($/kg),0.00014327915783999995
Ammonia price: Iron based catalyst ($/kg),0.0021180315277480326
Ammonia price: Oxygen byproduct ($/kg),-0.008386648300601963
Ammonia price: Taxes ($/kg),0.008003812051095342
Ammonia price: Equipment Financing ($/kg),0.027652118881312773
Ammonia price: Remaining Financial ($/kg),0.0045445893674419865
Ammonia price: Total ($/kg),0.7628112760112729
