,0
Useful Life,30.0
Wind Cost ($/kW),1366.2
Solar Cost ($/kW),9999.0
Electrolyzer Installed Cost ($/kW),823.8221349459443
Wind capacity (MW),1296.0
Solar capacity (MW),0.0
Battery storage capacity (MW),0.0
Battery storage duration (hr),0.0
Electrolyzer capacity (MW),1160.0
Total Electricity Production (kWh),4202076528.3690257
Debt Equity,60.0
ATB Year,2030.0
Grid Total Emission Intensity first year (kg-CO2/kg-H2),0.0
Off-grid Total Emission Intensity first year (kg-CO2/kg-H2),0.0
H2 PTC first year ($/kg),0.0
Ren PTC first year ($/kg),0.0
Wind PTC,0.0
Discount Rate,0.07
NPV Wind Expenses,-2551753759.1892443
NPV Solar Expenses,0.0
NPV HVDC Expenses,0.0
LCOE ($/MWh),44.45991405781294
Grid Price ($/MWh),0.0
Electricity CF (-),0.3943439653294068
Wind plant CF (-),0.3532347488664957
Wind annual energy (MWh),4007165.6380913
Solar plant CF (-),0.0
Solar annual energy (MWh),0.0
LCOH ($/kg),7.181364355954277
Electrolyzer CF (-),0.38977053962487523
Fraction of electricity from renewables (-),1.0
Average stack life (hrs),30620.0
Number of stack clusters (-),1.0
Hydrogen storage duration (hr),221.5799382235391
Hydrogen storage capacity (kg),5779430.999977411
Hydrogen storage CAPEX ($/kg),43.2240020127474
Hydrogen annual production (kg),73553130.21315287
Hydrogen production total CAPEX ($),3102854838.5875006
Hydrogen transmission total CAPEX ($),21890556.58312298
Steel Plant Total CAPEX ($),458597254.6437372
Ammonia Plant Total CAPEX ($),75971822.94143984
LCOH: Compression & storage ($/kg),0.36531971994212165
LCOH: Electrolyzer CAPEX ($/kg),2.780587738379959
LCOH: Desalination CAPEX ($/kg),0.0024775979614773905
LCOH: Electrolyzer FOM ($/kg),0.20472294977961025
LCOH:Desalination FOM ($/kg),0.004060415772132781
LCOH: Electrolyzer VOM ($/kg),0.07383260645322473
LCOH: Wind Plant CAPEX ($/kg),2.2908092534508744
LCOH: Wind Plant FOM ($/kg),0.5210640285144917
LCOH: Solar Plant CAPEX ($/kg),0.0
LCOH: Solar Plant FOM ($/kg),0.0
LCOH: Battery Storage CAPEX ($/kg),0.0
LCOH: Battery Storage FOM ($/kg),0.0
LCOH: Taxes and Finances ($/kg),0.8097721114357989
LCOH: Water consumption ($/kg),0.007678100263852245
LCOH: Grid electricity ($/kg),0.0
LCOH: Bulk H2 Transmission ($/kg),0.12103983400073524
Steel annual production (tonne/year),999999.9999999999
Steel annual capacity margin (%),11.511719546926733
Ammonia annual production (kg/year),334339658.8730839
Ammonia annual capacity margin (%),11.51171954692671
Steel Price with Integration ($/tonne),1136.7756086262752
Steel price: EAF and Casting CAPEX ($/tonne),6.1918436335910485
Steel price: Shaft Furnace CAPEX ($/tonne),3.492643247616326
Steel price: Oxygen Supply CAPEX ($/tonne),0.42313767303929395
Steel price: H2 Pre-heating CAPEX ($/tonne),0.2406899898611148
Steel price: Cooling Tower CAPEX ($/tonne),0.5210248684196755
Steel price: Piping CAPEX ($/tonne),1.538377202779051
Steel price: Electrical & Instrumentation ($/tonne),1.0255848027206835
"Steel price: Buildings, Storage, Water Service CAPEX ($/tonne)",2.3190617110567566
Steel price: Miscellaneous CAPEX ($/tonne),1.0255852115405844
Steel price: Annual Operating Labor Cost ($/tonne),75.28724491421873
Steel price: Maintenance Labor Cost ($/tonne),4.34381082538769
Steel price: Administrative & Support Labor Cost ($/tonne),19.90776393490161
Steel price: Installation Cost ($/tonne),6.679246419900317
Steel price: Maintenance Materials ($/tonne),7.719999999999999
Steel price: Raw Water Withdrawal ($/tonne),0.4764879063
Steel price: Lime ($/tonne),2.212452
Steel price: Carbon ($/tonne),12.748985999999999
Steel price: Iron Ore ($/tonne),337.8291345
Steel price: Hydrogen ($/tonne),473.68279291874404
Steel price: Natural gas ($/tonne),2.716709262358007
Steel price: Electricity ($/tonne),56.6395494889444
Steel price: Slag Disposal ($/tonne),6.560037899999999
Steel price: Taxes ($/tonne),26.389603831481743
Steel price: Equipment Financing ($/tonne),90.22061282305451
Steel price: Remaining Financial ($/tonne),10.06676900437472
Steel price: Oxygen sales ($/tonne),0.0
Steel price: Total ($/tonne),1150.2591500702904
(-) Steel price: BOS savings ($/tonne),5.972329180470482
Ammonia price: Air Separation by Cryogenic ($/kg),0.0021658289433065634
Ammonia price: Haber Bosch ($/kg),0.0017940520936224223
Ammonia price: Boiler and Steam Turbine ($/kg),0.0006802805187539567
Ammonia price: Cooling Tower ($/kg),0.0004618412903486992
Ammonia price: Depreciable Nonequipment ($/kg),0.002472312766371664
Ammonia price: Labor Cost ($/kg),0.016786890891857285
Ammonia price: Maintenance Cost ($/kg),0.0006711689831577444
Ammonia price: Administrative Expense ($/kg),0.0033573781783714568
Ammonia price: Hydrogen ($/kg),1.4167711796899187
Ammonia price: Electricity ($/kg),0.055058724128091846
Ammonia price: Cooling water ($/kg),0.00014327915783999995
Ammonia price: Iron based catalyst ($/kg),0.0021180315277480326
Ammonia price: Oxygen byproduct ($/kg),-0.008386648300601963
Ammonia price: Taxes ($/kg),0.009111377643797061
Ammonia price: Equipment Financing ($/kg),0.03305252950023599
Ammonia price: Remaining Financial ($/kg),0.004544589367441984
Ammonia price: Total ($/kg),1.558640037476177
