,0
Useful Life,30.0
Wind Cost ($/kW),1749.0
Solar Cost ($/kW),760.75
Electrolyzer Installed Cost ($/kW),939.2450515129151
Wind capacity (MW),1014.0
Solar capacity (MW),700.0
Battery storage capacity (MW),0.0
Battery storage duration (hr),0.0
Electrolyzer capacity (MW),1320.0
Total Electricity Production (kWh),4537334199.22888
Debt Equity,60.0
ATB Year,2035.0
Grid Total Emission Intensity first year (kg-CO2/kg-H2),0.0
Off-grid Total Emission Intensity first year (kg-CO2/kg-H2),0.0
H2 PTC first year ($/kg),0.0
Ren PTC first year ($/kg),0.0
Wind PTC,0.0
Discount Rate,0.07
NPV Wind Expenses,-99891044.3861091
NPV Solar Expenses,-751025659.8079468
NPV HVDC Expenses,0.0
LCOE ($/MWh),48.383709635602294
Grid Price ($/MWh),0.0
Electricity CF (-),0.392394337141006
Wind plant CF (-),0.35248332549819117
Wind annual energy (MWh),3075402.9156386983
Solar plant CF (-),0.23896025896065012
Solar annual energy (MWh),1465304.3079467062
LCOH ($/kg),5.256766508655201
Electrolyzer CF (-),0.38662615870973754
Fraction of electricity from renewables (-),1.0
Average stack life (hrs),36185.0
Number of stack clusters (-),27.0
Hydrogen storage duration (hr),254.86788822573092
Hydrogen storage capacity (kg),7721083.288497505
Hydrogen storage CAPEX ($/kg),23.322106675612204
Hydrogen annual production (kg),83042260.55369377
Hydrogen production total CAPEX ($),3764970629.0641356
Hydrogen transmission total CAPEX ($),38230513.2369773
Steel Plant Total CAPEX ($),398350164.32779527
Ammonia Plant Total CAPEX ($),102761896.56000203
LCOH: Compression & storage ($/kg),0.17455216230710252
LCOH: Electrolyzer CAPEX ($/kg),2.0455692384858484
LCOH: Desalination CAPEX ($/kg),0.0018326391417718422
LCOH: Electrolyzer FOM ($/kg),0.20592166387707528
LCOH:Desalination FOM ($/kg),0.004084190720827417
LCOH: Electrolyzer VOM ($/kg),0.07191913953076867
LCOH: Wind Plant CAPEX ($/kg),1.4273656485824264
LCOH: Wind Plant FOM ($/kg),0.3737127196532761
LCOH: Solar Plant CAPEX ($/kg),0.42859537205896003
LCOH: Solar Plant FOM ($/kg),0.12796978401451764
LCOH: Battery Storage CAPEX ($/kg),0.0
LCOH: Battery Storage FOM ($/kg),0.0
LCOH: Taxes and Finances ($/kg),0.22800301884565483
LCOH: Water consumption ($/kg),0.011655677691341558
LCOH: Grid electricity ($/kg),0.0
LCOH: Bulk H2 Transmission ($/kg),0.15558525374562981
Steel annual production (tonne/year),999999.9999999999
Steel annual capacity margin (%),25.89790866236171
Ammonia annual production (kg/year),334339658.8730839
Ammonia annual capacity margin (%),25.897908662361672
Steel Price with Integration ($/tonne),1153.4057533254318
Steel price: EAF and Casting CAPEX ($/tonne),5.378405352315362
Steel price: Shaft Furnace CAPEX ($/tonne),3.0338058013608475
Steel price: Oxygen Supply CAPEX ($/tonne),0.3675489983458965
Steel price: H2 Pre-heating CAPEX ($/tonne),0.20906993236955657
Steel price: Cooling Tower CAPEX ($/tonne),0.45257650335277694
Steel price: Piping CAPEX ($/tonne),1.3362766682963125
Steel price: Electrical & Instrumentation ($/tonne),0.8908511129514954
"Steel price: Buildings, Storage, Water Service CAPEX ($/tonne)",2.0144006627414566
Steel price: Miscellaneous CAPEX ($/tonne),0.8908514680636841
Steel price: Annual Operating Labor Cost ($/tonne),81.31578076159346
Steel price: Maintenance Labor Cost ($/tonne),4.075284052281331
Steel price: Administrative & Support Labor Cost ($/tonne),23.057162980646822
Steel price: Installation Cost ($/tonne),7.304523979243139
Steel price: Maintenance Materials ($/tonne),8.338169741697413
Steel price: Raw Water Withdrawal ($/tonne),0.5146421039631365
Steel price: Lime ($/tonne),2.4880097269372694
Steel price: Carbon ($/tonne),12.273610391143912
Steel price: Iron Ore ($/tonne),470.76987105498154
Steel price: Hydrogen ($/tonne),346.73631891089707
Steel price: Natural gas ($/tonne),4.732145606464471
Steel price: Electricity ($/tonne),52.64757614486487
Steel price: Slag Disposal ($/tonne),7.085325067638375
Steel price: Taxes ($/tonne),29.72640659002856
Steel price: Equipment Financing ($/tonne),92.3713005365163
Steel price: Remaining Financial ($/tonne),8.744271899878433
Steel price: Oxygen sales ($/tonne),0.0
Steel price: Total ($/tonne),1166.7541860485735
(-) Steel price: BOS savings ($/tonne),6.917148894194047
Ammonia price: Air Separation by Cryogenic ($/kg),0.002964301270946252
Ammonia price: Haber Bosch ($/kg),0.0024554621073396453
Ammonia price: Boiler and Steam Turbine ($/kg),0.0009310783349601288
Ammonia price: Cooling Tower ($/kg),0.0006321075023893634
Ammonia price: Depreciable Nonequipment ($/kg),0.0032623102416052376
Ammonia price: Labor Cost ($/kg),0.018131081048142532
Ammonia price: Maintenance Cost ($/kg),0.0009186076656436084
Ammonia price: Administrative Expense ($/kg),0.003626216209628507
Ammonia price: Hydrogen ($/kg),1.0370780423704358
Ammonia price: Electricity ($/kg),0.011629550116543699
Ammonia price: Cooling water ($/kg),0.00021750376086284866
Ammonia price: Iron based catalyst ($/kg),0.0021180315277480326
Ammonia price: Oxygen byproduct ($/kg),-0.0
Ammonia price: Taxes ($/kg),0.01051216411091282
Ammonia price: Equipment Financing ($/kg),0.03654293180132395
Ammonia price: Remaining Financial ($/kg),0.006147155674344377
Ammonia price: Total ($/kg),1.1383459026767697
