,0
Useful Life,30
Wind Cost ($/kW),1396
Solar Cost ($/kW),502.3880597014925
Electrolyzer Installed Cost ($/kW),247.78432000000004
Wind capacity (MW),522
Solar capacity (MW),500
Battery storage capacity (MW),0
Battery storage duration (hr),0
Electrolyzer capacity (MW),480
Total Electricity Production (kWh),4008526548.367731
Debt Equity,60
ATB Year,2035
Grid Total Emission Intensity first year (kg-CO2/kg-H2),1.5211671278653323
Off-grid Total Emission Intensity first year (kg-CO2/kg-H2),0.0
H2 PTC first year ($/kg),0
Ren PTC first year ($/kg),0
Wind PTC,0
Discount Rate,0.07
NPV Wind Expenses,-1028029405.2280807
NPV Solar Expenses,-384967543.7623928
NPV HVDC Expenses,0.0
LCOE ($/MWh),44.942621275888605
Grid Price ($/MWh),78.67192796803653
Electricity CF (-),1.0
Wind plant CF (-),0.3029293946768139
Wind annual energy (MWh),1393172.286118667
Solar plant CF (-),0.18381590226601813
Solar annual energy (MWh),805113.6519251594
LCOH ($/kg),3.869820998503115
Electrolyzer CF (-),0.9518453064626515
Fraction of electricity from renewables (-),"[0.5353741  0.52768721 0.52021794 0.51295717 0.50589629 0.49902715
 0.49234206 0.48583371 0.48409216 0.52768721 0.52021794 0.51295717
 0.50589629 0.49902715 0.49234206 0.48583371 0.48409216 0.52768721
 0.52021794 0.51295717 0.50589629 0.49902715 0.49234206 0.48583371
 0.48409216 0.52768721 0.52021794 0.51295717 0.50589629 0.49902715]"
Average stack life (hrs),78052
Number of stack clusters (-),12
Hydrogen storage duration (hr),0.0
Hydrogen storage capacity (kg),0.0
Hydrogen storage CAPEX ($/kg),0
Hydrogen annual production (kg),73288932.07856058
Hydrogen production total CAPEX ($),1460766392.245729
Hydrogen transmission total CAPEX ($),25276958.85464025
Steel Plant Total CAPEX ($),458597254.6437372
Ammonia Plant Total CAPEX ($),75971822.94143984
LCOH: Compression & storage ($/kg),0.0
LCOH: Electrolyzer CAPEX ($/kg),0.15534469504891546
LCOH: Desalination CAPEX ($/kg),0.0007458477001430609
LCOH: Electrolyzer FOM ($/kg),0.08383257643069576
LCOH:Desalination FOM ($/kg),0.0016627110733025703
LCOH: Electrolyzer VOM ($/kg),0.07527468904833468
LCOH: Wind Plant CAPEX ($/kg),0.9816650050394273
LCOH: Wind Plant FOM ($/kg),0.19153811635504056
LCOH: Solar Plant CAPEX ($/kg),0.22626776140790422
LCOH: Solar Plant FOM ($/kg),0.0753509145662251
LCOH: Battery Storage CAPEX ($/kg),0.0
LCOH: Battery Storage FOM ($/kg),0.0
LCOH: Taxes and Finances ($/kg),0.013779425751831605
LCOH: Water consumption ($/kg),0.010791556728232189
LCOH: Grid electricity ($/kg),1.943539034090628
LCOH: Bulk H2 Transmission ($/kg),0.11002866526243517
Steel annual production (tonne/year),999999.9999999999
Steel annual capacity margin (%),11.111176589691606
Ammonia annual production (kg/year),334339658.8730839
Ammonia annual capacity margin (%),11.111176589691588
Steel Price with Integration ($/tonne),1000.943728940123
Steel price: EAF and Casting CAPEX ($/tonne),6.1918436335910485
Steel price: Shaft Furnace CAPEX ($/tonne),3.492643247616326
Steel price: Oxygen Supply CAPEX ($/tonne),0.42313767303929395
Steel price: H2 Pre-heating CAPEX ($/tonne),0.2406899898611148
Steel price: Cooling Tower CAPEX ($/tonne),0.5210248684196755
Steel price: Piping CAPEX ($/tonne),1.538377202779051
Steel price: Electrical & Instrumentation ($/tonne),1.0255848027206835
"Steel price: Buildings, Storage, Water Service CAPEX ($/tonne)",2.3190617110567566
Steel price: Miscellaneous CAPEX ($/tonne),1.0255852115405844
Steel price: Annual Operating Labor Cost ($/tonne),75.28724491421873
