,0
Useful Life,30.0
Wind Cost ($/kW),1507.68
Solar Cost ($/kW),9999.0
Electrolyzer Installed Cost ($/kW),247.78432000000004
Wind capacity (MW),1728.0
Solar capacity (MW),0.0
Battery storage capacity (MW),0.0
Battery storage duration (hr),0.0
Electrolyzer capacity (MW),1520.0
Total Electricity Production (kWh),4513878207.02439
Debt Equity,60.0
ATB Year,2035.0
Grid Total Emission Intensity first year (kg-CO2/kg-H2),0.0
Off-grid Total Emission Intensity first year (kg-CO2/kg-H2),0.0
H2 PTC first year ($/kg),0.0
Ren PTC first year ($/kg),0.0
Wind PTC,0.0
Discount Rate,0.07
NPV Wind Expenses,-3330815272.9389815
NPV Solar Expenses,0.0
NPV HVDC Expenses,0.0
LCOE ($/MWh),52.2066389426373
Grid Price ($/MWh),0.0
Electricity CF (-),0.33900190812186837
Wind plant CF (-),0.3029293946768018
Wind annual energy (MWh),4513878.207024301
Solar plant CF (-),0.0
Solar annual energy (MWh),0.0
LCOH ($/kg),4.219112833287455
Electrolyzer CF (-),0.3281910535310475
Fraction of electricity from renewables (-),1.0
Average stack life (hrs),26389.0
Number of stack clusters (-),38.0
Hydrogen storage duration (hr),437.81750195879846
Hydrogen storage capacity (kg),15152060.576875862
Hydrogen storage CAPEX ($/kg),17.362965447836295
Hydrogen annual production (kg),80576621.72043344
Hydrogen production total CAPEX ($),3277249222.2483177
Hydrogen transmission total CAPEX ($),27485986.360204503
Steel Plant Total CAPEX ($),458597254.6437372
Ammonia Plant Total CAPEX ($),75971822.94143984
LCOH: Compression & storage ($/kg),0.24037908416550496
LCOH: Electrolyzer CAPEX ($/kg),0.7268146123039176
LCOH: Desalination CAPEX ($/kg),0.0021531660229406934
LCOH: Electrolyzer FOM ($/kg),0.24313778070943187
LCOH:Desalination FOM ($/kg),0.004822324417739827
LCOH: Electrolyzer VOM ($/kg),0.07336098099155744
LCOH: Wind Plant CAPEX ($/kg),2.1393965510829887
LCOH: Wind Plant FOM ($/kg),0.5807185933178525
LCOH: Solar Plant CAPEX ($/kg),0.0
LCOH: Solar Plant FOM ($/kg),0.0
LCOH: Battery Storage CAPEX ($/kg),0.0
LCOH: Battery Storage FOM ($/kg),0.0
LCOH: Taxes and Finances ($/kg),0.09158951294471478
LCOH: Water consumption ($/kg),0.01079155672823219
LCOH: Grid electricity ($/kg),0.0
LCOH: Bulk H2 Transmission ($/kg),0.10594867060257365
Steel annual production (tonne/year),999999.9999999999
Steel annual capacity margin (%),22.159826744138023
Ammonia annual production (kg/year),334339658.8730839
Ammonia annual capacity margin (%),22.159826744138012
Steel Price with Integration ($/tonne),1024.235988058881
Steel price: EAF and Casting CAPEX ($/tonne),6.1918436335910485
Steel price: Shaft Furnace CAPEX ($/tonne),3.492643247616326
Steel price: Oxygen Supply CAPEX ($/tonne),0.42313767303929395
Steel price: H2 Pre-heating CAPEX ($/tonne),0.2406899898611148
Steel price: Cooling Tower CAPEX ($/tonne),0.5210248684196755
Steel price: Piping CAPEX ($/tonne),1.538377202779051
Steel price: Electrical & Instrumentation ($/tonne),1.0255848027206835
"Steel price: Buildings, Storage, Water Service CAPEX ($/tonne)",2.3190617110567566
Steel price: Miscellaneous CAPEX ($/tonne),1.0255852115405844
Steel price: Annual Operating Labor Cost ($/tonne),75.28724491421873
Steel price: Maintenance Labor Cost ($/tonne),4.34381082538769
Steel price: Administrative & Support Labor Cost ($/tonne),19.90776393490161
Steel price: Installation Cost ($/tonne),7.292422834200351
Steel price: Maintenance Materials ($/tonne),7.719999999999999
Steel price: Raw Water Withdrawal ($/tonne),0.4764879063
Steel price: Lime ($/tonne),2.2519536
Steel price: Carbon ($/tonne),11.21192
Steel price: Iron Ore ($/tonne),431.08854930000007
Steel price: Hydrogen ($/tonne),278.29268248364053
Steel price: Natural gas ($/tonne),2.2998400816686346
Steel price: Electricity ($/tonne),37.09174942188969
Steel price: Slag Disposal ($/tonne),6.560037899999999
Steel price: Taxes ($/tonne),30.66066979039297
Steel price: Equipment Financing ($/tonne),96.47094267712055
Steel price: Remaining Financial ($/tonne),10.06676900437472
Steel price: Oxygen sales ($/tonne),0.0
Steel price: Total ($/tonne),1037.80079301472
(-) Steel price: BOS savings ($/tonne),5.972329180470482
Ammonia price: Air Separation by Cryogenic ($/kg),0.0021658289433065634
Ammonia price: Haber Bosch ($/kg),0.0017940520936224223
Ammonia price: Boiler and Steam Turbine ($/kg),0.0006802805187539567
Ammonia price: Cooling Tower ($/kg),0.0004618412903486992
Ammonia price: Depreciable Nonequipment ($/kg),0.002472312766371664
Ammonia price: Labor Cost ($/kg),0.016786890891857285
Ammonia price: Maintenance Cost ($/kg),0.0006711689831577444
Ammonia price: Administrative Expense ($/kg),0.0033573781783714568
Ammonia price: Hydrogen ($/kg),0.8323651565047541
Ammonia price: Electricity ($/kg),0.008207728697031593
Ammonia price: Cooling water ($/kg),0.00020137861015999997
Ammonia price: Iron based catalyst ($/kg),0.0021180315277480326
Ammonia price: Oxygen byproduct ($/kg),-0.0
Ammonia price: Taxes ($/kg),0.008236921049583141
Ammonia price: Equipment Financing ($/kg),0.028324639247579435
Ammonia price: Remaining Financial ($/kg),0.004544589367441986
Ammonia price: Total ($/kg),0.9134521231648
