,0
Useful Life,30.0
Wind Cost ($/kW),1582.6999999999998
Solar Cost ($/kW),1408.85
Electrolyzer Installed Cost ($/kW),2233.294685112379
Wind capacity (MW),1002.0
Solar capacity (MW),100.0
Battery storage capacity (MW),0.0
Battery storage duration (hr),0.0
Electrolyzer capacity (MW),800.0
Total Electricity Production (kWh),4488553783.897719
Debt Equity,60.0
ATB Year,2022.0
Grid Total Emission Intensity first year (kg-CO2/kg-H2),0.0
Off-grid Total Emission Intensity first year (kg-CO2/kg-H2),0.0
H2 PTC first year ($/kg),0.0
Ren PTC first year ($/kg),0.0
Wind PTC,0.0
Discount Rate,0.07
NPV Wind Expenses,-150518982.91718468
NPV Solar Expenses,-170065460.43589604
NPV HVDC Expenses,0.0
LCOE ($/MWh),41.037877469121355
Grid Price ($/MWh),0.0
Electricity CF (-),0.6404899805790137
Wind plant CF (-),0.4933462776803099
Wind annual energy (MWh),4278496.258554719
Solar plant CF (-),0.3051558402113684
Solar annual energy (MWh),267316.5160251587
LCOH ($/kg),5.655015751237981
Electrolyzer CF (-),0.611869970348304
Fraction of electricity from renewables (-),1.0
Average stack life (hrs),45992.0
Number of stack clusters (-),19.0
Hydrogen storage duration (hr),274.0481889049196
Hydrogen storage capacity (kg),4911801.555728951
Hydrogen storage CAPEX ($/kg),23.322106675612204
Hydrogen annual production (kg),78737289.24691002
Hydrogen production total CAPEX ($),3643793320.674637
Hydrogen transmission total CAPEX ($),55850456.03383754
Steel Plant Total CAPEX ($),398350164.32779527
Ammonia Plant Total CAPEX ($),102761896.56000203
LCOH: Compression & storage ($/kg),0.11467014188806034
LCOH: Electrolyzer CAPEX ($/kg),2.778710527148312
LCOH: Desalination CAPEX ($/kg),0.0012264639179715904
LCOH: Electrolyzer FOM ($/kg),0.1307395972422245
LCOH:Desalination FOM ($/kg),0.0025930513567535927
LCOH: Electrolyzer VOM ($/kg),0.07445293403109618
LCOH: Wind Plant CAPEX ($/kg),1.4094042028692964
LCOH: Wind Plant FOM ($/kg),0.4421286329738927
LCOH: Solar Plant CAPEX ($/kg),0.12520855245422519
LCOH: Solar Plant FOM ($/kg),0.03064209310364637
LCOH: Battery Storage CAPEX ($/kg),0.0
LCOH: Battery Storage FOM ($/kg),0.0
LCOH: Taxes and Finances ($/kg),0.34876642014127845
LCOH: Water consumption ($/kg),0.013622038964452972
LCOH: Grid electricity ($/kg),0.0
LCOH: Bulk H2 Transmission ($/kg),0.18285109514677156
Steel annual production (tonne/year),999999.9999999999
Steel annual capacity margin (%),19.371269325212285
Ammonia annual production (kg/year),334339658.8730839
Ammonia annual capacity margin (%),19.371269325212264
Steel Price with Integration ($/tonne),1212.6395061923151
Steel price: EAF and Casting CAPEX ($/tonne),5.378405352315362
Steel price: Shaft Furnace CAPEX ($/tonne),3.0338058013608475
Steel price: Oxygen Supply CAPEX ($/tonne),0.3675489983458965
Steel price: H2 Pre-heating CAPEX ($/tonne),0.20906993236955657
Steel price: Cooling Tower CAPEX ($/tonne),0.45257650335277694
Steel price: Piping CAPEX ($/tonne),1.3362766682963125
Steel price: Electrical & Instrumentation ($/tonne),0.8908511129514954
"Steel price: Buildings, Storage, Water Service CAPEX ($/tonne)",2.0144006627414566
Steel price: Miscellaneous CAPEX ($/tonne),0.8908514680636841
Steel price: Annual Operating Labor Cost ($/tonne),81.31578076159346
Steel price: Maintenance Labor Cost ($/tonne),4.075284052281331
Steel price: Administrative & Support Labor Cost ($/tonne),23.057162980646822
Steel price: Installation Cost ($/tonne),7.6561384169310776
Steel price: Maintenance Materials ($/tonne),8.338169741697413
Steel price: Raw Water Withdrawal ($/tonne),0.5146421039631365
Steel price: Lime ($/tonne),2.4258581269372694
Steel price: Carbon ($/tonne),15.327298391143913
Steel price: Iron Ore ($/tonne),520.3974352549815
Steel price: Hydrogen ($/tonne),373.00483895165723
Steel price: Natural gas ($/tonne),2.123382589432712
Steel price: Electricity ($/tonne),34.47051814211063
Steel price: Slag Disposal ($/tonne),7.085325067638375
Steel price: Taxes ($/tonne),29.960290852098314
Steel price: Equipment Financing ($/tonne),92.91775508266778
Steel price: Remaining Financial ($/tonne),8.744271899878433
Steel price: Oxygen sales ($/tonne),0.0
Steel price: Total ($/tonne),1225.987938915457
(-) Steel price: BOS savings ($/tonne),6.917148894194047
Ammonia price: Air Separation by Cryogenic ($/kg),0.002964301270946252
Ammonia price: Haber Bosch ($/kg),0.0024554621073396453
Ammonia price: Boiler and Steam Turbine ($/kg),0.0009310783349601288
Ammonia price: Cooling Tower ($/kg),0.0006321075023893634
Ammonia price: Depreciable Nonequipment ($/kg),0.0032623102416052376
Ammonia price: Labor Cost ($/kg),0.018131081048142532
Ammonia price: Maintenance Cost ($/kg),0.0009186076656436084
Ammonia price: Administrative Expense ($/kg),0.003626216209628507
Ammonia price: Hydrogen ($/kg),1.1156464064385812
Ammonia price: Electricity ($/kg),0.0073638343764112855
Ammonia price: Cooling water ($/kg),0.000254197549370273
Ammonia price: Iron based catalyst ($/kg),0.0021180315277480326
Ammonia price: Oxygen byproduct ($/kg),-0.0
Ammonia price: Taxes ($/kg),0.010532079300817293
Ammonia price: Equipment Financing ($/kg),0.03660038720156896
Ammonia price: Remaining Financial ($/kg),0.006147155674344377
Ammonia price: Total ($/kg),1.2127626153834394
