,0
Useful Life,30.0
Wind Cost ($/kW),1490.55
Solar Cost ($/kW),1417.3999999999999
Electrolyzer Installed Cost ($/kW),1790.4117663602817
Wind capacity (MW),1026.0
Solar capacity (MW),100.0
Battery storage capacity (MW),0.0
Battery storage duration (hr),0.0
Electrolyzer capacity (MW),840.0
Total Electricity Production (kWh),4516325634.949735
Debt Equity,60.0
ATB Year,2025.0
Grid Total Emission Intensity first year (kg-CO2/kg-H2),0.0
Off-grid Total Emission Intensity first year (kg-CO2/kg-H2),0.0
H2 PTC first year ($/kg),0.0
Ren PTC first year ($/kg),0.0
Wind PTC,0.0
Discount Rate,0.07
NPV Wind Expenses,-144149251.78072253
NPV Solar Expenses,-164020792.87322065
NPV HVDC Expenses,0.0
LCOE ($/MWh),40.004145678711325
Grid Price ($/MWh),0.0
Electricity CF (-),0.6137646274937144
Wind plant CF (-),0.48187038347805705
Wind annual energy (MWh),4280281.143097528
Solar plant CF (-),0.28803632165452414
Solar annual energy (MWh),252319.81776936317
LCOH ($/kg),5.075453682196273
Electrolyzer CF (-),0.5886278158185054
Fraction of electricity from renewables (-),1.0
Average stack life (hrs),46020.0
Number of stack clusters (-),20.0
Hydrogen storage duration (hr),292.8632023437162
Hydrogen storage capacity (kg),5526967.8116518175
Hydrogen storage CAPEX ($/kg),23.322106675612204
Hydrogen annual production (kg),79961316.99202009
Hydrogen production total CAPEX ($),3321152467.8175387
Hydrogen transmission total CAPEX ($),56192899.493221715
Steel Plant Total CAPEX ($),398350164.32779527
Ammonia Plant Total CAPEX ($),102761896.56000203
LCOH: Compression & storage ($/kg),0.12657842653347112
LCOH: Electrolyzer CAPEX ($/kg),2.3020863834505807
LCOH: Desalination CAPEX ($/kg),0.0012674364555907694
LCOH: Electrolyzer FOM ($/kg),0.1355621366504247
LCOH:Desalination FOM ($/kg),0.0026887002085108965
LCOH: Electrolyzer VOM ($/kg),0.07405958106246952
LCOH: Wind Plant CAPEX ($/kg),1.3376585433365933
LCOH: Wind Plant FOM ($/kg),0.43309379313315466
LCOH: Solar Plant CAPEX ($/kg),0.12397776030089547
LCOH: Solar Plant FOM ($/kg),0.02647697981453607
LCOH: Battery Storage CAPEX ($/kg),0.0
LCOH: Battery Storage FOM ($/kg),0.0
LCOH: Taxes and Finances ($/kg),0.29074124546897057
LCOH: Water consumption ($/kg),0.013622038964452972
LCOH: Grid electricity ($/kg),0.0
LCOH: Bulk H2 Transmission ($/kg),0.2076406568166239
Steel annual production (tonne/year),999999.9999999999
Steel annual capacity margin (%),21.22698149184367
Ammonia annual production (kg/year),334339658.8730839
Ammonia annual capacity margin (%),21.226981491843663
Steel Price with Integration ($/tonne),1194.871253724521
Steel price: EAF and Casting CAPEX ($/tonne),5.378405352315362
Steel price: Shaft Furnace CAPEX ($/tonne),3.0338058013608475
Steel price: Oxygen Supply CAPEX ($/tonne),0.3675489983458965
Steel price: H2 Pre-heating CAPEX ($/tonne),0.20906993236955657
Steel price: Cooling Tower CAPEX ($/tonne),0.45257650335277694
Steel price: Piping CAPEX ($/tonne),1.3362766682963125
Steel price: Electrical & Instrumentation ($/tonne),0.8908511129514954
"Steel price: Buildings, Storage, Water Service CAPEX ($/tonne)",2.0144006627414566
Steel price: Miscellaneous CAPEX ($/tonne),0.8908514680636841
Steel price: Annual Operating Labor Cost ($/tonne),81.31578076159346
Steel price: Maintenance Labor Cost ($/tonne),4.075284052281331
Steel price: Administrative & Support Labor Cost ($/tonne),23.057162980646822
Steel price: Installation Cost ($/tonne),7.619292790469333
Steel price: Maintenance Materials ($/tonne),8.338169741697413
Steel price: Raw Water Withdrawal ($/tonne),0.5146421039631365
Steel price: Lime ($/tonne),2.3903429269372687
Steel price: Carbon ($/tonne),15.12770039114391
Steel price: Iron Ore ($/tonne),515.1186004549816
Steel price: Hydrogen ($/tonne),334.77692487766615
Steel price: Natural gas ($/tonne),4.540975116568204
Steel price: Electricity ($/tonne),57.045247679178416
Steel price: Slag Disposal ($/tonne),7.085325067638375
Steel price: Taxes ($/tonne),30.218897639111713
Steel price: Equipment Financing ($/tonne),93.67728146410849
Steel price: Remaining Financial ($/tonne),8.744271899878433
Steel price: Oxygen sales ($/tonne),0.0
Steel price: Total ($/tonne),1208.2196864476616
(-) Steel price: BOS savings ($/tonne),6.917148894194047
Ammonia price: Air Separation by Cryogenic ($/kg),0.002964301270946252
Ammonia price: Haber Bosch ($/kg),0.0024554621073396453
Ammonia price: Boiler and Steam Turbine ($/kg),0.0009310783349601288
Ammonia price: Cooling Tower ($/kg),0.0006321075023893634
Ammonia price: Depreciable Nonequipment ($/kg),0.0032623102416052376
Ammonia price: Labor Cost ($/kg),0.018131081048142532
Ammonia price: Maintenance Cost ($/kg),0.0009186076656436084
Ammonia price: Administrative Expense ($/kg),0.003626216209628507
Ammonia price: Hydrogen ($/kg),1.0013078496462433
Ammonia price: Electricity ($/kg),0.012422208563867467
Ammonia price: Cooling water ($/kg),0.000254197549370273
Ammonia price: Iron based catalyst ($/kg),0.0021180315277480326
Ammonia price: Oxygen byproduct ($/kg),-0.0
Ammonia price: Taxes ($/kg),0.010328035694176537
Ammonia price: Equipment Financing ($/kg),0.03601172060370017
Ammonia price: Remaining Financial ($/kg),0.006147155674344377
Ammonia price: Total ($/kg),1.1026897225740484
