,0
Useful Life,30.0
Wind Cost ($/kW),1242.486
Solar Cost ($/kW),9999.0
Electrolyzer Installed Cost ($/kW),715.36192
Wind capacity (MW),1062.0
Solar capacity (MW),0.0
Battery storage capacity (MW),0.0
Battery storage duration (hr),0.0
Electrolyzer capacity (MW),960.0
Total Electricity Production (kWh),3383439965.601592
Debt Equity,60.0
ATB Year,2025.0
Grid Total Emission Intensity first year (kg-CO2/kg-H2),0.0
Off-grid Total Emission Intensity first year (kg-CO2/kg-H2),0.0
H2 PTC first year ($/kg),0.0
Ren PTC first year ($/kg),0.0
Wind PTC,0.0
Discount Rate,0.07
NPV Wind Expenses,-1983761860.385938
NPV Solar Expenses,0.0
NPV HVDC Expenses,0.0
LCOE ($/MWh),40.677531356258754
Grid Price ($/MWh),0.0
Electricity CF (-),0.4023306656204429
Wind plant CF (-),0.3678451799958335
Wind annual energy (MWh),3383439.9656016766
Solar plant CF (-),0.0
Solar annual energy (MWh),0.0
LCOH ($/kg),4.618873599823604
Electrolyzer CF (-),0.38749138140895845
Fraction of electricity from renewables (-),1.0
Average stack life (hrs),27331.0
Number of stack clusters (-),24.0
Hydrogen storage duration (hr),474.79483701453967
Hydrogen storage capacity (kg),10301859.313072631
Hydrogen storage CAPEX ($/kg),17.362965447836295
Hydrogen annual production (kg),60400414.51847568
Hydrogen production total CAPEX ($),2200876795.8716927
Hydrogen transmission total CAPEX ($),36005722.0528564
Steel Plant Total CAPEX ($),405405601.3926425
Ammonia Plant Total CAPEX ($),67428720.67324677
LCOH: Compression & storage ($/kg),0.21176418288828414
LCOH: Electrolyzer CAPEX ($/kg),1.7711911913465732
LCOH: Desalination CAPEX ($/kg),0.0018174702634645356
LCOH: Electrolyzer FOM ($/kg),0.20592882379495545
LCOH:Desalination FOM ($/kg),0.0040843327285677265
LCOH: Electrolyzer VOM ($/kg),0.07374292251060412
LCOH: Wind Plant CAPEX ($/kg),1.4481600110562893
LCOH: Wind Plant FOM ($/kg),0.5285875165076664
LCOH: Solar Plant CAPEX ($/kg),0.0
LCOH: Solar Plant FOM ($/kg),0.0
LCOH: Battery Storage CAPEX ($/kg),0.0
LCOH: Battery Storage FOM ($/kg),0.0
LCOH: Taxes and Finances ($/kg),0.21518174291431638
LCOH: Water consumption ($/kg),0.012612137203166228
LCOH: Grid electricity ($/kg),0.0
LCOH: Bulk H2 Transmission ($/kg),0.14580326860971535
Steel annual production (tonne/year),824141.4958554899
Steel annual capacity margin (%),11.111111111111102
Ammonia annual production (kg/year),275543186.58747756
Ammonia annual capacity margin (%),11.111111111111109
Steel Price with Integration ($/tonne),1073.0548783225904
Steel price: EAF and Casting CAPEX ($/tonne),6.8788368817701775
Steel price: Shaft Furnace CAPEX ($/tonne),3.5695345241087417
Steel price: Oxygen Supply CAPEX ($/tonne),0.45314678413473264
Steel price: H2 Pre-heating CAPEX ($/tonne),0.24702677538187304
Steel price: Cooling Tower CAPEX ($/tonne),0.5593257313736314
Steel price: Piping CAPEX ($/tonne),1.6621736854123823
Steel price: Electrical & Instrumentation ($/tonne),1.1081157912127528
"Steel price: Buildings, Storage, Water Service CAPEX ($/tonne)",2.4105267162695516
Steel price: Miscellaneous CAPEX ($/tonne),1.10811623293126
Steel price: Annual Operating Labor Cost ($/tonne),86.99950724566091
Steel price: Maintenance Labor Cost ($/tonne),4.659372328439873
Steel price: Administrative & Support Labor Cost ($/tonne),22.91471989352519
Steel price: Installation Cost ($/tonne),7.723892941374123
Steel price: Maintenance Materials ($/tonne),7.719999999999996
Steel price: Raw Water Withdrawal ($/tonne),0.4764879062999998
Steel price: Lime ($/tonne),2.065498799999999
Steel price: Carbon ($/tonne),12.309439999999997
Steel price: Iron Ore ($/tonne),431.57733029999974
Steel price: Hydrogen ($/tonne),304.66090264436485
Steel price: Natural gas ($/tonne),2.0342781760490527
Steel price: Electricity ($/tonne),31.101909456330596
Steel price: Slag Disposal ($/tonne),6.560037899999998
Steel price: Taxes ($/tonne),33.07208711465239
Steel price: Equipment Financing ($/tonne),104.04454999910979
Steel price: Remaining Financial ($/tonne),10.798081873557063
Steel price: Oxygen sales ($/tonne),0.0
Steel price: Total ($/tonne),1086.7148997019588
(-) Steel price: BOS savings ($/tonne),6.874415968057558
Ammonia price: Air Separation by Cryogenic ($/kg),0.0023400408585474456
Ammonia price: Haber Bosch ($/kg),0.0019383595433117382
Ammonia price: Boiler and Steam Turbine ($/kg),0.0007349999703705993
Ammonia price: Cooling Tower ($/kg),0.0004989902332408058
Ammonia price: Depreciable Nonequipment ($/kg),0.002644675625336022
Ammonia price: Labor Cost ($/kg),0.01940747035734152
Ammonia price: Maintenance Cost ($/kg),0.0006457021529712725
Ammonia price: Administrative Expense ($/kg),0.003881494071468304
Ammonia price: Hydrogen ($/kg),0.9112317206736604
Ammonia price: Electricity ($/kg),0.006741559142939878
Ammonia price: Cooling water ($/kg),0.00023535201871999992
Ammonia price: Iron based catalyst ($/kg),0.0021180315277480326
Ammonia price: Oxygen byproduct ($/kg),-0.0
Ammonia price: Taxes ($/kg),0.008887863187706837
Ammonia price: Equipment Financing ($/kg),0.03053527590782351
Ammonia price: Remaining Financial ($/kg),0.004894239738483965
Ammonia price: Total ($/kg),0.9979329114572052
