,0
Useful Life,30.0
Wind Cost ($/kW),1038.35
Solar Cost ($/kW),787.55
Electrolyzer Installed Cost ($/kW),649.3603200000001
Wind capacity (MW),1242.0
Solar capacity (MW),250.0
Battery storage capacity (MW),100.0
Battery storage duration (hr),4.0
Electrolyzer capacity (MW),960.0
Total Electricity Production (kWh),4413530221.17725
Debt Equity,60.0
ATB Year,2035.0
Grid Total Emission Intensity first year (kg-CO2/kg-H2),0.0
Off-grid Total Emission Intensity first year (kg-CO2/kg-H2),0.0
H2 PTC first year ($/kg),0.0
Ren PTC first year ($/kg),0.0
Wind PTC,0.0
Discount Rate,0.07
NPV Wind Expenses,-1603407551.4170303
NPV Solar Expenses,-279050492.3211961
NPV HVDC Expenses,0.0
LCOE ($/MWh),38.84362489723271
Grid Price ($/MWh),0.0
Electricity CF (-),0.5248204696034597
Wind plant CF (-),0.36784517999581917
Wind annual energy (MWh),3992459.159409822
Solar plant CF (-),0.2451559565578307
Solar annual energy (MWh),536891.5448616492
LCOH ($/kg),4.857184330883502
Electrolyzer CF (-),0.507532068840857
Fraction of electricity from renewables (-),1.0
Average stack life (hrs),54752.0
Number of stack clusters (-),24.0
Hydrogen storage duration (hr),190.55733662671653
Hydrogen storage capacity (kg),4199891.163925468
Hydrogen storage CAPEX ($/kg),17.362965447836295
Hydrogen annual production (kg),78586454.45246513
Hydrogen production total CAPEX ($),2288922696.963156
Hydrogen transmission total CAPEX ($),34673937.53462459
Steel Plant Total CAPEX ($),458597254.6437372
Ammonia Plant Total CAPEX ($),75971822.94143984
LCOH: Compression & storage ($/kg),0.14139534554941444
LCOH: Electrolyzer CAPEX ($/kg),1.2778806382873413
LCOH: Desalination CAPEX ($/kg),0.0021216811162451366
LCOH: Electrolyzer FOM ($/kg),0.15722154225926485
LCOH:Desalination FOM ($/kg),0.0031182865946187185
LCOH: Electrolyzer VOM ($/kg),0.0734453470753818
LCOH: Wind Plant CAPEX ($/kg),1.6522611465836237
LCOH: Wind Plant FOM ($/kg),0.44793676390295933
LCOH: Solar Plant CAPEX ($/kg),0.2522501724702918
LCOH: Solar Plant FOM ($/kg),0.049579547221244406
LCOH: Battery Storage CAPEX ($/kg),0.08583968792081545
LCOH: Battery Storage FOM ($/kg),0.021431159121441133
LCOH: Taxes and Finances ($/kg),0.5278888010910944
LCOH: Water consumption ($/kg),0.01261213720316623
LCOH: Grid electricity ($/kg),0.0
LCOH: Bulk H2 Transmission ($/kg),0.15220207448660006
Steel annual production (tonne/year),999999.9999999999
Steel annual capacity margin (%),19.142593166260063
Ammonia annual production (kg/year),334339658.8730839
Ammonia annual capacity margin (%),19.142593166260035
Steel Price with Integration ($/tonne),1089.1540363088768
Steel price: EAF and Casting CAPEX ($/tonne),6.1918436335910485
Steel price: Shaft Furnace CAPEX ($/tonne),3.492643247616326
Steel price: Oxygen Supply CAPEX ($/tonne),0.42313767303929395
Steel price: H2 Pre-heating CAPEX ($/tonne),0.2406899898611148
Steel price: Cooling Tower CAPEX ($/tonne),0.5210248684196755
Steel price: Piping CAPEX ($/tonne),1.538377202779051
Steel price: Electrical & Instrumentation ($/tonne),1.0255848027206835
"Steel price: Buildings, Storage, Water Service CAPEX ($/tonne)",2.3190617110567566
Steel price: Miscellaneous CAPEX ($/tonne),1.0255852115405844
Steel price: Annual Operating Labor Cost ($/tonne),75.28724491421873
Steel price: Maintenance Labor Cost ($/tonne),4.34381082538769
Steel price: Administrative & Support Labor Cost ($/tonne),19.90776393490161
Steel price: Installation Cost ($/tonne),7.301776968513747
Steel price: Maintenance Materials ($/tonne),7.719999999999999
Steel price: Raw Water Withdrawal ($/tonne),0.4764879063
Steel price: Lime ($/tonne),2.0654988
Steel price: Carbon ($/tonne),12.309439999999999
Steel price: Iron Ore ($/tonne),431.57733029999986
Steel price: Hydrogen ($/tonne),320.37987846507576
Steel price: Natural gas ($/tonne),2.716709262358007
Steel price: Electricity ($/tonne),68.11942934431804
Steel price: Slag Disposal ($/tonne),6.560037899999999
Steel price: Taxes ($/tonne),26.515576051081652
Steel price: Equipment Financing ($/tonne),90.51187573573763
Steel price: Remaining Financial ($/tonne),10.06676900437472
Steel price: Oxygen sales ($/tonne),0.0
Steel price: Total ($/tonne),1102.637577752892
(-) Steel price: BOS savings ($/tonne),5.972329180470482
Ammonia price: Air Separation by Cryogenic ($/kg),0.0021658289433065634
Ammonia price: Haber Bosch ($/kg),0.0017940520936224223
Ammonia price: Boiler and Steam Turbine ($/kg),0.0006802805187539567
Ammonia price: Cooling Tower ($/kg),0.0004618412903486992
Ammonia price: Depreciable Nonequipment ($/kg),0.002472312766371664
Ammonia price: Labor Cost ($/kg),0.016786890891857285
Ammonia price: Maintenance Cost ($/kg),0.0006711689831577444
Ammonia price: Administrative Expense ($/kg),0.0033573781783714568
Ammonia price: Hydrogen ($/kg),0.9582467109793061
Ammonia price: Electricity ($/kg),0.06602703140425283
Ammonia price: Cooling water ($/kg),0.00023535201871999998
Ammonia price: Iron based catalyst ($/kg),0.0021180315277480326
Ammonia price: Oxygen byproduct ($/kg),-0.008386648300601963
Ammonia price: Taxes ($/kg),0.007612757603497031
Ammonia price: Equipment Financing ($/kg),0.028729004861825728
Ammonia price: Remaining Financial ($/kg),0.004544589367441985
Ammonia price: Total ($/kg),1.1053538042238955
