,Type,Name,NPV
0,Operating Expenses,Administrative expenses,0.0
1,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
2,Operating Expenses,Grid Electricity Cost,0.0
3,Operating Expenses,Licensing and Permitting,0.0
4,Operating Expenses,Rent of land,0.0
5,Financing cash outflow,Capital gains taxes payable,0.0
6,Operating Expenses,Labor,0.0
7,Operating Expenses,Total annual maintenance,0.0
8,Operating Expenses,Installation cost,0.0
9,Operating Expenses,Sales tax,0.0
10,Financing cash outflow,Battery Storage,0.0
11,Operating Expenses,Road tax,0.0
12,Operating Expenses,Credit card fees,0.0
13,Operating Expenses,Non-depreciable assets,0.00010148678075120961
14,Financing cash outflow,Desalination,0.0008683337946815437
15,Operating Expenses,Desalination Fixed O&M Cost,0.003833772633355645
16,Operating Expenses,Water,0.008292914934426387
17,Financing cash outflow,Compression,0.011417048828577714
18,Operating Expenses,Cash on hand reserve,0.021135331800907455
19,Operating Expenses,Var O&M,0.07199970945234835
20,Operating Expenses,Property insurance,0.13232302009140662
21,Operating Expenses,Electrolyzer Fixed O&M Cost,0.19329578208998385
22,Operating Expenses,Solar Plant Fixed O&M Cost,0.2045973499944386
23,Operating Expenses,Wind Plant Fixed O&M Cost,0.3307769199649373
24,Financing cash outflow,Solar Plant,0.42141370839132275
25,Financing cash outflow,Hydrogen Storage,0.5376715302170291
26,Financing cash outflow,Wind Plant,0.6749278450272226
27,Financing cash outflow,Income taxes payable,1.0907806516133367
28,Financing cash outflow,Repayment of debt,1.658867701419199
29,Financing cash outflow,Electrolysis system,2.304576061802638
30,Financing cash outflow,Interest expense,2.5524166684912535
31,Financing cash outflow,Dividends paid,4.623907545101231
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,One time capital incentive,0.0
35,Financing cash inflow,Annual operating incentives,0.0
36,Operating Revenue,Cash on hand recovery,0.021135331800907455
37,Operating Revenue,Sale of non-depreciable assets,0.031432479386819805
38,Financing cash inflow,Monetized tax losses,0.43494711179825485
39,Financing cash inflow,Inflow of debt,1.658867701419199
40,Financing cash inflow,Inflow of equity,2.73182523481887
41,Operating Revenue,Hydrogen sales,9.964995523204998
