,Type,Name,NPV
0,Operating Expenses,Rent of land,0.0
1,Financing cash outflow,Capital gains taxes payable,0.0
2,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
3,Operating Expenses,Solar Plant Fixed O&M Cost,0.0
4,Operating Expenses,Grid Electricity Cost,0.0
5,Operating Expenses,Licensing and Permitting,0.0
6,Financing cash outflow,Solar Plant,0.0
7,Operating Expenses,Administrative expenses,0.0
8,Operating Expenses,Labor,0.0
9,Operating Expenses,Total annual maintenance,0.0
10,Operating Expenses,Installation cost,0.0
11,Financing cash outflow,Battery Storage,0.0
12,Operating Expenses,Credit card fees,0.0
13,Operating Expenses,Road tax,0.0
14,Operating Expenses,Sales tax,0.0
15,Operating Expenses,Non-depreciable assets,0.00011293778344849314
16,Financing cash outflow,Desalination,0.0008601488300287937
17,Operating Expenses,Desalination Fixed O&M Cost,0.0037976352704165404
18,Operating Expenses,Water,0.0076781002638522415
19,Financing cash outflow,Income taxes payable,0.014369877755983099
20,Financing cash outflow,Compression,0.020437221292839317
21,Operating Expenses,Cash on hand reserve,0.03945679605753285
22,Operating Expenses,Var O&M,0.06748508865922823
23,Operating Expenses,Property insurance,0.14986262949859627
24,Operating Expenses,Electrolyzer Fixed O&M Cost,0.20122802503718712
25,Operating Expenses,Wind Plant Fixed O&M Cost,0.5144157236520313
26,Financing cash outflow,Wind Plant,0.9585791507157627
27,Financing cash outflow,Electrolysis system,1.5787755460998625
28,Financing cash outflow,Repayment of debt,1.7076365899921508
29,Financing cash outflow,Hydrogen Storage,1.907102060909721
30,Financing cash outflow,Interest expense,2.5425337002353743
31,Financing cash outflow,Dividends paid,2.726248457404458
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,Annual operating incentives,0.0
35,Operating Revenue,Sale of non-depreciable assets,0.010028991851715525
36,Operating Revenue,Cash on hand recovery,0.03945679605753285
37,Financing cash inflow,One time capital incentive,0.9535510304548604
38,Financing cash inflow,Inflow of debt,1.707636589992151
39,Financing cash inflow,Monetized tax losses,2.6539562482711854
40,Financing cash inflow,Inflow of equity,3.072416069195729
41,Operating Revenue,Hydrogen sales,4.0035339636353
