,Type,Name,NPV
0,Operating Expenses,Rent of land,0.0
1,Financing cash outflow,Capital gains taxes payable,0.0
2,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
3,Operating Expenses,Solar Plant Fixed O&M Cost,0.0
4,Operating Expenses,Grid Electricity Cost,0.0
5,Operating Expenses,Licensing and Permitting,0.0
6,Financing cash outflow,Solar Plant,0.0
7,Operating Expenses,Administrative expenses,0.0
8,Operating Expenses,Labor,0.0
9,Operating Expenses,Total annual maintenance,0.0
10,Operating Expenses,Installation cost,0.0
11,Financing cash outflow,Battery Storage,0.0
12,Operating Expenses,Credit card fees,0.0
13,Operating Expenses,Road tax,0.0
14,Operating Expenses,Sales tax,0.0
15,Operating Expenses,Non-depreciable assets,0.00011346146447916248
16,Financing cash outflow,Desalination,0.0009081590518455581
17,Operating Expenses,Desalination Fixed O&M Cost,0.004009604763772432
18,Operating Expenses,Water,0.007678100263852242
19,Financing cash outflow,Compression,0.008942530913030227
20,Operating Expenses,Cash on hand reserve,0.023628683432164007
21,Operating Expenses,Var O&M,0.07437644061276297
22,Operating Expenses,Property insurance,0.13324518927907544
23,Operating Expenses,Electrolyzer Fixed O&M Cost,0.20216109895039253
24,Operating Expenses,Wind Plant Fixed O&M Cost,0.45890133769715513
25,Financing cash outflow,Wind Plant,0.7923755054532831
26,Financing cash outflow,Electrolysis system,1.0909168670914993
27,Financing cash outflow,Income taxes payable,1.6059932405998167
28,Financing cash outflow,Repayment of debt,1.7843129170834333
29,Financing cash outflow,Hydrogen Storage,2.0771559379276736
30,Financing cash outflow,Interest expense,2.8118273306816164
31,Financing cash outflow,Dividends paid,6.648435961984073
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,One time capital incentive,0.0
35,Financing cash inflow,Annual operating incentives,0.0
36,Operating Revenue,Sale of non-depreciable assets,0.006965347829700527
37,Operating Revenue,Cash on hand recovery,0.023628683432164004
38,Financing cash inflow,Monetized tax losses,0.4458879568384069
39,Financing cash inflow,Inflow of debt,1.7843129170834333
40,Financing cash inflow,Inflow of equity,3.301527711318873
41,Operating Revenue,Hydrogen sales,12.162659750747347
