,Type,Name,NPV
0,Operating Expenses,Administrative expenses,0.0
1,Operating Expenses,Battery Storage Fixed O&M Cost,0.0
2,Operating Expenses,Grid Electricity Cost,0.0
3,Operating Expenses,Licensing and Permitting,0.0
4,Operating Expenses,Rent of land,0.0
5,Financing cash outflow,Capital gains taxes payable,0.0
6,Operating Expenses,Labor,0.0
7,Operating Expenses,Total annual maintenance,0.0
8,Operating Expenses,Installation cost,0.0
9,Operating Expenses,Sales tax,0.0
10,Financing cash outflow,Battery Storage,0.0
11,Operating Expenses,Road tax,0.0
12,Operating Expenses,Credit card fees,0.0
13,Operating Expenses,Non-depreciable assets,0.00010297371914399172
14,Financing cash outflow,Desalination,0.000824213891228179
15,Operating Expenses,Desalination Fixed O&M Cost,0.003638979249196462
16,Operating Expenses,Water,0.007678100263852241
17,Operating Expenses,Cash on hand reserve,0.013091156664732418
18,Financing cash outflow,Compression,0.018634124216296743
19,Operating Expenses,Var O&M,0.07262864052928683
20,Operating Expenses,Property insurance,0.07324610387232647
21,Operating Expenses,Solar Plant Fixed O&M Cost,0.10720025239243913
22,Operating Expenses,Electrolyzer Fixed O&M Cost,0.18347445382199867
23,Financing cash outflow,Solar Plant,0.1911161488888861
24,Operating Expenses,Wind Plant Fixed O&M Cost,0.33480363963314624
25,Financing cash outflow,Wind Plant,0.5468476814476964
26,Financing cash outflow,Electrolysis system,0.636039353108439
27,Financing cash outflow,Income taxes payable,0.7181184213878953
28,Financing cash outflow,Hydrogen Storage,0.790591388280442
29,Financing cash outflow,Repayment of debt,1.113609273630319
30,Financing cash outflow,Interest expense,1.7131286957609722
31,Financing cash outflow,Dividends paid,3.061549091097306
32,Operating Revenue,Take or pay revenue,0.0
33,Operating Revenue,Incidental revenue,0.0
34,Financing cash inflow,One time capital incentive,0.0
35,Financing cash inflow,Annual operating incentives,0.0
36,Operating Revenue,Sale of non-depreciable assets,0.00875000629043068
37,Operating Revenue,Cash on hand recovery,0.013091156664732418
38,Financing cash inflow,Monetized tax losses,0.3011837505382974
39,Financing cash inflow,Inflow of debt,1.113609273630319
40,Financing cash inflow,Inflow of equity,1.8586909459033971
41,Operating Revenue,Hydrogen sales,6.290997558828427
